key,value
i_step,1035
threads,64
solver,FLOWPanel.Backslash{Float64, LinearAlgebra.LU{Float64, Matrix{Float64}, Vector{Int64}}}
cold_s,20.195371654
warm_1_s,8.585009628
warm_2_s,7.259895758
warm_3_s,8.581038654
warm_4_s,7.288370333
warm_5_s,7.300326382
warm_median_s,7.300326382
warm_S_1_s,0.659527028
warm_S_2_s,0.659237992
warm_S_3_s,0.662151329
warm_S_4_s,0.656234675
warm_S_5_s,0.658985947
warm_S_median_s,0.659237992
warm_S_tuned_1_s,0.606773253
warm_S_tuned_2_s,0.620098094
warm_S_tuned_3_s,0.618261198
warm_S_tuned_4_s,0.590918819
warm_S_tuned_5_s,0.590679518
warm_S_tuned_median_s,0.606773253
blas_best_nt,8
gemv_blas1_s,0.419185478
gemv_blas8_s,0.233521211
gemv_blas16_s,0.237909251
gemv_blas32_s,0.252249216
gemv_blas64_s,0.285882295
gemv_blocked_s,0.282035757
S_assemble_s,111.816290526
S_gemv_s,0.302273581
S_equiv_max_abs,0.0
S_equiv_max_rel,0.0
headroom_s,0.783
fits_headroom,true
