key,value
pass3_body_influence.target3.type,"FLOWVPM.ParticleField{Float64, FLOWVPM.ReformulatedVPM{Float64}, FLOWVPM.CoreSpreading{Float64, typeof(FLOWVPM.zeta_fmm), typeof(FLOWVPM.rbf_conjugategradient)}, typeof(FLOWVPM.nofreestream), FLOWVPM.DynamicSFS{Float64, typeof(FLOWVPM.Estr_fmm), typeof(FLOWVPM.dynamicprocedure_pseudo3level_beforeUJ), typeof(FLOWVPM.pseudo3level_positive_afterUJ), Tuple{}, Tuple{typeof(FLOWVPM.clipping_backscatter)}}, FLOWVPM.Kernel{typeof(FLOWVPM.zeta_gauserf), typeof(FLOWVPM.g_gauserf), typeof(FLOWVPM.dgdr_gauserf), typeof(FLOWVPM.g_dgdr_gauserf)}, typeof(FLOWVPM.UJ_fmm), typeof(FLOWVPM.euler), FLOWVPM.Relaxation{Float64, typeof(FLOWVPM.relax_correctedpedrizzetti), typeof(FLOWVPM.relax_filter_all)}, Matrix{Float64}}"
pass3_body_influence.target3.supported,true
pass3_body_influence.hits_seam_arm,1
pass3_body_influence.hits_cpu_arm,0
pass3_body_influence.wall_cpu_s,57.548504566
pass3_body_influence.wall_seam_s,2.886174561
pass3_body_influence.seam_accepted,true
pass3_body_influence.body_velocity.n,36752
pass3_body_influence.body_velocity.worst_rel,6.69146318868
pass3_body_influence.body_velocity.worst_index,19431
pass3_body_influence.body_velocity.class_scale,2619.90431986
pass3_body_influence.body_velocity_gradient.n,36752
pass3_body_influence.body_velocity_gradient.worst_rel,0
pass3_body_influence.body_velocity_gradient.worst_index,0
pass3_body_influence.body_velocity_gradient.class_scale,0
pass3_body_influence.particle_Estr.n,181307
pass3_body_influence.particle_Estr.worst_rel,0
pass3_body_influence.particle_Estr.worst_index,0
pass3_body_influence.particle_Estr.class_scale,0
pass3_body_influence.particle_J.n,181307
pass3_body_influence.particle_J.worst_rel,0
pass3_body_influence.particle_J.worst_index,0
pass3_body_influence.particle_J.class_scale,0
pass3_body_influence.particle_U.n,181307
pass3_body_influence.particle_U.worst_rel,9.96423919366e-05
pass3_body_influence.particle_U.worst_index,177730
pass3_body_influence.particle_U.class_scale,17.6918501286
pass3_body_influence.probe_U.n,164
pass3_body_influence.probe_U.worst_rel,7.77465957998e-06
pass3_body_influence.probe_U.worst_index,83
pass3_body_influence.probe_U.class_scale,5.27522685312
pass3_body_influence.worst_rel_overall,6.69146318868
gate.pass3_body_influence.phase_gate_1e-3.achieved,6.69146318868
gate.pass3_body_influence.phase_gate_1e-3.bound,0.001
gate.pass3_body_influence.phase_gate_1e-3.pass,false
gate.pass3_body_influence.phase_gate_1e-3.informational,false
sfs_enabled,true
gate.sfs.seam_never_handles_estr.pass,true
gate.sfs.estr_1e-10.achieved,1.18539001724
gate.sfs.estr_1e-10.bound,1e-10
gate.sfs.estr_1e-10.pass,false
gate.sfs.estr_1e-10.informational,false
overall_pass,false
