n,stage,kernel,count,total_ms
1000000,refresh,"_cuda_pack_radix_body_kernel_(CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, Int64)",1.0,0.06995201110839844
1000000,refresh,"_cuda_counting_scatter_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<UInt64, 1, 1>)",1.0,0.06299018859863281
1000000,refresh,"_cuda_fill_invperm_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>)",1.0,0.023365020751953125
1000000,refresh,"partial_scan(_, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<0, Tuple<>>, CartesianIndices<0, Tuple<>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Int64, void, Val<true>)",1.0,0.0225067138671875
1000000,refresh,"_cuda_counting_histogram_kernel_(CuDeviceArray<Int32, 1, 1>, CuDeviceArray<UInt64, 1, 1>)",1.0,0.022268295288085938
1000000,refresh,"gpu_broadcast_kernel_cartesian(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, NDRange<2, DynamicSize, DynamicSize, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>>>, SubArray<Float32, 2, CuDeviceArray<Float32, 2, 1>, Tuple<UnitRange<Int64>, Slice<OneTo<Int64>>>, false>, Broadcasted<CuArrayStyle<2, DeviceMemory>, Tuple<OneTo<Int64>, OneTo<Int64>>, identity, Tuple<Extruded<CuDeviceArray<Float32, 2, 1>, Tuple<Bool, Bool>, Tuple<Int64, Int64>>>>)",1.0,0.021409988403320312
1000000,refresh,"_cuda_radix_keys_checked_kernel_(CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Float32, 2, 1>, SArray<Tuple<3>, Float32, 1, 3>, Float32, Int64)",1.0,0.01888275146484375
1000000,refresh,"_cuda_extract_source_positions_kernel_(CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Float32, 2, 1>, Int64, Int64)",1.0,0.016927719116210938
1000000,refresh,"gpu_broadcast_kernel_linear(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, SubArray<Float32, 1, CuDeviceArray<Float32, 2, 1>, Tuple<Int64, Slice<OneTo<Int64>>>, true>, Broadcasted<CuArrayStyle<1, DeviceMemory>, Tuple<OneTo<Int64>>, identity, Tuple<Extruded<CuDeviceArray<Float32, 1, 1>, Tuple<Bool>, Tuple<Int64>>>>)",2.0,0.01430511474609375
1000000,refresh,"[copy device to pinned memory]",3.0,0.0072956085205078125
1000000,refresh,"scan",2.0,0.006771087646484375
1000000,refresh,"_cuda_fill_cell_counts_kernel_(CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>)",1.0,0.006389617919921875
1000000,refresh,"_cuda_fill_cell_firsts_kernel_(CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>)",1.0,0.0060558319091796875
1000000,refresh,"_cuda_key_change_flags_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<UInt64, 1, 1>)",1.0,0.0058650970458984375
1000000,refresh,"aggregate_partial_scan(_, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<0, Tuple<>>, CartesianIndices<0, Tuple<>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)",1.0,0.0046253204345703125
1000000,refresh,"partial_scan(_, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<0, Tuple<>>, CartesianIndices<0, Tuple<>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Int32, void, Val<true>)",1.0,0.0043392181396484375
1000000,refresh,"[set device memory]",4.0,0.00324249267578125
1000000,refresh,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, 1, 1>, Int64, SubArray<Int64, 1, CuDeviceArray<Int64, 1, 1>, Tuple<StepRange<Int64, Int64>>, true>, Int64, Int64)",1.0,0.001621246337890625
1000000,refresh,"_cuda_keys_differ_kernel_(CuDeviceArray<Int32, 1, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<UInt64, 1, 1>, Int64)",1.0,0.001430511474609375
1000000,refresh,"aggregate_partial_scan(_, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<0, Tuple<>>, CartesianIndices<0, Tuple<>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)",1.0,0.0011920928955078125
1000000,refresh,"_cuda_counting_cursor_kernel_(CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>)",1.0,0.0011920928955078125
1000000,refresh,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int32, 1, 1>, Int64, SubArray<Int32, 1, CuDeviceArray<Int32, 1, 1>, Tuple<StepRange<Int64, Int64>>, true>, Int64, Int64)",1.0,0.0010967254638671875
1000000,refresh,"gpu_fill_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, 1, 1>, Int64)",1.0,0.00095367431640625
1000000,refresh,"[copy pageable to device memory]",0.2,0.0001430511474609375
