n,stage,kernel,count,total_ms
1000000,refresh,"gpu_broadcast_kernel_linear(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, SubArray<Float32, 1, CuDeviceArray<Float32, 2, 1>, Tuple<Int64, Slice<OneTo<Int64>>>, true>, Broadcasted<CuArrayStyle<1, DeviceMemory>, Tuple<OneTo<Int64>>, identity, Tuple<Extruded<CuDeviceArray<Float32, 1, 1>, Tuple<Bool>, Tuple<Int64>>>>)",2.0,0.014448165893554688
1000000,refresh,"_cuda_key_change_flags_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<UInt64, 1, 1>)",7.0,0.01277923583984375
1000000,refresh,"aggregate_partial_scan(_, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<0, Tuple<>>, CartesianIndices<0, Tuple<>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)",7.0,0.012111663818359375
1000000,refresh,"[copy device to pinned memory]",4.0,0.009679794311523438
1000000,refresh,"_cuda_hier_direct_flags_kernel_(CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int32, 2, 1>, Int64, Int64, Int64, Int64, Int64, Int64)",1.0,0.008630752563476562
1000000,refresh,"_cuda_hier_direct_compact_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int32, 2, 1>, Int64, Int64, Int64, Int64, Int64, Int64, Int64)",1.0,0.00858306884765625
1000000,refresh,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, 1, 1>, Int64, SubArray<Int64, 1, CuDeviceArray<Int64, 1, 1>, Tuple<StepRange<Int64, Int64>>, true>, Int64, Int64)",7.0,0.008106231689453125
1000000,refresh,"_cuda_fill_unique_keys_kernel_(CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, Int64)",6.0,0.00743865966796875
1000000,refresh,"_cuda_leaf_ancestor_keys_kernel_(CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<UInt64, 1, 1>, Int64, Int64)",6.0,0.006771087646484375
1000000,refresh,"aggregate_partial_scan(_, CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<0, Tuple<>>, CartesianIndices<0, Tuple<>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, void)",3.0,0.0066280364990234375
1000000,refresh,"_cuda_fill_cell_counts_kernel_(CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>)",1.0,0.006389617919921875
1000000,refresh,"_cuda_child_ranges_kernel_(CuDeviceArray<Int64, 2, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 1, 1>, Int64)",1.0,0.006103515625
1000000,refresh,"_cuda_fill_cell_firsts_kernel_(CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>)",1.0,0.0060558319091796875
1000000,refresh,"gpu_fill_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int64, 1, 1>, Int64)",7.0,0.0052928924560546875
1000000,refresh,"[set device memory]",6.0,0.0051975250244140625
1000000,refresh,"_cuda_parent_index_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 1, 1>, Int64)",1.0,0.0043392181396484375
1000000,refresh,"gpu_linear_copy_kernel_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<1, Tuple<OneTo<Int64>>>, NDRange<1, DynamicSize, DynamicSize, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>>>, CuDeviceArray<Int32, 1, 1>, Int64, SubArray<Int32, 1, CuDeviceArray<Int32, 1, 1>, Tuple<StepRange<Int64, Int64>>, true>, Int64, Int64)",3.0,0.003814697265625
1000000,refresh,"_cuda_fill_node_geometry_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Float32, 2, 1>, CuDeviceArray<UInt64, 1, 1>, CuDeviceArray<Int64, 1, 1>, SArray<Tuple<3>, Float32, 1, 3>, Float32, Int64)",1.0,0.00286102294921875
1000000,refresh,"_cuda_hier_node_at_scatter_kernel_(CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<Int64, 1, 1>, Int64)",1.0,0.002002716064453125
1000000,refresh,"_cuda_tree_routes_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 1, 1>)",1.0,0.001811981201171875
1000000,refresh,"_cuda_cell_centers_kernel_(CuDeviceArray<Float32, 2, 1>, CuDeviceArray<Int64, 2, 1>, CuDeviceArray<UInt64, 1, 1>, SArray<Tuple<3>, Float32, 1, 3>, Float32, Int64)",1.0,0.00171661376953125
1000000,refresh,"_cuda_counting_cursor_kernel_(CuDeviceArray<Int32, 1, 1>, CuDeviceArray<Int32, 1, 1>)",1.0,0.0011444091796875
1000000,refresh,"[copy pageable to device memory]",1.2,0.0010013580322265625
1000000,refresh,"_cuda_gather_level_counts_kernel_(CuDeviceArray<Int64, 1, 1>, CuDeviceArray<Int64, 2, 1>, Int64)",1.0,0.00095367431640625
