n,stage,wall_ms,device_busy_ms,device_span_ms,idle_ms,launches,sync_calls,sync_ms,mem_ops,control_wall_ms
1000000,refresh,3.722715377807617,0.5006313323974609,2.973651885986328,3.2220840454101562,108.2,9.4,0.020313262939453125,11.2,0.8779159999999999
1000000,b2m,3.2453536987304688,0.5845546722412109,2.460145950317383,2.660799026489258,2.2,1.4,0.36487579345703125,2.2,0.608145
1000000,m2m,4.173421859741211,0.23527145385742188,3.3266067504882812,3.938150405883789,127.2,1.4,0.00457763671875,51.2,1.236095
1000000,m2l,4.9755096435546875,1.9968986511230469,4.133033752441406,2.9786109924316406,49.2,9.4,1.2501716613769531,11.2,2.1803999999999997
1000000,l2l,4.609584808349609,0.23508071899414062,3.773069381713867,4.374504089355469,126.2,1.4,0.0048160552978515625,50.2,1.256923
1000000,l2b_near,5.389595031738281,2.6635169982910156,4.5589447021484375,2.7260780334472656,3.2,1.4,2.4271011352539062,1.2,2.687332
1000000,eval,10.083389282226562,5.736446380615234,9.267234802246094,4.346942901611328,307.2,15.4,2.91900634765625,115.2,6.785987
1000000,finalize,2.8339385986328125,0.14638900756835938,2.0270347595214844,2.687549591064453,4.2,1.4,0.0044345855712890625,1.2,0.246721
1000000,euler,2.697420120239258,0.0209808349609375,1.8803596496582031,2.6764392852783203,1.2,1.4,0.0038623809814453125,0.2,0.038164000000000003
1000000,full_step,11.468315124511719,6.394481658935547,10.626983642578125,5.073833465576172,420.2,27.4,3.0462265014648438,127.2,8.051381999999998
1000,refresh,1.4646053314208984,0.1286029815673828,0.6682395935058594,1.3360023498535156,76.2,9.4,0.018739700317382812,10.2,0.556035
1000,b2m,0.8287429809570312,0.021314620971679688,0.04296302795410156,0.8074283599853516,2.2,1.4,0.0030994415283203125,2.2,0.036827
1000,m2m,2.2774219512939453,0.20914077758789062,1.5126705169677734,2.0682811737060547,136.2,1.4,0.003814697265625,51.2,1.242744
1000,m2l,0.693511962890625,0.22525787353515625,0.4899024963378906,0.46825408935546875,41.2,9.4,0.01850128173828125,9.2,0.420756
1000,l2l,2.251911163330078,0.2101421356201172,1.4919757843017578,2.041769027709961,135.2,1.4,0.0040531158447265625,50.2,1.231562
1000,l2b_near,0.24628639221191406,0.017213821411132812,0.048065185546875,0.22907257080078125,3.2,1.4,0.0033855438232421875,1.2,0.037403
1000,eval,3.707599639892578,0.6838321685791016,3.5630226135253906,3.0237674713134766,317.2,15.4,0.030994415283203125,113.2,3.026571
1000,finalize,0.27332305908203125,0.0053882598876953125,0.05707740783691406,0.26793479919433594,4.2,1.4,0.0030040740966796875,1.2,0.042098000000000003
1000,euler,0.23355484008789062,0.001811981201171875,0.02593994140625,0.23174285888671875,1.2,1.4,0.003337860107421875,0.2,0.019164
1000,full_step,4.738092422485352,0.8218288421630859,4.528617858886719,3.9162635803222656,398.2,27.4,0.05469322204589844,124.2,3.874581
