rep,wall_ms,commorch_ms,imbalance_ms,exchange_ms
1,4.193185,0.31352497796474355,0.014877108294233832,0.20796800527023152
2,4.161512,0.3091601072422119,0.00854379356637569,0.19142400560667738
3,4.248788,0.20311006185817693,0.023061919154741872,0.09596799827704672
4,4.100512,0.20927613465660055,0.024697950239219058,0.09503999899607152
5,3.867068,0.18853385952009294,0.02103705380976928,0.09619199408916757
6,3.822924,0.18534511096376916,0.014979769539721577,0.09257599958800711
7,4.034883,0.19312486491093006,0.00732202811235938,0.09711999518913217
8,4.039242,0.19288096984152459,0.010027105561688732,0.09766400398802944
9,3.807046,0.18394491569875182,0.02201294619301697,0.09254399810743053
10,3.820301,0.1887360395599753,0.0039787901794614555,0.08924800567911007
11,3.993887,0.1834259563118965,0.019933980008892682,0.09657600639911834
12,4.028002,0.19364104734002785,0.0028809421071485097,0.09884799510473385
13,3.816542,0.19585992416120312,0.001836025045171663,0.09689599392004311
14,3.823741,0.18301105952616803,0.010748045007429763,0.09145600597548764
15,3.992541,0.18569899148699642,0.009183959404558184,0.09347199556941632
16,4.003496,0.17888187271704536,0.012588284249886783,0.09267200039175805
17,3.869671,0.1896239387065619,0.0038340703956034616,0.09295999552705325
18,3.836836,0.18585492280230653,0.012709086976684603,0.09228799535776488
19,4.006316,0.19271398439753806,0.019049108612812837,0.09596799463906791
20,3.982032,0.1905159197634756,0.00935803483144193,0.09385599878442008
21,3.830116,0.19031199421249312,0.007974018274292227,0.0957120046223281
22,3.838835,0.18931899082656178,0.020455011844612958,0.09548800335323904
23,3.995324,0.1898381234642268,0.012541864996559848,0.09391999992658384
24,3.997962,0.18996088050332638,0.0021090906736551673,0.09561600745655596
25,3.843544,0.19079087847252207,0.01168510761789987,0.09276800119550899
