n,stage,wall_ms,device_busy_ms,device_span_ms,idle_ms,launches,sync_calls,sync_ms,mem_ops,control_wall_ms,host_launches,graph_launches
1000000,refresh,3.0402183532714844,0.32482147216796875,2.331256866455078,2.7153968811035156,30.2,7.4,0.015687942504882812,7.2,0.439425,23.0,0.0
1000000,b2m,3.152942657470703,0.5858898162841797,2.443552017211914,2.5670528411865234,2.2,1.4,0.3691673278808594,2.2,0.6109089999999999,1.0,0.0
1000000,m2m,3.546476364135742,0.1933574676513672,2.7875423431396484,3.353118896484375,77.2,1.4,0.0043392181396484375,1.2,0.8042480000000001,76.0,0.0
1000000,m2l,4.063749313354492,0.7794380187988281,3.2794952392578125,3.284311294555664,5.2,1.4,0.5195140838623047,1.2,0.814499,4.0,0.0
1000000,l2l,3.721761703491211,0.19378662109375,2.9639244079589844,3.527975082397461,76.2,1.4,0.00438690185546875,0.2,0.802611,76.0,0.0
1000000,l2b_near,5.273294448852539,2.6589393615722656,4.531431198120117,2.6143550872802734,3.2,1.4,2.432107925415039,1.2,2.686657,2.0,0.0
1000000,eval,7.038211822509766,4.373025894165039,6.277179718017578,2.6651859283447266,163.2,1.4,3.9725303649902344,0.2,4.385895,1.0,1.0
1000000,finalize,2.7502059936523438,0.14548301696777344,2.015256881713867,2.6047229766845703,4.2,1.4,0.004291534423828125,1.2,0.226089,3.0,0.0
1000000,euler,2.6351451873779297,0.02117156982421875,1.9009590148925781,2.613973617553711,1.2,1.4,0.0039577484130859375,0.2,0.037894,1.0,0.0
1000000,full_step,7.696008682250977,4.885339736938477,6.961679458618164,2.8106689453125,198.2,7.4,4.162454605102539,8.2,5.029954,28.0,1.0
1000,refresh,0.5309581756591797,0.04048347473144531,0.29430389404296875,0.4904747009277344,26.2,7.4,0.014638900756835938,7.2,0.22478099999999998,19.0,0.0
1000,b2m,0.2711296081542969,0.021123886108398438,0.04267692565917969,0.25000572204589844,2.2,1.4,0.0030517578125,2.2,0.036642,1.0,0.0
1000,m2m,1.1954307556152344,0.1682758331298828,0.9901523590087891,1.0271549224853516,86.2,1.4,0.003528594970703125,1.2,0.811896,85.0,0.0
1000,m2l,0.8303165435791016,0.09655952453613281,0.13022422790527344,0.7337570190429688,5.2,1.4,0.003528594970703125,1.2,0.120819,4.0,0.0
1000,l2l,1.1767387390136719,0.16798973083496094,0.9719371795654297,1.008749008178711,85.2,1.4,0.0037670135498046875,0.2,0.80845,85.0,0.0
1000,l2b_near,0.7766246795654297,0.017309188842773438,0.04858970642089844,0.7593154907226562,3.2,1.4,0.0034332275390625,1.2,0.037373,2.0,0.0
1000,eval,0.9502887725830078,0.4996299743652344,0.7904529571533203,0.45065879821777344,181.2,1.4,0.31495094299316406,0.2,0.514967,1.0,1.0
1000,finalize,0.2567768096923828,0.0056743621826171875,0.05383491516113281,0.2511024475097656,4.2,1.4,0.00324249267578125,1.2,0.036235,3.0,0.0
1000,euler,0.7550716400146484,0.001811981201171875,0.026655197143554688,0.7532596588134766,1.2,1.4,0.0030040740966796875,0.2,0.018423,1.0,0.0
1000,full_step,1.865243911743164,0.5475044250488281,1.1303901672363281,1.317739486694336,212.2,7.4,0.2578258514404297,8.2,0.872981,24.0,1.0
