case,n,structure,param,status,t_cold_s,t_tree_ms,t_lists_ms,t_refresh_ms,n_nodes,n_leaves,popmax,u_entries,u_pairs,v_routes,w_entries,x_entries,w_evals,x_evals,node_cap_ratio,u_cap_ratio,v_cap_ratio,balance_splits
unitcube,100000,adaptive,32,ok,1.446,18.9,127.67,146.57,9004,7873,32,329617,95462928,1513128,135714,135714,3344820,3344820,0.346,0.2111,0.2326,0
unitcube,100000,adaptive,64,ok,0.126,16.13,95.29,111.42,4681,4096,49,199480,131516616,1240008,0,0,0,0,0.346,0.2458,0.3666,0
unitcube,100000,adaptive,128,ok,0.127,16.07,93.35,109.42,4609,4033,127,196525,132873334,1220412,940,940,114388,114388,0.6331,0.4499,0.6706,0
unitcube,100000,uniform,5,ok,8.447,,,268.34,34008,29328,15,1474892,18389722,10567098,0,0,0,0,,,,0
unitcube,100000,uniform,6,ok,1.413,,,1053.03,115168,81160,6,1622094,2495968,20964670,0,0,0,0,,,,0
wake,100000,adaptive,32,ok,0.238,23.43,186.64,210.07,9214,7936,32,396318,68164480,2324948,37721,37721,231138,231138,0.3541,0.2538,0.3574,64
wake,100000,adaptive,64,ok,0.207,22.95,174.28,197.23,8807,7587,64,376737,71530206,2175864,43614,43614,690588,690588,0.651,0.4641,0.6434,64
wake,100000,adaptive,128,ok,0.043,15.66,12.2,27.86,1779,1494,128,60924,414125770,235102,12441,12441,713586,713586,0.2444,0.1395,0.1292,8
wake,100000,uniform,5,ok,0.106,,,30.34,1664,1352,148,56324,436209134,255404,0,0,0,0,,,,0
wake,100000,uniform,6,ok,0.193,,,94.01,9955,8291,30,401177,66943484,2505042,0,0,0,0,,,,0
multiscale100,100000,adaptive,32,ok,0.216,25.82,158.26,184.07,9221,8003,32,359991,83617818,1963018,97941,97941,1768369,1768369,0.3543,0.2306,0.3017,125
multiscale100,100000,adaptive,64,ok,0.149,19.66,130.29,149.95,6660,5817,64,282831,102450902,1678896,35135,35135,508018,508018,0.4923,0.3485,0.4964,48
multiscale100,100000,adaptive,128,ok,0.105,17.38,77.45,94.83,4364,3814,128,183570,176159696,950570,54731,54731,3084227,3084227,0.5995,0.4203,0.5223,49
multiscale100,100000,uniform,5,ok,0.352,,,281.39,31381,26701,261,1247489,284929224,9086468,0,0,0,0,,,,0
multiscale100,100000,uniform,6,ok,0.927,,,783.26,89201,57820,50,879848,47265088,14614234,0,0,0,0,,,,0
unitcube,1000000,adaptive,32,ok,5.252,356.37,3991.63,4348.01,182685,159720,32,7735444,491867440,47974852,2084471,2084471,52330184,52330184,0.7278,0.5136,0.7645,0
unitcube,1000000,adaptive,64,ok,1.352,258.12,963.56,1221.68,37363,32686,64,1725270,1834666400,12251452,339,339,20678,20678,0.2965,0.2282,0.3889,0
unitcube,1000000,adaptive,128,ok,1.536,258.69,930.23,1188.92,36079,31569,127,1673885,1857824980,11858632,18986,18986,2010659,2010659,0.5679,0.4391,0.7467,0
unitcube,1000000,uniform,5,ok,0.689,,,533.96,37390,32710,61,1726266,1834560986,12284638,0,0,0,0,,,,0
unitcube,1000000,uniform,6,ok,2.82,,,2250.33,270147,232757,17,12557247,240745224,94817872,0,0,0,0,,,,0
wake,1000000,adaptive,32,ok,2.49,319.81,1750.65,2070.46,68671,59438,32,3160144,927291742,21895528,155905,155905,2075122,2075122,0.2736,0.2098,0.3489,264
wake,1000000,adaptive,64,ok,2.506,347.65,1724.39,2072.04,67583,58572,64,3124084,939440940,21659630,162182,162182,2968026,2968026,0.5363,0.4132,0.6875,379
wake,1000000,adaptive,128,ok,1.738,325.8,1176.16,1501.95,52973,45934,128,2302098,1515441616,14450376,426495,426495,38582268,38582268,0.8339,0.604,0.9099,447
wake,1000000,uniform,5,ok,0.441,,,311.09,1720,1408,1231,59056,43603543878,272168,0,0,0,0,,,,0
wake,1000000,uniform,6,ok,0.805,,,377.41,10428,8708,182,423308,6689251632,2652766,0,0,0,0,,,,0
multiscale100,1000000,adaptive,32,ok,3.492,376.1,2513.33,2889.42,111128,96890,32,4748222,881021880,30493052,1028900,1028900,23133339,23133339,0.4427,0.3153,0.4859,507
multiscale100,1000000,adaptive,64,ok,1.924,250.45,1298.4,1548.85,50431,44064,64,2322984,1427223088,16223452,130585,130585,2166685,2166685,0.4002,0.3072,0.5149,134
multiscale100,1000000,adaptive,128,ok,1.453,241.56,997.87,1239.43,39965,34949,128,1859257,1789810610,12451506,242610,242610,16298331,16298331,0.6291,0.4878,0.784,120
multiscale100,1000000,uniform,5,ok,0.612,,,464.33,37322,32642,2442,1722780,28492792946,12259992,0,0,0,0,,,,0
multiscale100,1000000,uniform,6,ok,2.759,,,2219.51,257731,220409,346,11345993,4723065686,86980370,0,0,0,0,,,,0
