contrast,structure,param,status,t_cold_s,mem_gb,t_update_ms,t_lifecycle_ms,t_step_ms,vel_rel_rms,n_nodes,n_leaves,popmax,n_u,u_pairs,v_routes,w_entries,x_entries
1.0,adaptive,64,ok,36.618,5.314,9.261,219.434,320.687,3.944e-04,55416,48300,64,2206136,1750269650,12221968,805662,805662
1.0,uniform,4,ok,7.393,0.469,6.413,70.78,150.946,2.176e-04,4048,3464,562,167008,19977302386,1037642,0,0
1.0,uniform,5,ok,0.217,2.156,6.699,22.58,106.09,2.218e-04,29002,24954,96,1305778,2715910124,9139518,0,0
1.0,uniform,6,ok,0.301,15.688,6.306,61.483,142.994,2.245e-04,206923,177921,22,9577369,352954580,72030128,0,0
1.0,uniform,7,ok,0.422,58.938,10.922,171.174,274.438,2.306e-04,902254,695331,8,20782795,45740242,212264672,0,0
3.0,adaptive,64,ok,0.401,5.219,9.114,82.04,155.981,3.742e-04,76344,66791,64,3587075,959064720,25668804,238044,238044
3.0,uniform,4,ok,0.187,0.469,6.458,79.003,157.706,2.583e-04,4680,4096,818,199480,20907497004,1267224,0,0
3.0,uniform,5,ok,0.191,2.219,6.447,29.835,106.037,2.621e-04,37322,32642,127,1722780,2883873904,12259992,0,0
3.0,uniform,6,ok,0.218,16.062,6.332,76.017,152.528,2.656e-04,260053,222731,26,11600789,377296896,88773198,0,0
3.0,uniform,7,ok,0.358,59.312,8.104,170.808,279.238,2.718e-04,956912,696859,9,18554741,49110434,212923586,0,0
10.0,adaptive,64,ok,0.348,5.219,8.632,51.554,125.581,4.795e-04,50484,44160,64,2341502,1380838366,16476974,117132,117132
10.0,uniform,4,ok,0.171,0.469,6.293,199.495,290.474,3.470e-04,4680,4096,2124,199480,35410636642,1267224,0,0
10.0,uniform,5,ok,0.192,2.219,5.901,46.294,126.632,3.593e-04,37322,32642,298,1722780,5372060188,12259992,0,0
10.0,uniform,6,ok,0.224,16.062,6.755,80.394,194.505,3.625e-04,258357,221035,55,11414771,733073082,87464252,0,0
10.0,uniform,7,ok,0.375,58.719,7.721,149.464,259.146,3.665e-04,872677,614320,14,14395672,96427362,182563286,0,0
30.0,adaptive,64,ok,0.369,5.219,9.268,79.57,155.214,5.435e-04,74153,64857,64,3462177,992541138,24455692,266661,266661
30.0,uniform,4,ok,0.184,0.469,5.963,715.85,839.502,4.580e-04,4680,4096,5851,199480,63281761720,1267224,0,0
30.0,uniform,5,ok,0.205,2.219,7.165,74.063,170.073,4.783e-04,37322,32642,792,1722780,11544668426,12259992,0,0
30.0,uniform,6,ok,0.236,16.0,6.663,98.282,191.817,4.819e-04,257892,220570,128,11363732,1689798184,87104776,0,0
30.0,uniform,7,ok,0.352,58.312,9.584,135.963,251.44,4.859e-04,828528,570636,27,11305314,227742892,160994346,0,0
100.0,adaptive,64,ok,0.34,5.219,9.419,50.074,126.91,4.577e-04,50431,44064,64,2322984,1427223088,16223452,130585,130585
100.0,uniform,4,ok,0.175,0.469,7.301,3925.416,4030.928,3.637e-04,4680,4096,18763,199480,109239323770,1267224,0,0
100.0,uniform,5,ok,0.212,2.219,6.347,177.25,259.267,4.117e-04,37322,32642,2442,1722780,28492792946,12259992,0,0
100.0,uniform,6,ok,0.248,16.0,6.337,151.363,230.332,4.242e-04,257731,220409,346,11345993,4723065686,86980370,0,0
100.0,uniform,7,ok,0.341,58.156,7.886,133.42,212.513,4.298e-04,811851,554120,59,10117912,668130456,152806998,0,0
300.0,adaptive,64,ok,0.373,5.219,9.872,59.595,137.03,4.670e-04,68158,59465,64,3145739,1035800232,22196342,184793,184793
300.0,uniform,4,ok,0.186,0.469,6.074,32626.073,32974.562,2.919e-04,4680,4096,55450,199480,130179101896,1267224,0,0
300.0,uniform,5,ok,0.219,2.219,6.106,636.443,747.521,4.232e-04,37322,32642,7026,1722780,60169124008,12259992,0,0
300.0,uniform,6,ok,0.249,16.0,6.832,232.816,305.756,4.511e-04,257664,220342,942,11338636,12152672308,86928746,0,0
300.0,uniform,7,ok,0.354,58.125,7.98,141.884,220.875,4.579e-04,806829,549165,140,9767387,1846652122,150422678,0,0
1000.0,adaptive,64,ok,0.35,5.219,10.512,44.215,120.823,3.684e-04,48215,42034,64,2194360,1568328044,15316060,91078,91078
1000.0,uniform,4,ok,0.192,0.469,6.504,281299.067,284082.751,1.306e-04,4680,4096,162729,199480,135396043846,1267224,0,0
1000.0,uniform,5,ok,0.231,2.219,5.971,6038.758,6184.795,2.645e-04,37322,32642,23415,1722780,103391599874,12259992,0,0
1000.0,uniform,6,ok,0.286,16.0,6.427,399.348,510.033,3.436e-04,257640,220318,3009,11336026,32073674814,86910412,0,0
1000.0,uniform,7,ok,0.532,58.094,7.957,176.707,254.765,3.614e-04,805003,547363,430,9640701,5553890142,149586174,0,0
