case,n,tf,P,structure,param,status,t_cold_s,mem_gb,t_update_ms,t_lifecycle_ms,t_step_ms,vel_rel_rms,n_nodes,n_leaves,popmax,n_u,u_pairs,v_routes,w_entries,x_entries
wake,1000000,Float64,2,adaptive,64,ok,0.282,4.906,10.261,33.065,122.375,1.583e-02,67583,58572,64,3124084,939440940,21659630,162182,162182
wake,1000000,Float64,2,uniform,6,ok,0.194,13.75,6.439,26.531,98.892,1.509e-02,10428,8708,182,423308,6689251632,2652766,0,0
wake,1000000,Float64,2,uniform,7,ok,0.295,52.25,8.206,18.13,89.927,1.512e-02,71748,61320,37,3223056,919449840,22868000,0,0
wake,1000000,Float64,3,adaptive,64,ok,0.297,5.031,9.782,41.688,121.608,2.617e-03,67583,58572,64,3124084,939440940,21659630,162182,162182
wake,1000000,Float64,3,uniform,6,ok,0.195,13.938,6.059,27.125,97.461,2.278e-03,10428,8708,182,423308,6689251632,2652766,0,0
wake,1000000,Float64,3,uniform,7,ok,0.305,53.0,7.869,20.595,94.3,2.298e-03,71748,61320,37,3223056,919449840,22868000,0,0
wake,1000000,Float64,6,adaptive,64,ok,0.583,5.625,9.949,106.82,185.63,7.351e-05,67583,58572,64,3124084,939440940,21659630,162182,162182
wake,1000000,Float64,6,uniform,6,ok,0.357,14.812,5.929,35.908,108.395,5.000e-05,10428,8708,182,423308,6689251632,2652766,0,0
wake,1000000,Float64,6,uniform,7,ok,0.472,56.406,7.92,60.466,135.077,5.071e-05,71748,61320,37,3223056,919449840,22868000,0,0
wake,1000000,Float64,8,adaptive,64,ok,1.219,6.219,9.606,218.753,318.501,1.648e-05,67583,58572,64,3124084,939440940,21659630,162182,162182
wake,1000000,Float64,8,uniform,6,ok,0.706,15.688,6.247,50.143,126.237,1.280e-05,10428,8708,182,423308,6689251632,2652766,0,0
wake,1000000,Float64,8,uniform,7,ok,0.813,59.719,7.95,147.57,233.81,1.291e-05,71748,61320,37,3223056,919449840,22868000,0,0
multiscale100,1000000,Float64,2,adaptive,64,ok,0.258,4.906,9.508,33.057,110.395,9.054e-03,50431,44064,64,2322984,1427223088,16223452,130585,130585
multiscale100,1000000,Float64,2,uniform,6,ok,0.176,15.562,6.037,124.87,200.615,8.765e-03,257731,220409,346,11345993,4723065686,86980370,0,0
multiscale100,1000000,Float64,2,uniform,7,ok,0.324,56.5,7.735,77.912,177.467,8.855e-03,811851,554120,59,10117912,668130456,152806998,0,0
multiscale100,1000000,Float64,3,adaptive,64,ok,0.244,5.062,9.588,40.249,121.673,2.029e-03,50431,44064,64,2322984,1427223088,16223452,130585,130585
multiscale100,1000000,Float64,3,uniform,6,ok,0.192,15.75,6.297,135.06,212.086,1.931e-03,257731,220409,346,11345993,4723065686,86980370,0,0
multiscale100,1000000,Float64,3,uniform,7,ok,0.307,57.219,7.858,98.946,173.646,1.962e-03,811851,554120,59,10117912,668130456,152806998,0,0
multiscale100,1000000,Float64,6,adaptive,64,ok,0.551,5.625,9.671,92.704,176.387,4.694e-05,50431,44064,64,2322984,1427223088,16223452,130585,130585
multiscale100,1000000,Float64,6,uniform,6,ok,0.392,16.625,6.183,285.647,375.239,4.354e-05,257731,220409,346,11345993,4723065686,86980370,0,0
multiscale100,1000000,Float64,6,uniform,7,ok,0.544,60.656,7.399,392.019,504.125,4.416e-05,811851,554120,59,10117912,668130456,152806998,0,0
multiscale100,1000000,Float64,8,adaptive,64,ok,1.162,6.219,9.329,187.076,273.935,8.439e-06,50431,44064,64,2322984,1427223088,16223452,130585,130585
multiscale100,1000000,Float64,8,uniform,6,ok,0.712,17.5,5.099,583.96,693.739,8.133e-06,257731,220409,346,11345993,4723065686,86980370,0,0
multiscale100,1000000,Float64,8,uniform,7,ok,0.85,63.969,7.399,948.803,1061.187,8.290e-06,811851,554120,59,10117912,668130456,152806998,0,0
