case,n,structure,param,pop,count
unitcube,1000000,adaptive,64,57,4
unitcube,1000000,adaptive,64,58,3
unitcube,1000000,adaptive,64,59,4
unitcube,1000000,adaptive,64,60,2
unitcube,1000000,adaptive,64,61,1
unitcube,1000000,adaptive,64,62,1
unitcube,1000000,adaptive,64,64,1
unitcube,1000000,uniform,5,1,95
unitcube,1000000,uniform,5,2,131
unitcube,1000000,uniform,5,3,207
unitcube,1000000,uniform,5,4,311
unitcube,1000000,uniform,5,5,420
unitcube,1000000,uniform,5,6,638
unitcube,1000000,uniform,5,7,716
unitcube,1000000,uniform,5,8,747
unitcube,1000000,uniform,5,9,690
unitcube,1000000,uniform,5,10,563
unitcube,1000000,uniform,5,11,444
unitcube,1000000,uniform,5,12,280
unitcube,1000000,uniform,5,13,197
unitcube,1000000,uniform,5,14,129
unitcube,1000000,uniform,5,15,70
unitcube,1000000,uniform,5,16,38
unitcube,1000000,uniform,5,17,34
unitcube,1000000,uniform,5,18,26
unitcube,1000000,uniform,5,19,25
unitcube,1000000,uniform,5,20,36
unitcube,1000000,uniform,5,21,73
unitcube,1000000,uniform,5,22,125
unitcube,1000000,uniform,5,23,204
unitcube,1000000,uniform,5,24,277
unitcube,1000000,uniform,5,25,406
unitcube,1000000,uniform,5,26,556
unitcube,1000000,uniform,5,27,718
unitcube,1000000,uniform,5,28,846
unitcube,1000000,uniform,5,29,1103
unitcube,1000000,uniform,5,30,1261
unitcube,1000000,uniform,5,31,1452
unitcube,1000000,uniform,5,32,1608
unitcube,1000000,uniform,5,33,1784
unitcube,1000000,uniform,5,34,1778
unitcube,1000000,uniform,5,35,1806
unitcube,1000000,uniform,5,36,1813
unitcube,1000000,uniform,5,37,1655
unitcube,1000000,uniform,5,38,1545
unitcube,1000000,uniform,5,39,1509
unitcube,1000000,uniform,5,40,1280
unitcube,1000000,uniform,5,41,1058
unitcube,1000000,uniform,5,42,941
unitcube,1000000,uniform,5,43,791
unitcube,1000000,uniform,5,44,580
unitcube,1000000,uniform,5,45,476
unitcube,1000000,uniform,5,46,355
unitcube,1000000,uniform,5,47,259
unitcube,1000000,uniform,5,48,214
unitcube,1000000,uniform,5,49,126
unitcube,1000000,uniform,5,50,95
unitcube,1000000,uniform,5,51,70
unitcube,1000000,uniform,5,52,53
unitcube,1000000,uniform,5,53,29
unitcube,1000000,uniform,5,54,25
unitcube,1000000,uniform,5,55,20
unitcube,1000000,uniform,5,56,10
unitcube,1000000,uniform,5,57,4
unitcube,1000000,uniform,5,58,2
unitcube,1000000,uniform,5,59,4
unitcube,1000000,uniform,5,60,1
unitcube,1000000,uniform,5,61,1
unitcube,1000000,uniform,6,1,17447
unitcube,1000000,uniform,6,2,31336
unitcube,1000000,uniform,6,3,41289
unitcube,1000000,uniform,6,4,43512
unitcube,1000000,uniform,6,5,37606
unitcube,1000000,uniform,6,6,27140
unitcube,1000000,uniform,6,7,17249
unitcube,1000000,uniform,6,8,9415
unitcube,1000000,uniform,6,9,4514
unitcube,1000000,uniform,6,10,1978
unitcube,1000000,uniform,6,11,843
unitcube,1000000,uniform,6,12,270
unitcube,1000000,uniform,6,13,113
unitcube,1000000,uniform,6,14,34
unitcube,1000000,uniform,6,15,8
unitcube,1000000,uniform,6,16,2
unitcube,1000000,uniform,6,17,1
wake,1000000,adaptive,64,1,243
wake,1000000,adaptive,64,2,66
wake,1000000,adaptive,64,3,113
wake,1000000,adaptive,64,4,182
wake,1000000,adaptive,64,5,264
wake,1000000,adaptive,64,6,352
wake,1000000,adaptive,64,7,428
wake,1000000,adaptive,64,8,642
wake,1000000,adaptive,64,9,947
wake,1000000,adaptive,64,10,1412
wake,1000000,adaptive,64,11,1928
wake,1000000,adaptive,64,12,2551
wake,1000000,adaptive,64,13,3495
wake,1000000,adaptive,64,14,4223
wake,1000000,adaptive,64,15,4672
wake,1000000,adaptive,64,16,5061
wake,1000000,adaptive,64,17,5265
wake,1000000,adaptive,64,18,4971
wake,1000000,adaptive,64,19,4747
wake,1000000,adaptive,64,20,4092
wake,1000000,adaptive,64,21,3416
