case,n,structure,param,status,t_cold_s,t_update_ms,t_lifecycle_ms,t_step_ms,vel_rel_rms,n_leaves,popmax,u_pairs,v_routes,w_entries,x_entries
unitcube,100000,uniform,5,ok,11.559,311.1,3107.44,3415.26,2.523e-04,29328,15,18389722,10567098,0,0
unitcube,100000,adaptive,64,ok,2.944,431.73,2099.71,2538.73,3.872e-04,4096,49,131516616,1240008,0,0
unitcube,100000,uniform,4,ok,0.258,50.29,2132.27,2195.5,2.336e-04,4096,49,131516616,1267224,0,0
unitcube,100000,uniform,3,ok,0.221,23.34,9908.09,10016.8,2.138e-04,512,275,867959954,121680,0,0
unitcube,100000,adaptive,32,ok,0.907,471.58,3755.81,4220.37,3.892e-04,7873,32,95462928,1513128,135714,135714
unitcube,100000,adaptive,16,ok,1.703,1127.58,3223.84,4315.4,3.963e-04,26365,16,20911036,9209742,84216,84216
wake,100000,uniform,6,ok,0.357,107.52,1736.54,1851.64,4.202e-04,8291,30,66943484,2505042,0,0
wake,100000,adaptive,64,ok,0.655,252.32,2040.17,2304.31,5.429e-04,7587,64,71530206,2175864,43614,43614
wake,100000,uniform,7,ok,1.162,615.03,4841.95,5435.48,4.370e-04,48151,9,9272324,15624022,0,0
wake,100000,adaptive,32,ok,0.502,264.55,1753.91,2026.3,5.434e-04,7936,32,68164480,2324948,37721,37721
wake,100000,adaptive,16,ok,0.682,421.42,3919.26,4271.56,5.469e-04,18169,16,41741614,3345376,331079,331079
multiscale100,100000,uniform,5,ok,0.396,305.51,5645.81,5967.37,4.325e-04,26701,261,284929224,9086468,0,0
multiscale100,100000,adaptive,64,ok,0.693,469.35,2151.54,2632.65,5.032e-04,5817,64,102450902,1678896,35135,35135
multiscale100,100000,uniform,4,ok,0.135,50.39,12663.69,12727.09,3.569e-04,4096,1901,1094113224,1267224,0,0
multiscale100,100000,uniform,7,ok,1.788,1577.95,6936.18,8516.59,4.807e-04,73511,12,6782332,18528302,0,0
multiscale100,100000,adaptive,32,ok,0.951,515.91,2762.78,3291.41,5.106e-04,8003,32,83617818,1963018,97941,97941
multiscale100,100000,adaptive,16,ok,1.443,1049.5,4113.98,5167.46,5.222e-04,25856,16,24542738,7393376,288650,288650
unitcube,1000000,uniform,5,ok,1.046,670.1,26640.48,27535.14,2.304e-04,32710,61,1834560986,12284638,0,0
unitcube,1000000,adaptive,64,ok,3.301,2129.0,26358.12,28778.61,3.970e-04,32686,64,1834666400,12251452,339,339
unitcube,1000000,uniform,4,ok,0.786,438.63,147486.56,148229.14,2.265e-04,4096,342,13189758870,1267224,0,0
unitcube,1000000,adaptive,32,ok,8.008,5598.85,53362.97,59510.95,3.978e-04,159720,32,491867440,47974852,2084471,2084471
wake,1000000,uniform,6,ok,1.719,490.35,77259.33,77997.6,5.094e-04,8708,182,6689251632,2652766,0,0
wake,1000000,adaptive,64,ok,4.575,2834.75,21046.87,24205.37,6.583e-04,58572,64,939440940,21659630,162182,162182
wake,1000000,uniform,7,ok,2.693,1015.91,20090.62,21323.4,5.128e-04,61320,37,919449840,22868000,0,0
wake,1000000,adaptive,32,ok,4.483,2816.97,20531.82,23621.91,6.583e-04,59438,32,927291742,21895528,155905,155905
multiscale100,1000000,uniform,6,ok,3.106,2534.38,82799.19,85642.17,4.242e-04,220409,346,4723065686,86980370,0,0
multiscale100,1000000,adaptive,64,ok,3.405,2363.23,24044.65,26718.46,4.577e-04,44064,64,1427223088,16223452,130585,130585
multiscale100,1000000,uniform,7,ok,10.236,8828.36,70751.84,79911.15,4.298e-04,554120,59,668130456,152806998,0,0
multiscale100,1000000,adaptive,32,ok,5.577,3876.62,33889.06,38098.51,4.612e-04,96890,32,881021880,30493052,1028900,1028900
