case,n,tf,P,structure,param,status,t_cold_s,mem_gb,t_update_ms,t_lifecycle_ms,t_step_ms,vel_rel_rms,n_nodes,n_leaves,popmax,n_u,u_pairs,v_routes,w_entries,x_entries
unitcube,10000,Float64,4,adaptive,32,ok,35.608,0.846,0.801,2.03,3.309,3.545e-04,633,554,32,22450,8379376,94664,1556,1556
unitcube,10000,Float64,4,adaptive,64,ok,0.102,0.75,0.69,0.525,1.693,3.530e-04,585,512,37,21016,8649338,94464,0,0
unitcube,10000,Float64,4,adaptive,128,ok,0.101,0.719,0.7,1.458,2.642,3.519e-04,545,477,127,19437,9309130,84694,463,463
unitcube,10000,Float64,4,adaptive,256,ok,0.1,0.719,0.607,0.642,1.748,3.004e-04,73,64,198,1768,45180510,2328,0,0
unitcube,10000,Float64,4,uniform,3,ok,7.272,0.062,0.264,0.537,1.305,2.112e-04,584,512,37,21016,8649338,121680,0,0
unitcube,10000,Float64,4,uniform,4,ok,0.116,0.281,0.295,1.5,2.247,2.849e-04,4275,3691,9,167347,1312650,1076240,0,0
unitcube,10000,Float64,4,uniform,5,ok,0.061,0.625,0.294,2.483,3.274,3.995e-04,12779,8504,5,136610,191270,1885358,0,0
unitcube,10000,Float64,4,uniform,6,ok,0.122,0.688,0.294,2.893,3.699,5.575e-04,22581,9802,2,32476,33994,2036426,0,0
unitcube,10000,Float64,4,uniform,7,ok,0.136,0.688,0.428,3.039,3.95,7.937e-04,32558,9977,2,12995,13074,2057242,0,0
wake,10000,Float64,4,adaptive,32,ok,0.103,0.75,0.928,2.196,3.633,4.765e-04,1204,992,32,40694,4749804,149280,5551,5551
wake,10000,Float64,4,adaptive,64,ok,0.103,0.75,0.862,4.282,5.654,4.587e-04,753,638,59,26626,7447684,64570,9019,9019
wake,10000,Float64,4,adaptive,128,ok,0.102,0.719,0.751,0.535,1.787,4.461e-04,289,232,115,7520,19509298,19142,0,0
wake,10000,Float64,4,adaptive,256,ok,0.102,0.719,0.762,1.566,2.866,4.462e-04,267,213,248,6769,20318730,16860,98,98
wake,10000,Float64,4,uniform,3,ok,0.056,0.031,0.261,1.34,2.096,2.882e-04,56,32,368,496,49898992,432,0,0
wake,10000,Float64,4,uniform,4,ok,0.058,0.25,0.295,0.474,1.267,3.346e-04,288,232,115,7520,19509298,19190,0,0
wake,10000,Float64,4,uniform,5,ok,0.06,0.562,0.297,0.736,1.494,3.894e-04,1406,1118,21,45416,4354150,189148,0,0
wake,10000,Float64,4,uniform,6,ok,0.062,0.594,0.293,1.92,2.713,4.548e-04,7013,5607,7,204537,677490,1317372,0,0
wake,10000,Float64,4,uniform,7,ok,0.07,0.656,0.413,2.623,3.526,5.697e-04,16203,9190,4,84784,101270,1802592,0,0
multiscale100,10000,Float64,4,adaptive,32,ok,0.467,0.75,1.276,3.81,5.623,4.425e-04,1061,918,31,37302,5938496,147164,12434,12434
multiscale100,10000,Float64,4,adaptive,64,ok,0.128,0.75,1.062,3.405,5.03,4.387e-04,945,823,46,34141,6352556,132862,10130,10130
multiscale100,10000,Float64,4,adaptive,128,ok,0.103,0.719,1.171,6.066,7.789,4.120e-04,559,487,121,19583,13537206,53202,9883,9883
multiscale100,10000,Float64,4,adaptive,256,ok,0.102,0.719,0.953,5.459,6.982,3.121e-04,257,225,198,8577,23490664,15990,3474,3474
multiscale100,10000,Float64,4,uniform,3,ok,0.056,0.062,0.262,11.381,12.121,2.110e-04,584,512,1291,21016,21795574,121680,0,0
multiscale100,10000,Float64,4,uniform,4,ok,0.058,0.25,0.296,1.502,2.279,3.310e-04,3776,3192,198,127378,10952392,842762,0,0
multiscale100,10000,Float64,4,uniform,5,ok,0.06,0.594,0.298,2.005,2.766,4.228e-04,9800,6024,39,76912,2887316,1274734,0,0
multiscale100,10000,Float64,4,uniform,6,ok,0.063,0.656,0.3,2.548,3.3,4.965e-04,17454,7654,10,71804,480888,1630044,0,0
multiscale100,10000,Float64,4,uniform,7,ok,0.072,0.719,0.409,3.092,3.997,6.334e-04,26861,9407,4,55519,77530,1913542,0,0
unitcube,31623,Float64,4,adaptive,32,ok,0.111,2.0,1.067,1.932,4.699,3.801e-04,4639,4058,32,197534,13218603,1227312,399,399
unitcube,31623,Float64,4,adaptive,64,ok,0.108,1.938,1.112,11.115,13.649,3.783e-04,2296,2009,64,87759,34305563,415108,24776,24776
unitcube,31623,Float64,4,adaptive,128,ok,0.106,1.906,0.875,0.884,3.165,3.580e-04,585,512,104,21016,86830775,94464,0,0
unitcube,31623,Float64,4,adaptive,256,ok,0.105,1.875,0.876,0.887,3.165,3.580e-04,585,512,104,21016,86830775,94464,0,0
unitcube,31623,Float64,4,uniform,3,ok,0.057,0.062,0.405,0.882,2.708,2.160e-04,584,512,104,21016,86830775,121680,0,0
unitcube,31623,Float64,4,uniform,4,ok,0.059,0.281,0.444,1.737,3.866,2.538e-04,4669,4085,21,198741,13170943,1262602,0,0
unitcube,31623,Float64,4,uniform,5,ok,0.065,1.812,0.429,5.082,6.929,3.083e-04,24140,19471,7,683433,1857777,5479970,0,0
unitcube,31623,Float64,4,uniform,6,ok,0.073,2.0,0.439,6.639,8.499,3.905e-04,53706,29566,4,234642,270503,6865002,0,0
unitcube,31623,Float64,4,uniform,7,ok,0.073,2.0,0.582,7.234,9.235,5.365e-04,85036,31330,4,61334,62811,7068980,0,0
wake,31623,Float64,4,adaptive,32,ok,0.112,2.0,1.606,16.553,19.68,6.090e-04,5342,4556,32,194602,15462193,851116,64116,64116
wake,31623,Float64,4,adaptive,64,ok,0.108,1.938,1.137,1.909,4.486,5.900e-04,1434,1187,64,49609,43641435,200174,5155,5155
wake,31623,Float64,4,adaptive,128,ok,0.106,1.906,1.045,8.341,10.795,5.710e-04,896,761,127,31719,66861029,86344,10084,10084
wake,31623,Float64,4,adaptive,256,ok,0.106,1.875,1.044,10.79,13.218,5.654e-04,743,632,255,26428,78990211,63658,9321,9321
wake,31623,Float64,4,uniform,3,ok,0.057,0.062,0.401,12.564,10.764,3.684e-04,56,32,1098,496,499028411,432,0,0
