case,n,tf,band,p,h_over_sigma,mesh_dims,mesh_points,mem_gb,t_spread_ms,t_fft_ms,t_kmul_ms,t_interp_ms,t_launch_ms,t_total_ms,anchor_ms,speedup_vs_anchor,post038_ms,speedup_vs_post038,feasible
cube,100000,Float32,optimistic,4,0.55,96x96x96,884736,0.042,0.050,0.076,0.019,0.100,0.500,0.745,11.343,15.23,11.343,15.23,ok
cube,100000,Float32,nominal,4,0.55,96x96x96,884736,0.042,0.125,0.106,0.027,0.250,1.000,1.508,11.343,7.52,11.343,7.52,ok
cube,100000,Float32,pessimistic,4,0.40,128x128x128,2097152,0.101,0.333,0.629,0.105,0.667,2.000,3.734,11.343,3.04,11.343,3.04,ok
cube,100000,Float64,optimistic,4,0.55,96x96x96,884736,0.085,0.100,0.152,0.038,0.200,0.500,0.990,21.033,21.25,21.033,21.25,ok
cube,100000,Float64,nominal,4,0.55,96x96x96,884736,0.085,0.250,0.212,0.053,0.500,1.000,2.015,21.033,10.44,21.033,10.44,ok
cube,100000,Float64,pessimistic,4,0.40,128x128x128,2097152,0.201,0.667,1.258,0.210,1.333,2.000,5.468,21.033,3.85,21.033,3.85,ok
cube,1000000,Float32,optimistic,4,0.55,192x192x192,7077888,0.340,0.500,0.607,0.152,1.000,0.500,2.758,102.284,37.08,102.284,37.08,ok
cube,1000000,Float32,nominal,4,0.55,192x192x192,7077888,0.340,1.250,0.849,0.212,2.500,1.000,5.812,102.284,17.60,102.284,17.60,ok
cube,1000000,Float32,pessimistic,4,0.40,270x270x270,19683000,0.945,3.333,5.905,0.984,6.667,2.000,18.889,102.284,5.41,102.284,5.41,ok
cube,1000000,Float64,optimistic,4,0.55,192x192x192,7077888,0.679,1.000,1.213,0.303,2.000,0.500,5.017,NaN,NaN,NaN,NaN,ok
cube,1000000,Float64,nominal,4,0.55,192x192x192,7077888,0.679,2.500,1.699,0.425,5.000,1.000,10.623,NaN,NaN,NaN,NaN,ok
cube,1000000,Float64,pessimistic,4,0.40,270x270x270,19683000,1.890,6.667,11.810,1.968,13.333,2.000,35.778,NaN,NaN,NaN,NaN,ok
wake,100000,Float32,optimistic,4,0.55,64x64x288,1179648,0.057,0.050,0.101,0.025,0.100,0.500,0.776,7.849,10.11,7.849,10.11,ok
wake,100000,Float32,nominal,4,0.55,64x64x288,1179648,0.057,0.125,0.142,0.035,0.250,1.000,1.552,7.849,5.06,7.849,5.06,ok
wake,100000,Float32,pessimistic,4,0.40,90x90x384,3110400,0.149,0.333,0.933,0.156,0.667,2.000,4.089,7.849,1.92,7.849,1.92,ok
wake,100000,Float64,optimistic,4,0.55,64x64x288,1179648,0.113,0.100,0.202,0.051,0.200,0.500,1.053,14.430,13.71,14.430,13.71,ok
wake,100000,Float64,nominal,4,0.55,64x64x288,1179648,0.113,0.250,0.283,0.071,0.500,1.000,2.104,14.430,6.86,14.430,6.86,ok
wake,100000,Float64,pessimistic,4,0.40,90x90x384,3110400,0.299,0.667,1.866,0.311,1.333,2.000,6.177,14.430,2.34,14.430,2.34,ok
wake,1000000,Float32,optimistic,4,0.55,125x125x600,9375000,0.450,0.500,0.804,0.201,1.000,0.500,3.004,83.602,27.83,83.602,27.83,ok
wake,1000000,Float32,nominal,4,0.55,125x125x600,9375000,0.450,1.250,1.125,0.281,2.500,1.000,6.156,83.602,13.58,83.602,13.58,ok
wake,1000000,Float32,pessimistic,4,0.40,180x180x810,26244000,1.260,3.333,7.873,1.312,6.667,2.000,21.185,83.602,3.95,83.602,3.95,ok
wake,1000000,Float64,optimistic,4,0.55,125x125x600,9375000,0.900,1.000,1.607,0.402,2.000,0.500,5.509,179.024,32.50,179.024,32.50,ok
wake,1000000,Float64,nominal,4,0.55,125x125x600,9375000,0.900,2.500,2.250,0.562,5.000,1.000,11.312,179.024,15.83,179.024,15.83,ok
wake,1000000,Float64,pessimistic,4,0.40,180x180x810,26244000,2.519,6.667,15.746,2.624,13.333,2.000,40.371,179.024,4.43,179.024,4.43,ok
rotor,100000,Float32,optimistic,4,0.55,,5.183570e+11,24881.1,,,,,,,12.331,,7.006,,INFEASIBLE
rotor,100000,Float32,nominal,4,0.55,,5.183570e+11,24881.1,,,,,,,12.331,,7.006,,INFEASIBLE
rotor,100000,Float32,pessimistic,4,0.40,,1.347499e+12,64680.0,,,,,,,12.331,,7.006,,INFEASIBLE
rotor,100000,Float64,optimistic,4,0.55,,5.183570e+11,49762.3,,,,,,,22.943,,11.491,,INFEASIBLE
rotor,100000,Float64,nominal,4,0.55,,5.183570e+11,49762.3,,,,,,,22.943,,11.491,,INFEASIBLE
rotor,100000,Float64,pessimistic,4,0.40,,1.347499e+12,129359.9,,,,,,,22.943,,11.491,,INFEASIBLE
rotor,1000000,Float32,optimistic,4,0.55,,5.166486e+14,24799130.6,,,,,,,240.236,,33.971,,INFEASIBLE
rotor,1000000,Float32,nominal,4,0.55,,5.166486e+14,24799130.6,,,,,,,240.236,,33.971,,INFEASIBLE
rotor,1000000,Float32,pessimistic,4,0.40,,1.343088e+15,64468205.2,,,,,,,240.236,,33.971,,INFEASIBLE
rotor,1000000,Float64,optimistic,4,0.55,,5.166486e+14,49598261.2,,,,,,,477.864,,60.867,,INFEASIBLE
rotor,1000000,Float64,nominal,4,0.55,,5.166486e+14,49598261.2,,,,,,,477.864,,60.867,,INFEASIBLE
rotor,1000000,Float64,pessimistic,4,0.40,,1.343088e+15,128936410.4,,,,,,,477.864,,60.867,,INFEASIBLE
