case,n,tf,strategy,structure,param,status,t_cold_s,mem_gb,t_update_ms,t_lifecycle_ms,t_step_ms,vel_rel_rms,n_nodes,n_leaves,popmax,n_u,u_pairs,v_routes,w_entries,x_entries,t_sort_ms,t_build_ms,t_balance_ms,t_finalize_ms,t_dtr_ms,t_csr_ms,t_umap_ms,t_groups_ms
multiscale100,1000000,Float64,dense,adaptive,64,ok,0.293,5.188,10.401,50.075,138.242,4.577e-04,50431,44064,64,2322984,1427223088,16223452,130585,130585,1.991,0.888,0.831,1.78,6.94,44.391,0.049,0.088
multiscale100,1000000,Float64,dense,adaptive,128,ok,0.348,3.625,10.105,84.492,197.16,4.580e-04,39965,34949,128,1859257,1789810610,12451506,242610,242610,1.972,0.802,0.745,1.622,5.81,36.692,0.054,0.12
multiscale100,1000000,Float64,dense,uniform,5,ok,0.218,2.188,6.355,177.954,287.796,4.117e-04,37322,32642,2442,1722780,28492792946,12259992,0,0,,,,,,,,
multiscale100,1000000,Float64,dense,uniform,6,ok,0.28,15.969,6.85,151.16,259.049,4.242e-04,257731,220409,346,11345993,4723065686,86980370,0,0,,,,,,,,
multiscale100,1000000,Float32,concat,adaptive,64,ok,0.256,5.0,7.704,106.368,176.612,4.578e-04,50431,44064,64,2322984,1427223104,16223452,130585,130585,2.016,0.916,0.803,1.695,6.975,44.375,0.05,0.091
multiscale100,1000000,Float32,concat,adaptive,128,ok,0.25,3.531,7.731,99.369,165.96,4.581e-04,39965,34949,128,1859257,1789810626,12451506,242610,242610,2.021,0.898,0.809,1.696,5.921,36.747,0.048,0.087
multiscale100,1000000,Float32,concat,uniform,5,ok,0.115,1.938,4.64,101.821,166.904,4.117e-04,37322,32642,2442,1722780,28492792946,12259992,0,0,,,,,,,,
multiscale100,1000000,Float32,concat,uniform,6,ok,0.404,13.812,4.39,328.589,410.082,4.243e-04,257730,220408,346,11345888,4723065618,86979792,0,0,,,,,,,,
multiscale100,1000000,Float32,dense,adaptive,64,ok,1.569,4.812,7.694,27.702,90.777,4.578e-04,50431,44064,64,2322984,1427223104,16223452,130585,130585,1.963,0.823,0.773,1.673,6.935,44.366,0.048,0.093
multiscale100,1000000,Float32,dense,adaptive,128,ok,1.25,3.375,7.881,41.059,106.735,4.581e-04,39965,34949,128,1859257,1789810626,12451506,242610,242610,1.969,0.798,0.756,1.617,5.881,36.756,0.047,0.087
multiscale100,1000000,Float32,dense,uniform,5,ok,0.829,2.062,4.502,68.903,128.535,4.117e-04,37322,32642,2442,1722780,28492792946,12259992,0,0,,,,,,,,
multiscale100,1000000,Float32,dense,uniform,6,ok,0.786,15.531,6.014,54.375,122.857,4.243e-04,257730,220408,346,11345888,4723065618,86979792,0,0,,,,,,,,
