stage_index,stage,pre3D,cycle3D
1,B2M,1.84,3.368
2,M2M,1.6,1.609
3,M2L,5.471,4.945
4,L2L,1.598,1.605
5,NF+L2B,166.766,74.027
6,refresh,1.041,1.027
