config_index,config,cutoff,fmm,total,bound
1,cube1e5-P4,4.9082046693368256e-5,0.0009347811827836844,0.0009346977638947829,0.0009838632294770528
2,cube1e5-P5,0.0005558073889195462,0.0004052253939345092,0.0006805953709599062,0.0009610327828540554
3,cube1e6-P4,4.982934841541542e-5,0.00097946612916039,0.0009834678566882533,0.0010292954775758055
4,cube1e6-P5,0.000514399127444871,0.00047325290720036183,0.0007078187887483061,0.000987652034645233
5,wake1e5-P4,1.0478876745271717e-5,0.0006945978329851735,0.0006941304394896323,0.0007050767097304452
6,wake1e5-P5,0.0001048376436415678,0.00028902675308704293,0.00032988011676843445,0.00039386439672861075
7,wake1e6-P4,3.688873220376328e-6,0.0007019423194331542,0.0007020404516420007,0.0007056311926535305
8,wake1e6-P5,3.6138568554429555e-5,0.0002888453718648166,0.0002989315015147362,0.0003249839404192461
