# 024 raw, cuda H200 eligible rows, Float32 P=4; max direct gradient error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
3.891357,4.272512971137399e-6
3.955216,1.8298729708154937e-6
3.960088,4.3321176159127894e-6
3.980247,1.8000706484277984e-6
3.98119,1.8298729708154937e-6
4.032802,4.361919938300485e-6
4.218999,4.2427106487497035e-6
4.231782,1.8447741320093414e-6
5.451446,1.1982011728361996e-6
5.645983,1.1982011728361996e-6
5.674949,1.596149769844679e-5
5.816562,1.1982011728361996e-6
5.823964,1.596149769844679e-5
5.902267,1.6199916277548354e-5
6.113478,1.1982011728361996e-6
6.346228,1.572307911934523e-5
8.81851,0.00018568238221861044
8.900505,0.00018550356828428427
8.932612,0.00018568238221861044
9.110307,0.00018550356828428427
11.454173,0.00012228201307262765
11.700333,0.0001225204316517292
11.797163,0.00012228201307262765
12.155513,0.00012240122236217843
