# 024 raw, cuda H200 eligible rows, Float32 P=12; max direct potential error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
5.685936,4.619876714517801e-8
5.790934,3.874818654825418e-8
5.918295,4.619876714517801e-8
7.809677,nan
7.939694,nan
8.383398,nan
15.001049,7.425786688330938e-8
17.107718,7.425786688330938e-8
18.50547,6.680728628638555e-8
23.452678,nan
28.074393,nan
31.373532,nan
64.982524,7.281151290228216e-8
67.035056,7.039112286111315e-8
68.646673,7.379231511950302e-8
76.62273,nan
81.503381,nan
85.03361,nan
