# 024 raw, cuda H200 eligible rows, Float32 P=8; max direct gradient error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
4.704849,6.301134755637428e-7
4.73722,6.301134755637428e-7
4.753409,6.338387658622047e-7
5.105967,6.338387658622047e-7
5.71386,5.981487351691683e-5
6.160514,5.957645493781527e-5
6.506369,1.6424777439516536e-7
6.728929,1.6424777439516536e-7
6.750808,1.6424777439516536e-7
6.966387,6.0053292096018396e-5
7.271669,1.6424777439516536e-7
7.358962,6.076854783332308e-5
9.413559,7.681681426618958e-6
11.181586,7.681681426618958e-6
11.986821,7.681681426618958e-6
12.271038,7.681681426618958e-6
22.591821,6.549108307840612e-5
23.062537,6.549108307840612e-5
23.883914,6.549108307840612e-5
24.296042,6.549108307840612e-5
27.160682,4.089878798740898e-5
29.009253,4.089878798740898e-5
29.811305,4.089878798740898e-5
30.279102,4.089878798740898e-5
