# 019b crossover_isolated, m12-1-7 EPYC 7763, BLAS=1, Float64, batch=64, lamb_helmholtz=false
P,recurrence_us,materialized_us,factored_us
1,0.2567953,0.37982340000000003,0.24568120000000002
2,0.4700797,0.6583827999999999,0.5388484
3,0.8298405999999999,1.119714,0.9707155999999999
4,1.37142,1.7694219999999998,1.5599690000000002
5,2.1714219999999997,2.739844,2.3583279999999998
6,3.3215470000000002,3.898578,3.3943440000000002
8,7.234375,7.805922,6.337219
12,22.60311,21.88581,16.33006
