# 024 raw, cuda H200 eligible rows, Float64 P=8; max direct gradient error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
4.512699,2.0139710196417915e-8
4.558131,2.0139710151315104e-8
4.569585,2.0139710151315104e-8
5.023776,2.0139710159988722e-8
6.909047,3.870872119539348e-8
6.921273,1.5318346716086673e-8
6.939512,3.870872115376012e-8
6.958492,3.8708721146821223e-8
7.276222,1.5318346723025567e-8
7.595199,3.8708721146821223e-8
8.382668,1.5318346723025567e-8
8.958616,1.5318346723025567e-8
10.510134,1.923349245841477e-8
10.922867,1.9233492506987027e-8
12.999067,1.9233492461884216e-8
13.355014,1.9233492465353663e-8
28.673332,1.0720900077421103e-8
29.080875,1.0720900132932254e-8
30.169665,1.0720900132932254e-8
30.765411,1.0720900139871148e-8
36.560111,1.3772861906513612e-8
37.064998,1.3772861909983058e-8
39.182043,1.3772861913452505e-8
39.613204,1.3772861906513612e-8
1676.518644,3.777705174651258e-7
1677.086076,3.777705176871704e-7
1678.899408,3.777705176941093e-7
1679.777128,3.777705176941093e-7
1840.490579,2.0502546532741306e-7
1841.299385,2.0502546535516863e-7
1844.617498,2.0502546532741306e-7
1845.317243,2.0502546532741306e-7
