# 008c dense_vs_loop, m12-2-5 EPYC 7763, BLAS=72, Float64 P=20; recurrence / dense per-expansion time. Large-batch recurrence rows are projected (scaled_from_per_expansion=true).
batch,axis_swap_speedup,m2l_z_translation_speedup,m2m_z_translation_speedup,l2l_z_translation_speedup
1,7.163758177385692,1.364721372675214,0.4670468192460883,0.7498782839509808
8,26.935670242887074,5.6463846132319375,1.9322857142857144,3.1195317761890187
64,35.274183353434765,8.252872449159412,2.8531938772095415,4.551052711418233
512,16.42333715285101,9.16507901854198,3.283289016822503,5.036171827405013
4096,45.10795314891074,10.28309745461519,3.8617964293997535,7.352738338637802
32768,56.65954025306942,17.951675492229867,6.409145540694797,9.876471970327799
262144,65.40981828995952,16.080410413597292,5.551706908865749,8.974427052458957
