# 024 raw, cuda H200 eligible rows, Float64 P=4; max direct gradient error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
4.031748,3.267220252400893e-7
4.04842,3.267220252539671e-7
4.056033,3.267220252539671e-7
4.08705,3.976956461371195e-7
4.180377,3.976956461509973e-7
4.524648,3.976956461579362e-7
4.53229,3.267220252539671e-7
5.115312,3.976956461440584e-7
5.595708,1.8291530581859838e-7
5.769583,1.829153058047206e-7
5.878351,3.317896123400388e-7
6.035051,1.829153058047206e-7
6.119823,3.317896123400388e-7
6.136966,3.317896122984054e-7
6.415616,1.8291530581859838e-7
6.953614,3.317896123539166e-7
10.261686,5.365387701350421e-7
10.374375,5.365387701489199e-7
10.425024,5.365387701489199e-7
10.660037,5.365387701350421e-7
13.031936,3.7710980814453787e-7
13.192604,3.7710980814453787e-7
13.414588,3.771098081306601e-7
13.754818,3.7710980814453787e-7
1080.604661,5.181347318423957e-6
1081.368377,5.181347318423957e-6
1081.727543,5.181347318423957e-6
1082.078295,5.181347318410079e-6
1230.476907,5.248772957155978e-6
1231.907041,5.248772957155978e-6
1233.721832,5.248772957155978e-6
1238.177839,5.248772957155978e-6
