# 019/022, m13h-1-1 H200, same case; phase order = device exec / host list build / state build. List/state build are setup costs, not 023 recurring-step costs.
phase_index,baseline_022_s,post_abd_s,post_e_s
1,1.863,0.4329987,0.1159986
2,5.55,0.3622664,0.350241
3,1.311,0.6232811,0.6170943
