point_index,point,shipped034,cycle1,cycle2,cycle3
1,cube1e5,94.555,20.566,20.626,21.132
2,cube1e6,nan,nan,309.954,207.937
3,wake1e5,57.072,23.757,21.563,14.562
4,wake1e6,nan,nan,398.735,178.999
