# 024 raw, cuda H200 eligible rows, Float32 P=8; max direct potential error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
4.704849,2.4687266939049657e-8
4.73722,3.2137847535973485e-8
4.753409,3.2137847535973485e-8
5.105967,2.4687266939049657e-8
5.71386,1.3277346654072542e-7
6.160514,1.3277346654072542e-7
6.506369,nan
6.728929,nan
6.750808,nan
6.966387,1.4022404713764924e-7
7.271669,nan
7.358962,1.3277346654072542e-7
9.413559,nan
11.181586,nan
11.986821,nan
12.271038,nan
22.591821,5.85294034072259e-8
23.062537,6.131783278351399e-8
23.883914,5.964802789193424e-8
24.296042,6.131783278351399e-8
27.160682,nan
29.009253,nan
29.811305,nan
30.279102,nan
