# 024 raw, cuda H200 eligible rows, Float32 P=4; max direct potential error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
3.891357,1.0874365696800226e-7
3.955216,4.2390221346999546e-8
3.960088,8.917356435211854e-8
3.980247,3.7638246117022156e-8
3.98119,3.4455735598015735e-8
4.032802,1.0496718161334684e-7
4.218999,9.95759033006749e-8
4.231782,3.7638246117022156e-8
5.451446,nan
5.645983,nan
5.674949,nan
5.816562,nan
5.823964,nan
5.902267,nan
6.113478,nan
6.346228,nan
8.81851,1.2017543601916536e-7
8.900505,1.1833818258644158e-7
8.932612,1.2017543601916536e-7
9.110307,1.1272485542224153e-7
11.454173,nan
11.700333,nan
11.797163,nan
12.155513,nan
