# 023 benchmark_023_m13h-1-1, H200 resident radix step split; phase order = update/lifecycle/finalize (sums to the recurring step)
phase_index,n10000_s,n100000_s
1,0.005721092224121094,0.007139921188354492
2,0.02638697624206543,0.07137203216552734
3,0.0009469985961914062,0.005883932113647461
