# 024 raw, cuda H200 eligible rows, Float64 P=4; max direct potential error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
4.031748,5.937905736552729e-9
4.04842,5.937905736552729e-9
4.056033,5.937905736552729e-9
4.08705,1.0235501182731532e-8
4.180377,1.0235501182731532e-8
4.524648,1.0235501168853745e-8
4.53229,5.937905736552729e-9
5.115312,1.0235501210487108e-8
5.595708,nan
5.769583,nan
5.878351,nan
6.035051,nan
6.119823,nan
6.136966,nan
6.415616,nan
6.953614,nan
10.261686,1.1902074770198112e-8
10.374375,1.1902074797953688e-8
10.425024,1.1902074811831476e-8
10.660037,1.1902074811831476e-8
13.031936,nan
13.192604,nan
13.414588,nan
13.754818,nan
1080.604661,6.490547538318125e-8
1081.368377,6.490547538318125e-8
1081.727543,6.49054753276701e-8
1082.078295,6.490547549420356e-8
1230.476907,nan
1231.907041,nan
1233.721832,nan
1238.177839,nan
