# 024 raw, cuda H200 eligible rows, Float64 P=12; max direct gradient error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
7.814291,1.8528267392570186e-9
7.939355,1.852826737522295e-9
8.012928,1.8528267427264655e-9
8.262416,1.8528267340528481e-9
8.707146,6.444622301093883e-10
8.719129,6.444622335788353e-10
9.408581,6.444622370482822e-10
9.511564,6.444621503121084e-10
20.520627,1.433508562288105e-9
21.477309,1.4335085726964458e-9
23.484918,1.433508565757552e-9
25.595155,1.433508558818658e-9
25.970867,1.036776671459183e-9
32.515854,1.0367766645202892e-9
34.957261,1.0367766645202892e-9
37.742659,1.036776609009138e-9
88.17536,1.0521714471911636e-9
89.466422,1.052171419435588e-9
91.412671,1.0521714471911636e-9
93.814198,1.0521714471911636e-9
107.268782,9.806946678347916e-10
114.093262,9.806946678347916e-10
116.611715,9.806946678347916e-10
119.054218,9.806947511015185e-10
3635.756738,2.4786247457275756e-8
3643.120825,2.4786247415642393e-8
3645.001579,2.4786247457275756e-8
3646.68705,2.4786247457275756e-8
4184.894673,1.4303039058694011e-8
4195.646092,1.4303039058694011e-8
4199.645706,1.4303039058694011e-8
