# 019b crossover_stage, m12-1-7 EPYC 7763, BLAS=1, Float64; per-route legacy recurrence / whole-slab concat host (>1 = operators win)
P,tinyparent_phi,tinyparent_lh,smallconstp_phi,smallconstp_lh,mediumconstp_phi,mediumconstp_lh
1,7.618583006906793,2.764738601642982,3.2086325433111362,1.4511671238059207,nan,nan
2,3.7121372824299055,1.686432511430862,3.778065315875672,1.6022371431660243,4.446205720812268,1.8153117988892569
3,2.383160166781492,1.225667387423481,2.1782716535376916,1.1314235619459534,nan,nan
4,1.7466059688843152,1.013207645984627,1.6923154696560512,0.9388696772552714,1.8512223790820275,1.0114717527772712
6,1.2556112523322134,0.782817785928789,1.162445893984247,0.7497755416588452,nan,nan
8,1.1556467813063647,0.6907909205635411,1.0853470346859329,0.6621244967482192,nan,nan
