# 019b crossover_isolated, m12-1-7 EPYC 7763, BLAS=1, Float64, batch=64, lamb_helmholtz=true
P,recurrence_us,materialized_us,factored_us
1,0.3568375,0.9389687,0.8130780999999999
2,0.6477172,1.5599690000000002,1.5502889999999998
3,1.1102580000000002,2.410953,2.5665310000000003
4,1.777563,3.5609059999999997,4.006438
5,2.771297,5.1280779999999995,5.7868129999999995
6,4.170484,7.188359,8.168327999999999
8,8.327688,12.64141,14.61778
12,24.754640000000002,31.639920000000004,35.99514
