# 024 case_rankings, cuda; geometric mean of Lamb-Helmholtz / phi-only recurring-step time at matched (BLAS, precision, distribution, n)
P,concat_ratio,factored_ratio,precomputed_y_ratio,dense_ratio
4,1.3754341060978845,1.3163529687400835,1.369910000045958,1.3323514316001557
8,1.3703398259800972,1.3750990625486788,1.3406119739746483,1.4527187261165002
12,1.3100617506351986,1.2890093692578966,1.2587424411325128,1.409725923801041
