# 019b layout_storage (analytic, host-independent); padded-vs-ragged chi storage overhead per column, Float64, P_chi = P_phi + 1
P_phi,flat_pct,degreemajor_pct
1,33.33,38.46
2,25,28.000000000000004
3,20,21.95
4,16.669999999999998,18.029999999999998
5,14.29,15.290000000000001
6,12.5,13.270000000000001
8,10,10.5
12,7.140000000000001,7.3999999999999995
20,4.55,4.65
