# 024 raw, cuda H200 eligible rows, Float64 P=8; max direct potential error vs complete recurring-step time. Single fixed ConstantPAnalyticStencil tolerance -- no tolerance sweep exists.
step_ms,error
4.512699,1.0905483460721399e-10
4.558131,1.090548484850018e-10
4.569585,1.090548484850018e-10
5.023776,1.0905483460721399e-10
6.909047,nan
6.921273,1.9184195898525047e-10
6.939512,nan
6.958492,nan
7.276222,1.9184193122967486e-10
7.595199,nan
8.382668,1.9184193122967486e-10
8.958616,1.9184193122967486e-10
10.510134,nan
10.922867,nan
12.999067,nan
13.355014,nan
28.673332,1.3955496480644314e-10
29.080875,1.3955497868423095e-10
30.169665,1.3955499256201875e-10
30.765411,1.3955497868423095e-10
36.560111,nan
37.064998,nan
39.182043,nan
39.613204,nan
1676.518644,3.5219527294572117e-9
1677.086076,3.521952715579424e-9
1678.899408,3.521952715579424e-9
1679.777128,3.5219527294572117e-9
1840.490579,nan
1841.299385,nan
1844.617498,nan
1845.317243,nan
