stage_index,stage,shipped034,pre3D,cycle3D
1,B2M,21.802,0.396,0.713
2,M2M,0.863,1.104,1.081
3,M2L,7.09,3.284,4.423
4,L2L,0.803,1.104,1.074
5,NF+L2B,22.931,7.734,5.456
6,refresh,0.27,0.335,0.315
