# 008c dense_gpu, m13h-1-1 H200, hand-written fused scalar kernel (not cuBLAS), Float64 P=20; nanoseconds per expansion
batch,m2lz_resident_ns,m2lz_with_transfer_ns,axisswap_resident_ns,axisswap_with_transfer_ns
1,10176,31648,12352,34784
8,1340,4568,1592,5332
64,182.5,1090.5,211.5,1646.5
512,30.500000000000004,617.0625,46,1029.375
4096,10.92187,464.4609,27.92969,882.1484999999999
32768,9.396484000000001,821.6787,24.534180000000003,1308.596
262144,8.149291999999999,613.7826,22.7915,1132.258
