# 024 case_rankings, cpu; geometric mean of Lamb-Helmholtz / phi-only recurring-step time at matched (BLAS, precision, distribution, n)
P,concat_ratio,factored_ratio,precomputed_y_ratio,dense_ratio
4,1.3596406718529066,1.3388916572443366,1.27647679923806,1.3040463440586152
8,2.0502903271430273,2.008847753550516,1.9080430040898537,2.3864446363370786
12,2.257877650871381,2.1427211358962026,2.1341975639346407,2.815648071201262
