# 019b gpu_smallp, m13h-1-1 H200, P=4, ConcatenatedFixedZM2L; host time / device time (>1 = GPU faster). host_recur_m2l is NaN at n=10000
n,lifecycle_phi,lifecycle_lh,m2l_vs_host_concat_phi,m2l_vs_host_recurrence_phi
128,2.3522395051010685,2.039421292323692,11.659160162180507,22.40060728383375
512,18.02269357286029,22.28243577116854,380.6999025177979,686.0397609224377
1000,64.55782379553608,33.903179454914145,131.43480925386854,251.3245330584843
10000,861.2964203787948,631.6252002878051,408.31931030588174,nan
