stage_index,stage,pre3D,cycle3D
1,B2M,3.028,5.721
2,M2M,1.409,1.361
3,M2L,31.31,28.984
4,L2L,1.393,1.358
5,NF+L2B,115.156,65.7
6,refresh,0.898,0.898
