# 030 per-time-step verdict-boundary cost (refresh + eval + finalize + device Euler, no per-step body transfers) and sampled-direct gradient relative RMS error vs n at the 028 shipped defaults: literature P=4 (expansion_order=3), hierarchical stencil, dense M2L, one route window per level, three FIXED depths ell=3/4/5 with the (6,5,...,5) level radius schedule, in the FP16-WMMA/Float32 winner configuration and Float64. Errors use the checksummed 024b sampled-direct references. Geometry is tuned at n=1e6, so the error drift across n is the measured quantity, not a defect.
n,step_ms_ell3_f32,step_ms_ell3_f64,step_ms_ell4_f32,step_ms_ell4_f64,step_ms_ell5_f32,step_ms_ell5_f64,err_grad_rel_ell3_f32,err_grad_rel_ell3_f64,err_grad_rel_ell4_f32,err_grad_rel_ell4_f64,err_grad_rel_ell5_f32,err_grad_rel_ell5_f64,step_ms_retuned,err_grad_rel_retuned
1000,1.926405,1.9695960000000001,2.494759,2.579594,2.98949,3.1217509999999997,0.0004351100734405337,0.00037075631188299005,0.0007018452273690981,0.0007003156029573494,0.001671195973360382,0.0016704805693520917,1.461939,0.00025843614036285997
3162,2.042566,1.984987,2.7137350000000002,2.914675,3.354845,3.725781,0.0010154892772595387,0.0007410287056153482,0.0011390332391560819,0.001126519154288057,0.0017857848871151115,0.0017837017123696808,1.829152,0.0010894583273058137
10000,2.00911,2.0610899999999996,2.829998,2.985278,3.743986,4.211944,0.001367738331354528,0.0009511379678400807,0.0012624492979527464,0.0012291780856928784,0.0016200339602976668,0.001617451032858361,2.0610899999999996,0.0009511379678400807
31623,2.480862,3.2729719999999998,2.857237,3.135518,4.33918,6.046217,0.001422297700748816,0.0009438205727774636,0.0011151338431617927,0.0010853881369092097,0.0012330637422150522,0.0012295125723042841,2.752262,0.0011795097756357822
100000,5.542351,8.605528,3.1301900000000002,3.629897,5.4787170000000005,9.175501,0.0014210031684787836,0.0008857315990774147,0.0010590846670312795,0.0010189031930294106,0.0011081228325355936,0.0010996686902332905,3.096746,0.0008468315753876675
316228,22.435256,56.616131,5.655347,9.046916,6.2498,11.301177000000001,0.0014955964862617176,0.000842476729656706,0.0010155724381873425,0.0009573425622060931,0.0009932649052249584,0.0009878419037319948,4.783917000000001,0.0010206724730379125
1000000,213.877591,582.5079039999999,25.046219,65.175026,9.591455999999999,20.740432,0.0014642415726917922,0.0008948890613920015,0.0010337545907169025,0.0010058186891872393,0.0010592539203291983,0.0010497245398751313,7.092316,0.0011895989160223782
