case,p,precision,rho_t,q,ell,n,n_direct_pairs,e_u,e_j,e_sfs_first,e_sfs_warm,uj_median_s,ujsfs_median_s,sfs_marginal_s
cube,4,Float64,4.211,derived,3,20000,53824,0.000336127435269729,0.0019086713440098822,0.003961124191502321,0.003961124191502323,0.005417807,0.006459871,0.0010420639999999997
cube,4,Float64,4.211,14,3,20000,69664,0.00017234118825720348,0.0009592954687506848,0.0020052785615556367,0.0020052785615556376,0.00601796,0.007342937,0.0013249769999999998
cube,4,Float64,4.211,17,3,20000,80896,0.0001319287599668405,0.0007294520214708899,0.0015062026491617884,0.0015062026491617902,0.006130225,0.007648305,0.0015180799999999998
cube,4,Float64,4.211,20,3,20000,96808,9.602338434517245e-5,0.0005076357183768451,0.0010448783764704123,0.001044878376470415,0.00630981,0.008073503,0.0017636929999999993
cube,4,Float64,4.789,derived,3,20000,69664,0.00016255377501805487,0.0009076013323639957,0.001920210394356834,0.0019202103943568385,0.006189633,0.007500908,0.0013112749999999998
cube,4,Float64,4.789,14,3,20000,69664,0.00016255377501805468,0.0009076013323639958,0.001920210394356825,0.0019202103943568357,0.006186187,0.007485151,0.0012989639999999997
cube,4,Float64,4.789,17,3,20000,80896,0.00011841150888236053,0.0006597198770741534,0.0013941473423589358,0.0013941473423589293,0.006346005,0.007857242,0.0015112370000000003
cube,4,Float64,4.789,20,3,20000,96808,7.672939823019297e-5,0.00040260373945624544,0.0008660004902830737,0.0008660004902830802,0.006493198,0.008279047,0.001785848999999999
cube,6,Float64,4.211,derived,3,20000,53824,6.677227942756949e-5,0.00033524776475118935,0.0006428357952709427,0.0006428357952709418,0.004959582,0.005993559,0.0010339770000000002
cube,6,Float64,4.211,14,3,20000,69664,6.512941341406934e-5,0.00031462048118131343,0.0005953934398782492,0.0005953934398782321,0.005265568,0.006584749,0.001319181
cube,6,Float64,4.211,17,3,20000,80896,6.50057825359614e-5,0.00031279666898097625,0.00058813328454232,0.0005881332845423171,0.005437053,0.006944933,0.0015078800000000005
cube,6,Float64,4.211,20,3,20000,96808,6.492864924149389e-5,0.0003116450631974128,0.0005855458676346158,0.00058554586763462,0.005643794,0.007423043,0.001779249
cube,6,Float64,4.789,derived,3,20000,69664,3.14220783896856e-5,6.582098591862178e-5,0.00013594106663319366,0.00013594106663318857,0.005534452,0.006837101,0.0013026490000000003
cube,6,Float64,4.789,14,3,20000,69664,3.142207838968625e-5,6.582098591862211e-5,0.00013594106663319507,0.00013594106663319703,0.005545558,0.006843439,0.0012978809999999999
cube,6,Float64,4.789,17,3,20000,80896,3.108998298421794e-5,5.619250712190799e-5,0.00011346054427286586,0.00011346054427288128,0.005603699,0.007114562,0.0015108629999999994
cube,6,Float64,4.789,20,3,20000,96808,3.090734133629989e-5,5.019308118705929e-5,0.00010021237662869447,0.00010021237662869222,0.005802107,0.007584578,0.0017824709999999999
cube,8,Float64,4.211,derived,3,20000,53824,6.488943740674709e-5,0.00031131396326005166,0.0005837252198009548,0.0005837252198009462,0.008707372,0.009747338,0.0010399659999999998
cube,8,Float64,4.211,14,3,20000,69664,6.48818640959528e-5,0.00031119239282081717,0.0005841186654596339,0.0005841186654596274,0.009182595,0.010514254,0.0013316590000000007
cube,8,Float64,4.211,17,3,20000,80896,6.488208546441504e-5,0.0003111839861285067,0.0005839955911306047,0.0005839955911306063,0.009252955,0.010774923,0.0015219680000000003
cube,8,Float64,4.211,20,3,20000,96808,6.488159502700887e-5,0.00031118216947769914,0.0005838577703581406,0.0005838577703581458,0.009350849,0.011132991,0.0017821420000000004
cube,8,Float64,4.789,derived,3,20000,69664,3.084455147756224e-5,4.764174031291042e-5,9.357252654821562e-5,9.357252654822087e-5,0.00959978,0.010923013,0.001323233
cube,8,Float64,4.789,14,3,20000,69664,3.0844551477562046e-5,4.7641740312910394e-5,9.357252654822762e-5,9.357252654821363e-5,0.009625261,0.01095026,0.0013249990000000003
cube,8,Float64,4.789,17,3,20000,80896,3.084422173184965e-5,4.7593366393220136e-5,9.358828320335188e-5,9.358828320334616e-5,0.009393978,0.010930716,0.0015367379999999993
cube,8,Float64,4.789,20,3,20000,96808,3.08438881667625e-5,4.757924721385618e-5,9.357515284528065e-5,9.357515284528553e-5,0.009512722,0.011289175,0.0017764530000000008
cube,4,Float32,4.211,derived,3,20000,53824,0.0003088848710222938,0.0018128763587632855,0.003857832667855792,0.0038578513817499075,0.003357575,0.003905121,0.0005475460000000003
cube,4,Float32,4.789,derived,3,20000,69664,0.0001485639867777097,0.0008678062954666457,0.001822831980428382,0.0018228417959727547,0.003739678,0.004408941,0.0006692630000000002
cube,8,Float32,4.789,14,3,20000,69664,2.8533677728979334e-5,4.642927984732068e-5,8.94504072684321e-5,8.945313449431826e-5,0.009755408,0.010427385,0.0006719770000000007
cube,8,Float32,4.789,derived,3,20000,69664,2.8532411136605403e-5,4.643098329776318e-5,8.945599884039314e-5,8.944530210073517e-5,0.009713661,0.010362394,0.0006487330000000003
cube,6,Float32,4.789,20,3,20000,96808,2.8597265436408938e-5,4.8440343609600256e-5,9.501971486575705e-5,9.501845797146097e-5,0.005379431,0.006165277,0.0007858460000000006
cube,6,Float32,4.789,17,3,20000,80896,2.8754118127491465e-5,5.413494751645112e-5,0.00010953456632394369,0.00010951606336756212,0.005383243,0.006109456,0.0007262129999999999
cube,6,Float32,4.789,derived,3,20000,69664,2.906456772691916e-5,6.329053872863592e-5,0.00013013557988520726,0.0001301442498869539,0.005272062,0.005936263,0.0006642009999999997
cube,6,Float32,4.211,14,3,20000,69664,6.159159654447259e-5,0.0003035610164172657,0.0005670723651035515,0.0005670787639565633,0.005211753,0.00584851,0.000636757
p018,4,Float64,4.211,derived,4,210056,126778,0.00010882493524282139,0.0005803370121554655,0.002797685665531487,0.0027976856655314926,0.062872816,0.090578756,0.02770594
p018,4,Float64,4.789,derived,4,210056,126778,0.00010851213045355128,0.0005534320380340762,0.0027237584184227857,0.0027237584184227888,0.063815257,0.091170647,0.027355389999999993
p018,8,Float64,4.789,14,4,210056,167798,1.7207207898734064e-6,1.802966653646749e-5,5.8442177653323395e-5,5.844217765332292e-5,0.092830142,0.131551565,0.038721423000000005
p018,8,Float64,4.789,derived,4,210056,126778,1.7242596267299129e-6,1.8047351254169236e-5,5.8858453487368755e-5,5.8858453487366404e-5,0.078206729,0.106221753,0.028015024
p018,6,Float64,4.789,20,4,210056,238850,1.8067460825625443e-6,1.8527435205780658e-5,6.292249189245162e-5,6.292249189244028e-5,0.102521193,0.154897187,0.052375993999999995
p018,6,Float64,4.789,17,4,210056,196566,1.9895226782184537e-6,1.9449132362792147e-5,7.23638127660442e-5,7.236381276602597e-5,0.089562687,0.132865485,0.043302798
p018,6,Float64,4.789,derived,4,210056,126778,3.6868687526304796e-6,2.9158113607989967e-5,0.00014644841086949414,0.00014644841086949574,0.065414591,0.093446732,0.02803214100000001
p018,6,Float64,4.211,14,4,210056,167798,7.688948599297789e-6,0.00018213588388058365,0.0006397015551056647,0.0006397015551056503,0.078073284,0.116647848,0.03857456399999999
