rho_t,global_relative_rms,max_target_frobenius_relative,p95_target_frobenius_relative
3.0,0.023510358271376815,0.0999548582751823,0.05843173028231323
3.5,0.0038857017181917583,0.015845532460346402,0.0108247867685204
3.668,0.0021728087679996027,0.009055027432319772,0.005348466202082267
4.0,0.0006340085714735851,0.003197224924651505,0.001603004486624841
4.211,0.00023308774205232002,0.0009899473125487795,0.0006056657870240798
4.252,0.00020324113685868777,0.0009899473125487795,0.0005410429196760185
4.5,8.094531481621373e-5,0.00034828920419806075,0.00023901739730405414
4.789,4.303974477277375e-5,0.00027572656077854237,0.00010305623985147238
5.0,4.029016144877759e-5,0.00027614683026761503,9.508778038430456e-5
5.5,3.954272170675325e-5,0.0002807089521883935,9.264407598919946e-5
6.0,3.955236763593686e-5,0.00028099951497370266,9.304078668718552e-5
6.5,3.9550557275590954e-5,0.00028100052976975996,9.304305102565528e-5
7.0,3.955059688246581e-5,0.00028100052976975996,9.304406039619854e-5
7.5,3.955059688246581e-5,0.00028100052976975996,9.304406039619854e-5
8.0,3.955059688246581e-5,0.00028100052976975996,9.304406039619854e-5
