section,case,p,precision,rho_t,metric,value,gate,verdict,detail
"residency_ab","p018_717","6","Float64","4.789","upload_step_median_s","0.370197599","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_ab","p018_717","6","Float64","4.789","upload_minus_resident_s","0.011160681999999977","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_parity","p018_717","6","Float64","4.789","all_46_rel_rms","1.5366660590950424e-12","1.0e-11","PASS","includes physical/history/model/scratch rows"
"residency_parity","p018_717","6","Float64","4.789","X_rel_rms","5.637836919461328e-16","1.0e-11","PASS","independent channel"
"residency_parity","p018_717","6","Float64","4.789","Gamma_rel_rms","4.554608831343274e-15","1.0e-11","PASS","independent channel"
"residency_parity","p018_717","6","Float64","4.789","sigma_rel_rms","2.1350647248264973e-16","1.0e-11","PASS","independent channel"
"residency_parity","p018_717","6","Float64","4.789","U_rel_rms","1.8644185247720825e-13","1.0e-11","PASS","independent channel"
"residency_parity","p018_717","6","Float64","4.789","J_rel_rms","3.968966051391406e-13","1.0e-11","PASS","independent channel"
"residency_parity","p018_717","6","Float64","4.789","SFS_rel_rms","1.538215482788423e-12","1.0e-11","PASS","independent channel"
"residency_parity","p018_717","6","Float64","4.789","scratch_rel_rms","1.4737512218683074e-13","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_717","6","Float64","4.789","np_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_717","6","Float64","4.789","nt_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_717","6","Float64","4.789","t_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_717","6","Float64","4.789","split_sigma0_rel_rms","0.0","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_717","6","Float64","4.789","split_H_chi_rel_rms","0.0","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_717","6","Float64","4.789","split_hold_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_717","6","Float64","4.789","split_cooldown_equal","true","0","PASS","non-particle mutable state"
"contract","p018_717","6","Float64","4.789","ab_cache_registry_released","true","","PASS",""
"contract","p018_717","6","Float64","4.789","ab_cache_registry_released","true","","PASS",""
"residency_ab","p018_718","6","Float64","4.789","resident_step_median_s","0.361019666","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_ab","p018_718","6","Float64","4.789","upload_step_median_s","0.373468421","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_ab","p018_718","6","Float64","4.789","upload_minus_resident_s","0.012448754999999978","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_parity","p018_718","6","Float64","4.789","all_46_rel_rms","2.0827933554971747e-15","1.0e-11","PASS","includes physical/history/model/scratch rows"
"residency_parity","p018_718","6","Float64","4.789","X_rel_rms","1.4307589693893685e-17","1.0e-11","PASS","independent channel"
"residency_parity","p018_718","6","Float64","4.789","Gamma_rel_rms","6.473191022636532e-17","1.0e-11","PASS","independent channel"
"residency_parity","p018_718","6","Float64","4.789","sigma_rel_rms","1.5065392153205204e-17","1.0e-11","PASS","independent channel"
"residency_parity","p018_718","6","Float64","4.789","U_rel_rms","2.649942094950771e-16","1.0e-11","PASS","independent channel"
"residency_parity","p018_718","6","Float64","4.789","J_rel_rms","1.913538973061281e-16","1.0e-11","PASS","independent channel"
"residency_parity","p018_718","6","Float64","4.789","SFS_rel_rms","2.0850113697736767e-15","1.0e-11","PASS","independent channel"
"residency_parity","p018_718","6","Float64","4.789","scratch_rel_rms","2.271499834844426e-15","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_718","6","Float64","4.789","np_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_718","6","Float64","4.789","nt_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_718","6","Float64","4.789","t_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_718","6","Float64","4.789","split_sigma0_rel_rms","0.0","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_718","6","Float64","4.789","split_H_chi_rel_rms","0.0","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_718","6","Float64","4.789","split_hold_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_718","6","Float64","4.789","split_cooldown_equal","true","0","PASS","non-particle mutable state"
"contract","p018_718","6","Float64","4.789","ab_cache_registry_released","true","","PASS",""
"contract","p018_718","6","Float64","4.789","ab_cache_registry_released","true","","PASS",""
"residency_ab","p018_719","6","Float64","4.789","resident_step_median_s","0.293394623","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_ab","p018_719","6","Float64","4.789","upload_step_median_s","0.305492908","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_ab","p018_719","6","Float64","4.789","upload_minus_resident_s","0.012098284999999986","","USER_CHECKPOINT","true interleaved identical-state A/B; no automatic default"
"residency_parity","p018_719","6","Float64","4.789","all_46_rel_rms","1.9528980961997125e-15","1.0e-11","PASS","includes physical/history/model/scratch rows"
"residency_parity","p018_719","6","Float64","4.789","X_rel_rms","1.2794960029717689e-17","1.0e-11","PASS","independent channel"
"residency_parity","p018_719","6","Float64","4.789","Gamma_rel_rms","6.603876040973093e-17","1.0e-11","PASS","independent channel"
"residency_parity","p018_719","6","Float64","4.789","sigma_rel_rms","1.5469084209427026e-17","1.0e-11","PASS","independent channel"
"residency_parity","p018_719","6","Float64","4.789","U_rel_rms","1.5186709739266425e-16","1.0e-11","PASS","independent channel"
"residency_parity","p018_719","6","Float64","4.789","J_rel_rms","7.527346457507537e-16","1.0e-11","PASS","independent channel"
"residency_parity","p018_719","6","Float64","4.789","SFS_rel_rms","1.9546819344722407e-15","1.0e-11","PASS","independent channel"
"residency_parity","p018_719","6","Float64","4.789","scratch_rel_rms","2.8898101302882205e-15","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_719","6","Float64","4.789","np_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_719","6","Float64","4.789","nt_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_719","6","Float64","4.789","t_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_719","6","Float64","4.789","split_sigma0_rel_rms","0.0","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_719","6","Float64","4.789","split_H_chi_rel_rms","0.0","1.0e-11","PASS","non-particle mutable state"
"residency_parity","p018_719","6","Float64","4.789","split_hold_equal","true","0","PASS","non-particle mutable state"
"residency_parity","p018_719","6","Float64","4.789","split_cooldown_equal","true","0","PASS","non-particle mutable state"
"contract","p018_719","6","Float64","4.789","ab_cache_registry_released","true","","PASS",""
"contract","p018_719","6","Float64","4.789","ab_cache_registry_released","true","","PASS",""
