step,np,rho_t,stage,median_s,target_fraction,note
710,210056,4.789,full_resident_rk3,0.291042491,0.08819469424242425,"end-to-end"
710,210056,4.789,full_upload_rk3,0.304002515,0.09212197424242424,"contiguous H2D + RK3 + contiguous D2H"
710,210056,4.789,h2d_46xn,0.0043685,0.001323787878787879,"preallocated contiguous transfer"
710,210056,4.789,d2h_46xn,0.0042646,0.0012923030303030306,"preallocated contiguous transfer"
710,210056,4.789,profile_grid,0.000508688,0.0001541478787878788,"normal lifecycle hctx.profile_stages telemetry"
710,210056,4.789,profile_occupancy,0.0,0.0,"normal lifecycle hctx.profile_stages telemetry"
710,210056,4.789,profile_direct_gen,0.0,0.0,"normal lifecycle hctx.profile_stages telemetry"
710,210056,4.789,profile_route_gen,0.0,0.0,"normal lifecycle hctx.profile_stages telemetry"
710,210056,4.789,profile_stage_groups,3.177e-6,9.627272727272728e-7,"normal lifecycle hctx.profile_stages telemetry"
710,210056,4.789,profile_m2l_levels,0.003727428,0.0011295236363636364,"normal lifecycle hctx.profile_stages per-level sum"
710,210056,4.789,tree_refresh,0.000576707,0.00017475969696969696,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,b2m,0.00431314,0.0013070121212121213,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,m2m,0.000721599,0.00021866636363636363,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,m2l,0.003735678,0.0011320236363636365,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,l2l,0.000653483,0.0001980251515151515,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,nearfield_uj,0.055687915,0.016875125757575757,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,l2b,0.00448157,0.001358051515151515,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,sfs,0.028103583,0.008516237272727274,"disposable profiling cache; clean ordered prerequisite chain per sample"
710,210056,4.789,ujsfs_complete,0.09394412,0.028467915151515154,"single complete synchronized UJ+SFS evaluation"
710,210056,4.789,rk3_integrator_residual,0.00921013100000001,0.002790948787878791,"full resident RK3 minus 3 complete UJ+SFS evaluations; includes RK3 state updates"
710,210056,4.789,isolated_stage_sum,0.098273675,0.02977990151515152,"diagnostic only; production nearfield/farfield overlap means this does not sum to ujsfs_complete"
711,209993,4.789,full_resident_rk3,0.294679736,0.08929688969696971,"end-to-end"
711,209993,4.789,full_upload_rk3,0.306596877,0.09290814454545454,"contiguous H2D + RK3 + contiguous D2H"
711,209993,4.789,h2d_46xn,0.004362749,0.0013220451515151515,"preallocated contiguous transfer"
711,209993,4.789,d2h_46xn,0.004258497,0.0012904536363636365,"preallocated contiguous transfer"
712,209950,4.789,full_resident_rk3,0.289895999,0.08784727242424244,"end-to-end"
712,209950,4.789,full_upload_rk3,0.303186929,0.09187482696969697,"contiguous H2D + RK3 + contiguous D2H"
712,209950,4.789,h2d_46xn,0.004464847,0.0013529839393939395,"preallocated contiguous transfer"
712,209950,4.789,d2h_46xn,0.004264874,0.0012923860606060607,"preallocated contiguous transfer"
713,209870,4.789,full_resident_rk3,0.287034363,0.08698011000000001,"end-to-end"
713,209870,4.789,full_upload_rk3,0.29859057,0.09048199090909091,"contiguous H2D + RK3 + contiguous D2H"
713,209870,4.789,h2d_46xn,0.0048879,0.0014811818181818181,"preallocated contiguous transfer"
713,209870,4.789,d2h_46xn,0.004265581,0.0012926003030303032,"preallocated contiguous transfer"
714,209746,4.789,full_resident_rk3,0.286398448,0.08678740848484849,"end-to-end"
714,209746,4.789,full_upload_rk3,0.29920169,0.0906671787878788,"contiguous H2D + RK3 + contiguous D2H"
714,209746,4.789,h2d_46xn,0.00434796,0.0013175636363636364,"preallocated contiguous transfer"
714,209746,4.789,d2h_46xn,0.0042565,0.0012898484848484848,"preallocated contiguous transfer"
715,209762,4.789,full_resident_rk3,0.358915926,0.10876240181818182,"end-to-end"
715,209762,4.789,full_upload_rk3,0.372653997,0.11292545363636365,"contiguous H2D + RK3 + contiguous D2H"
715,209762,4.789,h2d_46xn,0.004348468,0.0013177175757575759,"preallocated contiguous transfer"
715,209762,4.789,d2h_46xn,0.004258817,0.0012905506060606061,"preallocated contiguous transfer"
