variant,form,precision,blas_threads,P,lamb_helmholtz,batch,measured_batch,scaled,seconds,seconds_per_expansion
materialized,batched_operator,Float64,1,1,false,1,1,false,3.077500e-07,3.077500e-07
factored,batched_operator,Float64,1,1,false,1,1,false,1.884580e-07,1.884580e-07
materialized,batched_operator,Float64,1,1,false,2,2,false,5.390410e-07,2.695205e-07
factored,batched_operator,Float64,1,1,false,2,2,false,3.141660e-07,1.570830e-07
materialized,batched_operator,Float64,1,1,false,4,4,false,9.766700e-07,2.441675e-07
factored,batched_operator,Float64,1,1,false,4,4,false,5.821250e-07,1.455312e-07
materialized,batched_operator,Float64,1,1,false,8,8,false,1.728750e-06,2.160937e-07
factored,batched_operator,Float64,1,1,false,8,8,false,1.107920e-06,1.384900e-07
materialized,batched_operator,Float64,1,1,false,16,16,false,3.316670e-06,2.072919e-07
factored,batched_operator,Float64,1,1,false,16,16,false,2.174170e-06,1.358856e-07
materialized,batched_operator,Float64,1,1,false,32,32,false,6.770420e-06,2.115756e-07
factored,batched_operator,Float64,1,1,false,32,32,false,4.235000e-06,1.323438e-07
materialized,batched_operator,Float64,1,1,false,64,64,false,1.422090e-05,2.222016e-07
factored,batched_operator,Float64,1,1,false,64,64,false,8.676670e-06,1.355730e-07
materialized,batched_operator,Float64,1,1,false,256,256,false,5.315410e-05,2.076332e-07
factored,batched_operator,Float64,1,1,false,256,256,false,3.437500e-05,1.342773e-07
materialized,batched_operator,Float64,1,1,false,1024,1024,false,1.972090e-04,1.925869e-07
factored,batched_operator,Float64,1,1,false,1024,1024,false,1.378750e-04,1.346436e-07
materialized,batched_operator,Float64,1,1,false,4096,4096,false,7.801250e-04,1.904602e-07
factored,batched_operator,Float64,1,1,false,4096,4096,false,5.290830e-04,1.291707e-07
production_recurrence,recurrence,Float64,1,1,false,1,1,false,1.418750e-07,1.418750e-07
production_recurrence,recurrence,Float64,1,1,false,2,2,false,2.794170e-07,1.397085e-07
production_recurrence,recurrence,Float64,1,1,false,4,4,false,5.458750e-07,1.364687e-07
production_recurrence,recurrence,Float64,1,1,false,8,8,false,1.070000e-06,1.337500e-07
production_recurrence,recurrence,Float64,1,1,false,16,16,false,2.160000e-06,1.350000e-07
production_recurrence,recurrence,Float64,1,1,false,32,32,false,4.378750e-06,1.368359e-07
production_recurrence,recurrence,Float64,1,1,false,64,64,false,8.654160e-06,1.352212e-07
production_recurrence,recurrence,Float64,1,1,false,256,256,false,3.479170e-05,1.359051e-07
production_recurrence,recurrence,Float64,1,1,false,1024,1024,false,1.395420e-04,1.362715e-07
production_recurrence,recurrence,Float64,1,1,false,4096,2048,true,5.637500e-04,1.376343e-07
materialized,batched_operator,Float64,1,1,true,1,1,false,5.272500e-07,5.272500e-07
factored,batched_operator,Float64,1,1,true,1,1,false,5.246250e-07,5.246250e-07
materialized,batched_operator,Float64,1,1,true,2,2,false,1.002500e-06,5.012500e-07
