layout,precision,blas_threads,P_phi,P_active,batch,ndof_phi,ndof_chi,gemms_per_stagepass,seconds,seconds_per_expansion
ragged,Float64,1,2,3,64,9,16,10,1.795420e-05,2.805344e-07
padded,Float64,1,2,3,64,16,16,10,2.272910e-05,3.551422e-07
padded_merged,Float64,1,2,3,64,16,16,5,2.241660e-05,3.502594e-07
ragged,Float64,1,2,3,4096,9,16,10,1.090583e-03,2.662556e-07
padded,Float64,1,2,3,4096,16,16,10,1.391166e-03,3.396401e-07
padded_merged,Float64,1,2,3,4096,16,16,5,1.393542e-03,3.402202e-07
ragged,Float64,1,4,5,64,25,36,10,6.792920e-05,1.061394e-06
padded,Float64,1,4,5,64,36,36,10,8.564580e-05,1.338216e-06
padded_merged,Float64,1,4,5,64,36,36,5,8.621670e-05,1.347136e-06
ragged,Float64,1,4,5,4096,25,36,10,4.227541e-03,1.032115e-06
padded,Float64,1,4,5,4096,36,36,10,5.318458e-03,1.298452e-06
padded_merged,Float64,1,4,5,4096,36,36,5,5.346166e-03,1.305216e-06
ragged,Float64,1,8,9,64,81,100,10,4.546670e-04,7.104172e-06
padded,Float64,1,8,9,64,100,100,10,5.359580e-04,8.374344e-06
padded_merged,Float64,1,8,9,64,100,100,5,5.187500e-04,8.105469e-06
ragged,Float64,1,8,9,4096,81,100,10,2.891929e-02,7.060374e-06
padded,Float64,1,8,9,4096,100,100,10,3.426613e-02,8.365753e-06
padded_merged,Float64,1,8,9,4096,100,100,5,3.424871e-02,8.361501e-06
ragged,Float64,1,12,13,64,169,196,10,1.685667e-03,2.633855e-05
padded,Float64,1,12,13,64,196,196,10,1.910625e-03,2.985352e-05
padded_merged,Float64,1,12,13,64,196,196,5,1.848000e-03,2.887500e-05
ragged,Float64,1,12,13,4096,169,196,10,1.083405e-01,2.645032e-05
padded,Float64,1,12,13,4096,196,196,10,1.221800e-01,2.982909e-05
padded_merged,Float64,1,12,13,4096,196,196,5,1.222821e-01,2.985402e-05
ragged,Float64,1,20,21,64,441,484,10,1.106929e-02,1.729577e-04
padded,Float64,1,20,21,64,484,484,10,1.207583e-02,1.886849e-04
padded_merged,Float64,1,20,21,64,484,484,5,1.114842e-02,1.741940e-04
ragged,Float64,1,20,21,4096,441,484,10,6.539013e-01,1.596439e-04
padded,Float64,1,20,21,4096,484,484,10,7.089955e-01,1.730946e-04
padded_merged,Float64,1,20,21,4096,484,484,5,7.086697e-01,1.730151e-04
