config,n,ell,policy,P,lamb_helmholtz,routes,list_seconds,form,seconds,seconds_per_route
tiny_parent,256,2,parent,1,false,3096,3.037920e-04,concat_host,5.815420e-04,1.878366e-07
tiny_parent,256,2,parent,1,false,3096,3.037920e-04,route_recurrence,4.727792e-03,1.527065e-06
tiny_parent,256,2,parent,1,true,3096,3.037920e-04,concat_host,1.984416e-03,6.409612e-07
tiny_parent,256,2,parent,1,true,3096,3.037920e-04,route_recurrence,5.337917e-03,1.724133e-06
tiny_parent,256,2,parent,2,false,3096,2.159160e-04,concat_host,1.357458e-03,4.384554e-07
tiny_parent,256,2,parent,2,false,3096,2.159160e-04,route_recurrence,5.048167e-03,1.630545e-06
tiny_parent,256,2,parent,2,true,3096,2.159160e-04,concat_host,3.892625e-03,1.257308e-06
tiny_parent,256,2,parent,2,true,3096,2.159160e-04,route_recurrence,6.203959e-03,2.003863e-06
tiny_parent,256,2,parent,3,false,3096,2.158750e-04,concat_host,2.462792e-03,7.954755e-07
tiny_parent,256,2,parent,3,false,3096,2.158750e-04,route_recurrence,5.624917e-03,1.816834e-06
tiny_parent,256,2,parent,3,true,3096,2.158750e-04,concat_host,6.835792e-03,2.207943e-06
tiny_parent,256,2,parent,3,true,3096,2.158750e-04,route_recurrence,7.396334e-03,2.388997e-06
tiny_parent,256,2,parent,4,false,3096,2.152080e-04,concat_host,4.283458e-03,1.383546e-06
tiny_parent,256,2,parent,4,false,3096,2.152080e-04,route_recurrence,6.518625e-03,2.105499e-06
tiny_parent,256,2,parent,4,true,3096,2.152080e-04,concat_host,1.097296e-02,3.544237e-06
tiny_parent,256,2,parent,4,true,3096,2.152080e-04,route_recurrence,9.218500e-03,2.977552e-06
tiny_parent,256,2,parent,6,false,3096,2.135420e-04,concat_host,9.763083e-03,3.153451e-06
tiny_parent,256,2,parent,6,false,3096,2.135420e-04,route_recurrence,9.795500e-03,3.163921e-06
tiny_parent,256,2,parent,6,true,3096,2.135420e-04,concat_host,2.602617e-02,8.406384e-06
tiny_parent,256,2,parent,6,true,3096,2.135420e-04,route_recurrence,1.513938e-02,4.889979e-06
tiny_parent,256,2,parent,8,false,3096,2.151660e-04,concat_host,1.939779e-02,6.265436e-06
tiny_parent,256,2,parent,8,false,3096,2.151660e-04,route_recurrence,1.608521e-02,5.195481e-06
tiny_parent,256,2,parent,8,true,3096,2.151660e-04,concat_host,4.637925e-02,1.498038e-05
tiny_parent,256,2,parent,8,true,3096,2.151660e-04,route_recurrence,2.552063e-02,8.243096e-06
small_constp,2048,3,constp,1,false,8,1.838305e-01,concat_host,4.453330e-06,5.566662e-07
small_constp,2048,3,constp,1,false,8,1.838305e-01,route_recurrence,1.258330e-05,1.572913e-06
small_constp,2048,3,constp,1,true,8,1.838305e-01,concat_host,1.187920e-05,1.484900e-06
small_constp,2048,3,constp,1,true,8,1.838305e-01,route_recurrence,1.491660e-05,1.864575e-06
small_constp,2048,3,constp,2,false,59334,4.064000e-03,concat_host,2.626608e-02,4.426818e-07
small_constp,2048,3,constp,2,false,59334,4.064000e-03,route_recurrence,1.012910e-01,1.707133e-06
small_constp,2048,3,constp,2,true,59334,4.064000e-03,concat_host,7.596392e-02,1.280276e-06
small_constp,2048,3,constp,2,true,59334,4.064000e-03,route_recurrence,1.221627e-01,2.058899e-06
small_constp,2048,3,constp,3,false,144290,4.734291e-03,concat_host,1.166710e-01,8.085872e-07
small_constp,2048,3,constp,3,false,144290,4.734291e-03,route_recurrence,2.725096e-01,1.888624e-06
small_constp,2048,3,constp,3,true,144290,4.734291e-03,concat_host,3.226468e-01,2.236100e-06
small_constp,2048,3,constp,3,true,144290,4.734291e-03,route_recurrence,3.516545e-01,2.437137e-06
small_constp,2048,3,constp,4,false,31254,4.071667e-03,concat_host,4.382971e-02,1.402371e-06
small_constp,2048,3,constp,4,false,31254,4.071667e-03,route_recurrence,6.667663e-02,2.133379e-06
small_constp,2048,3,constp,4,true,31254,4.071667e-03,concat_host,1.120592e-01,3.585436e-06
small_constp,2048,3,constp,4,true,31254,4.071667e-03,route_recurrence,9.407079e-02,3.009880e-06
small_constp,2048,3,constp,6,false,144290,5.157333e-03,concat_host,4.654696e-01,3.225931e-06
small_constp,2048,3,constp,6,false,144290,5.157333e-03,route_recurrence,4.631910e-01,3.210139e-06
small_constp,2048,3,constp,6,true,144290,5.157333e-03,concat_host,1.142415e+00,7.917493e-06
small_constp,2048,3,constp,6,true,144290,5.157333e-03,route_recurrence,7.168441e-01,4.968079e-06
small_constp,2048,3,constp,8,false,15492,4.937708e-03,concat_host,9.841500e-02,6.352634e-06
small_constp,2048,3,constp,8,false,15492,4.937708e-03,route_recurrence,8.063513e-02,5.204953e-06
small_constp,2048,3,constp,8,true,15492,4.937708e-03,concat_host,2.320532e-01,1.497890e-05
small_constp,2048,3,constp,8,true,15492,4.937708e-03,route_recurrence,1.312479e-01,8.471977e-06
medium_constp,20000,4,constp,2,false,12177052,5.053009e-01,concat_host,5.506072e+00,4.521679e-07
medium_constp,20000,4,constp,2,false,12177052,5.053009e-01,route_recurrence,2.184508e+01,1.793954e-06
medium_constp,20000,4,constp,2,true,12177052,5.053009e-01,concat_host,1.570708e+01,1.289891e-06
medium_constp,20000,4,constp,2,true,12177052,5.053009e-01,route_recurrence,2.646594e+01,2.173427e-06
medium_constp,20000,4,constp,4,false,11433838,4.036577e-01,concat_host,1.780634e+01,1.557337e-06
medium_constp,20000,4,constp,4,false,11433838,4.036577e-01,route_recurrence,2.625337e+01,2.296112e-06
medium_constp,20000,4,constp,4,true,11433838,4.036577e-01,concat_host,4.056144e+01,3.547491e-06
medium_constp,20000,4,constp,4,true,11433838,4.036577e-01,route_recurrence,3.529375e+01,3.086781e-06
