buffer,P_phi,P_active,rows_phi_ragged,rows_chi,rows_phi_padded,ragged_bytes_per_col_f64,padded_bytes_per_col_f64,padded_overhead_frac
FlatCoefficientBuffer,1,2,6,12,12,144,192,0.3333
DegreeMajorRealBuffer,1,2,4,9,9,104,144,0.3846
FlatCoefficientBuffer,2,3,12,20,20,256,320,0.2500
DegreeMajorRealBuffer,2,3,9,16,16,200,256,0.2800
FlatCoefficientBuffer,3,4,20,30,30,400,480,0.2000
DegreeMajorRealBuffer,3,4,16,25,25,328,400,0.2195
FlatCoefficientBuffer,4,5,30,42,42,576,672,0.1667
DegreeMajorRealBuffer,4,5,25,36,36,488,576,0.1803
FlatCoefficientBuffer,5,6,42,56,56,784,896,0.1429
DegreeMajorRealBuffer,5,6,36,49,49,680,784,0.1529
FlatCoefficientBuffer,6,7,56,72,72,1024,1152,0.1250
DegreeMajorRealBuffer,6,7,49,64,64,904,1024,0.1327
FlatCoefficientBuffer,8,9,90,110,110,1600,1760,0.1000
DegreeMajorRealBuffer,8,9,81,100,100,1448,1600,0.1050
FlatCoefficientBuffer,12,13,182,210,210,3136,3360,0.0714
DegreeMajorRealBuffer,12,13,169,196,196,2920,3136,0.0740
FlatCoefficientBuffer,20,21,462,506,506,7744,8096,0.0455
DegreeMajorRealBuffer,20,21,441,484,484,7400,7744,0.0465
