schema_version,source_hash,slurm_job_id,host,julia_version,blas_vendor,blas_threads,julia_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,cells,nodes,routes,routes_per_level,direct_pairs,nclasses,construction_ms,grid_refresh_ms,occupancy_refresh_ms,direct_generation_ms,scan_compact_ms,tree_group_refresh_ms,update_ms_median,update_ms_min,update_ms_iqr,b2m_ms_median,m2m_ms_median,m2l_ms_median,m2l_ms_min,m2l_ms_iqr,l2l_ms_median,l2b_ms_median,step_ms_median,step_ms_min,step_ms_iqr,m2l_alloc_bytes,update_alloc_bytes,step_alloc_bytes,occupancy_bytes,operator_bytes,metadata_bytes,expansion_bytes,scratch_bytes,persistent_bytes,peak_bytes,accuracy_samples,potential_error,gradient_error,expansion_host_copies,route_uploads,operator_uploads
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,128,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7614.349257,1.209052,0.011572,3.762882,46.311666,0.3191,51.92301,51.855143,0.21562999999999732,NaN,NaN,2331.442699,2328.829919,3.4497880000003533,NaN,NaN,NaN,NaN,NaN,2688,10944,24896,18724,0,25165824,2246880,518585752,518585752,792797184,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,16,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7607.503872,1.188166,0.011241,3.747682,46.302739,0.305756,51.85561,51.786309,0.03876799999999747,NaN,NaN,2298.383329,2296.739567,1.2168594999998277,NaN,NaN,NaN,NaN,NaN,11984,20240,43488,18724,0,3145728,2246880,82444696,82444696,635445248,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,1,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7635.621231,1.169903,0.011131,3.742727,46.39436,0.312358,51.927228,51.914645,0.17065600000000813,NaN,NaN,2304.265617,2303.286373,2.8660620000000563,NaN,NaN,NaN,NaN,NaN,144240,152496,308000,18724,0,196608,2246880,19284376,19284376,585363456,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,2,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7589.416894,1.19488,0.012854,3.732088,46.432036,0.319932,51.936481,51.934478,0.07845749999999896,NaN,NaN,2272.230445,2270.646402,2.969616500000484,NaN,NaN,NaN,NaN,NaN,74144,82400,167808,18724,0,393216,2246880,23495064,23495064,584609792,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,32,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7642.668196,1.229947,0.011641,3.768768,46.28906,0.323744,51.892074,51.826551,0.14781099999999725,NaN,NaN,2312.120069,2311.485364,1.1627154999996492,NaN,NaN,NaN,NaN,NaN,6768,15024,33056,18724,0,6291456,2246880,149815704,149815704,667521024,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,4,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7725.000382,1.186583,0.011091,3.800433,46.908046,0.303591,52.534106,52.362363,0.1509890000000027,NaN,NaN,2273.07172,2272.680593,0.4433994999999413,NaN,NaN,NaN,NaN,NaN,39488,47744,98496,18724,0,786432,2246880,31916440,31916440,603262976,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,64,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7631.709023,1.207499,0.011612,3.763101,46.084099,0.311726,51.789009,51.706945,0.04741399999999629,NaN,NaN,2322.455771,2322.225459,0.5686934999998812,NaN,NaN,NaN,NaN,NaN,4080,12336,27680,18724,0,12582912,2246880,284557720,284557720,728297472,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_12,precomputed_y,uniform,Float64,false,20000,4,4,26046404,8,4064,4649,2994380,0;0;752;160192;2833436,562726,5220,7583.26287,1.208554,0.011922,3.758164,46.254767,0.311546,51.805644,51.790095,0.1319029999999941,NaN,NaN,2264.659646,2262.644153,1.1912374999997155,NaN,NaN,NaN,NaN,NaN,22048,30304,63616,18724,0,1572864,2246880,48759192,48759192,612929536,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,128,4064,4649,632410,0;0;3096;53352;575962,96072,948,7703.788159,1.19728,0.012174,0.606982,8.613764,0.310273,11.018306,10.955867,0.07390450000000115,NaN,NaN,506.067045,505.87814,0.3964105000000018,NaN,NaN,NaN,NaN,NaN,1360,9616,22240,18724,0,25165824,2246880,284272384,284272384,699273216,0,NaN,NaN,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954300,m12-2-21,1.11.7,lbt,1,1,hierarchical_3,precomputed_y,uniform,Float64,false,20000,4,4,26046404,16,4064,4649,632410,0;0;3096;53352;575962,96072,948,7619.361316,1.184898,0.010971,0.60639,8.662105,0.302579,11.025388,11.018895,0.022477500000000816,NaN,NaN,495.695113,494.44897,1.0078645000000392,NaN,NaN,NaN,NaN,NaN,1872,10128,23264,18724,0,3145728,2246880,77955328,77955328,611876864,0,NaN,NaN,0,0,0
