stage,form,precision,blas_threads,P,batch,seconds,seconds_per_expansion
m2l_z_translation,recurrence,Float64,1,2,1,3.181250e-08,3.181250e-08
axis_swap,recurrence,Float64,1,2,1,8.810410e-08,8.810410e-08
m2l_z_translation,dense,Float64,1,2,1,1.366250e-07,1.366250e-07
axis_swap,dense,Float64,1,2,1,1.911660e-07,1.911660e-07
m2l_z_translation,dense,Float32,1,2,1,1.437920e-07,1.437920e-07
axis_swap,dense,Float32,1,2,1,2.105420e-07,2.105420e-07
m2l_z_translation,recurrence,Float64,1,2,8,2.590830e-07,3.238537e-08
axis_swap,recurrence,Float64,1,2,8,7.100410e-07,8.875513e-08
m2l_z_translation,dense,Float64,1,2,8,2.832080e-07,3.540100e-08
axis_swap,dense,Float64,1,2,8,3.357080e-07,4.196350e-08
m2l_z_translation,dense,Float32,1,2,8,3.212500e-07,4.015625e-08
axis_swap,dense,Float32,1,2,8,3.619170e-07,4.523963e-08
m2l_z_translation,recurrence,Float64,1,2,64,2.033330e-06,3.177078e-08
axis_swap,recurrence,Float64,1,2,64,5.628750e-06,8.794922e-08
m2l_z_translation,dense,Float64,1,2,64,1.351670e-06,2.111984e-08
axis_swap,dense,Float64,1,2,64,1.776250e-06,2.775391e-08
m2l_z_translation,dense,Float32,1,2,64,1.349170e-06,2.108078e-08
axis_swap,dense,Float32,1,2,64,1.680000e-06,2.625000e-08
m2l_z_translation,recurrence,Float64,1,2,512,1.622080e-05,3.168125e-08
axis_swap,recurrence,Float64,1,2,512,4.501250e-05,8.791504e-08
m2l_z_translation,dense,Float64,1,2,512,9.491660e-06,1.853840e-08
axis_swap,dense,Float64,1,2,512,1.353750e-05,2.644043e-08
m2l_z_translation,dense,Float32,1,2,512,9.305410e-06,1.817463e-08
axis_swap,dense,Float32,1,2,512,1.190000e-05,2.324219e-08
m2l_z_translation,recurrence,Float64,1,2,4096,1.298750e-04,3.170776e-08
axis_swap,recurrence,Float64,1,2,4096,3.598750e-04,8.786011e-08
m2l_z_translation,dense,Float64,1,2,4096,7.487500e-05,1.828003e-08
axis_swap,dense,Float64,1,2,4096,1.026660e-04,2.506494e-08
m2l_z_translation,dense,Float32,1,2,4096,7.325420e-05,1.788433e-08
axis_swap,dense,Float32,1,2,4096,9.380830e-05,2.290242e-08
m2l_z_translation,recurrence,Float64,1,3,1,5.650830e-08,5.650830e-08
axis_swap,recurrence,Float64,1,3,1,1.931670e-07,1.931670e-07
m2l_z_translation,dense,Float64,1,3,1,2.080000e-07,2.080000e-07
axis_swap,dense,Float64,1,3,1,2.698750e-07,2.698750e-07
m2l_z_translation,dense,Float32,1,3,1,2.184170e-07,2.184170e-07
axis_swap,dense,Float32,1,3,1,3.065420e-07,3.065420e-07
m2l_z_translation,recurrence,Float64,1,3,8,4.571660e-07,5.714575e-08
axis_swap,recurrence,Float64,1,3,8,1.552080e-06,1.940100e-07
m2l_z_translation,dense,Float64,1,3,8,4.173330e-07,5.216662e-08
axis_swap,dense,Float64,1,3,8,5.288340e-07,6.610425e-08
m2l_z_translation,dense,Float32,1,3,8,4.496670e-07,5.620837e-08
axis_swap,dense,Float32,1,3,8,5.636660e-07,7.045825e-08
m2l_z_translation,recurrence,Float64,1,3,64,3.618330e-06,5.653641e-08
axis_swap,recurrence,Float64,1,3,64,1.236250e-05,1.931641e-07
m2l_z_translation,dense,Float64,1,3,64,2.010410e-06,3.141266e-08
axis_swap,dense,Float64,1,3,64,2.969160e-06,4.639313e-08
m2l_z_translation,dense,Float32,1,3,64,1.931670e-06,3.018234e-08
axis_swap,dense,Float32,1,3,64,2.762910e-06,4.317047e-08
m2l_z_translation,recurrence,Float64,1,3,512,2.890000e-05,5.644531e-08
axis_swap,recurrence,Float64,1,3,512,9.891600e-05,1.931953e-07
m2l_z_translation,dense,Float64,1,3,512,1.444170e-05,2.820645e-08
axis_swap,dense,Float64,1,3,512,2.233750e-05,4.362793e-08
m2l_z_translation,dense,Float32,1,3,512,1.335410e-05,2.608223e-08
axis_swap,dense,Float32,1,3,512,1.993750e-05,3.894043e-08
m2l_z_translation,recurrence,Float64,1,3,4096,2.311250e-04,5.642700e-08
axis_swap,recurrence,Float64,1,3,4096,7.919170e-04,1.933391e-07
m2l_z_translation,dense,Float64,1,3,4096,1.125410e-04,2.747583e-08
axis_swap,dense,Float64,1,3,4096,1.763330e-04,4.305005e-08
m2l_z_translation,dense,Float32,1,3,4096,1.169580e-04,2.855420e-08
axis_swap,dense,Float32,1,3,4096,1.576660e-04,3.849268e-08
m2l_z_translation,recurrence,Float64,1,4,1,9.217080e-08,9.217080e-08
axis_swap,recurrence,Float64,1,4,1,3.706660e-07,3.706660e-07
m2l_z_translation,dense,Float64,1,4,1,2.827500e-07,2.827500e-07
axis_swap,dense,Float64,1,4,1,3.593330e-07,3.593330e-07
m2l_z_translation,dense,Float32,1,4,1,3.052920e-07,3.052920e-07
axis_swap,dense,Float32,1,4,1,4.125000e-07,4.125000e-07
m2l_z_translation,recurrence,Float64,1,4,8,7.425830e-07,9.282288e-08
axis_swap,recurrence,Float64,1,4,8,2.969170e-06,3.711462e-07
m2l_z_translation,dense,Float64,1,4,8,5.620000e-07,7.025000e-08
axis_swap,dense,Float64,1,4,8,7.542500e-07,9.428125e-08
m2l_z_translation,dense,Float32,1,4,8,6.130830e-07,7.663538e-08
axis_swap,dense,Float32,1,4,8,7.773750e-07,9.717188e-08
m2l_z_translation,recurrence,Float64,1,4,64,5.901660e-06,9.221344e-08
axis_swap,recurrence,Float64,1,4,64,2.371250e-05,3.705078e-07
m2l_z_translation,dense,Float64,1,4,64,2.862080e-06,4.472000e-08
axis_swap,dense,Float64,1,4,64,4.352910e-06,6.801422e-08
m2l_z_translation,dense,Float32,1,4,64,2.696250e-06,4.212891e-08
axis_swap,dense,Float32,1,4,64,3.878750e-06,6.060547e-08
m2l_z_translation,recurrence,Float64,1,4,512,4.717080e-05,9.213047e-08
axis_swap,recurrence,Float64,1,4,512,1.897080e-04,3.705234e-07
m2l_z_translation,dense,Float64,1,4,512,2.077500e-05,4.057617e-08
axis_swap,dense,Float64,1,4,512,3.298330e-05,6.442051e-08
m2l_z_translation,dense,Float32,1,4,512,1.891660e-05,3.694648e-08
axis_swap,dense,Float32,1,4,512,2.836670e-05,5.540371e-08
m2l_z_translation,recurrence,Float64,1,4,4096,3.772500e-04,9.210205e-08
axis_swap,recurrence,Float64,1,4,4096,1.517292e-03,3.704326e-07
m2l_z_translation,dense,Float64,1,4,4096,1.636660e-04,3.995752e-08
axis_swap,dense,Float64,1,4,4096,2.606250e-04,6.362915e-08
m2l_z_translation,dense,Float32,1,4,4096,1.482500e-04,3.619385e-08
axis_swap,dense,Float32,1,4,4096,2.235410e-04,5.457544e-08
m2l_z_translation,recurrence,Float64,1,5,1,1.409590e-07,1.409590e-07
axis_swap,recurrence,Float64,1,5,1,6.487080e-07,6.487080e-07
m2l_z_translation,dense,Float64,1,5,1,3.587500e-07,3.587500e-07
axis_swap,dense,Float64,1,5,1,4.614590e-07,4.614590e-07
m2l_z_translation,dense,Float32,1,5,1,3.949580e-07,3.949580e-07
axis_swap,dense,Float32,1,5,1,5.304160e-07,5.304160e-07
m2l_z_translation,recurrence,Float64,1,5,8,1.132090e-06,1.415113e-07
axis_swap,recurrence,Float64,1,5,8,5.192920e-06,6.491150e-07
m2l_z_translation,dense,Float64,1,5,8,7.256250e-07,9.070313e-08
axis_swap,dense,Float64,1,5,8,1.042080e-06,1.302600e-07
m2l_z_translation,dense,Float32,1,5,8,7.825830e-07,9.782287e-08
axis_swap,dense,Float32,1,5,8,1.042910e-06,1.303637e-07
m2l_z_translation,recurrence,Float64,1,5,64,9.024580e-06,1.410091e-07
axis_swap,recurrence,Float64,1,5,64,4.150000e-05,6.484375e-07
m2l_z_translation,dense,Float64,1,5,64,3.824590e-06,5.975922e-08
axis_swap,dense,Float64,1,5,64,6.214170e-06,9.709641e-08
