config,P,m2t_relerr,s2l_relerr
1.0,4.0,1.096675322260335e-8,1.2664172514771617e-8
1.0,8.0,9.844973257915223e-15,7.285280210857265e-15
1.0,12.0,0.0,1.968994651583045e-16
2.0,4.0,2.5998457220818546e-9,5.1064516026986134e-9
2.0,8.0,2.053762289459635e-15,1.812143196582031e-15
2.0,12.0,1.2080954643880207e-16,0.0
3.0,4.0,6.774590883008251e-9,9.287214510806692e-9
3.0,8.0,8.316118858212323e-16,8.316118858212323e-16
3.0,12.0,2.0790297145530807e-16,6.237089143659242e-16
4.0,4.0,1.0575462234372846e-7,1.6720199930224033e-9
4.0,8.0,8.443999453976239e-14,4.4855242783406315e-15
4.0,12.0,1.121381069585158e-16,0.0
5.0,4.0,2.3112483926545846e-8,1.0612576824133957e-10
5.0,8.0,1.2253268740193806e-14,6.23047563060702e-16
5.0,12.0,2.07682521020234e-16,6.23047563060702e-16
6.0,4.0,1.3410270257476199e-11,2.768964228260505e-9
6.0,8.0,5.992524133824174e-16,5.193520915980951e-15
6.0,12.0,5.992524133824174e-16,3.995016089216116e-16
