case,q,structure,K_max_or_ell,n_leaves,popmax,u_pairs,v_routes,w_entries,x_entries,model_cost
filament,12,uniform,2,64,136,7803102,752,0,0,8.254302e6
filament,12,uniform,3,471,64,2407308,136160,0,0,8.4103308e7
filament,12,uniform,4,1140,34,537330,362844,0,0,2.1824373e8
filament,12,uniform,5,1484,18,185978,431970,0,0,2.59367978e8
filament,12,uniform,6,1869,9,82288,456214,0,0,2.73810688e8
adversarial,3,adaptive,8,810,15,287252,70078,11,11,4.2335732e7
adversarial,3,adaptive,16,623,16,350962,42878,1194,1194,2.7037042e7
adversarial,3,adaptive,32,339,32,582706,19404,781,781,1.3398226e7
adversarial,3,adaptive,64,123,64,1377448,3540,161,161,3.768988e6
adversarial,3,adaptive,128,80,127,1830416,518,254,254,3.120596e6
adversarial,3,uniform,2,64,1016,2764020,3096,0,0,4.62162e6
adversarial,3,uniform,3,421,1001,2097566,39316,0,0,2.5687166e7
adversarial,3,uniform,4,885,1000,2009128,66168,0,0,4.1709928e7
adversarial,3,uniform,5,989,1000,2001812,71330,0,0,4.4799812e7
adversarial,3,uniform,6,1015,378,2001098,72042,0,0,4.5226298e7
adversarial,12,adaptive,8,810,15,1242236,153538,91,91,9.3378116e7
adversarial,12,adaptive,16,623,16,1440462,68906,3696,3696,4.5723402e7
adversarial,12,adaptive,32,339,32,2035400,14208,1850,1850,1.309244e7
adversarial,12,adaptive,64,123,64,2803668,752,375,375,3.592128e6
adversarial,12,adaptive,128,80,127,2940808,108,148,148,3.433288e6
adversarial,12,uniform,2,64,1016,5280092,752,0,0,5.731292e6
adversarial,12,uniform,3,421,1001,2532676,109458,0,0,6.8207476e7
adversarial,12,uniform,4,885,1000,2065662,243630,0,0,1.48243662e8
adversarial,12,uniform,5,989,1000,2006076,272560,0,0,1.65542076e8
adversarial,12,uniform,6,1015,378,2001694,276934,0,0,1.68162094e8
