case,q,K_max,balanced,n_nodes,n_leaves,balance_splits,depth_min,depth_max,u_entries,u_pairs,v_routes,w_entries,x_entries,w_evals,x_evals,exact_once_bad,v_classes_ok,wx_max_leveldiff,wx_frac_one_level
uniform,3,16,true,583,510,0,3,3,10560,369076,55916,0,0,0,0,0,true,0,1.0
uniform,3,16,false,583,510,0,3,3,10560,369076,55916,0,0,0,0,0,true,0,1.0
uniform,3,64,true,73,64,0,2,2,1000,2197426,3096,0,0,0,0,0,true,0,1.0
uniform,3,64,false,73,64,0,2,2,1000,2197426,3096,0,0,0,0,0,true,0,1.0
uniform,12,16,true,583,510,0,3,3,53312,1849070,159668,0,0,0,0,0,true,0,1.0
uniform,12,16,false,583,510,0,3,3,53312,1849070,159668,0,0,0,0,0,true,0,1.0
uniform,12,64,true,73,64,0,2,2,3344,7328204,752,0,0,0,0,0,true,0,1.0
uniform,12,64,false,73,64,0,2,2,3344,7328204,752,0,0,0,0,0,true,0,1.0
multiscale30,3,16,true,835,717,15,3,5,13963,333596,67344,2992,2992,19430,19430,0,true,1,1.0
multiscale30,3,16,false,790,687,0,3,5,13825,350886,63794,2731,2731,20139,20139,0,true,2,0.9451
multiscale30,3,64,true,302,264,18,2,4,5264,899064,18426,2001,2001,49900,49900,0,true,1,1.0
multiscale30,3,64,false,159,139,0,2,4,2471,1367310,5620,1111,1111,34928,34928,0,true,2,0.838
multiscale30,12,16,true,835,717,15,3,5,66249,1470178,174692,24905,24905,117484,117484,0,true,2,0.9377
multiscale30,12,16,false,790,687,0,3,5,65627,1574152,167066,20138,20138,103824,103824,0,true,2,0.8936
multiscale30,12,64,true,302,264,18,2,4,22912,3641690,18324,10119,10119,179536,179536,0,true,2,0.9271
multiscale30,12,64,false,159,139,0,2,4,9181,5056482,1576,2967,2967,77789,77789,0,true,2,0.5578
multiscale100,3,16,true,858,733,18,3,5,14411,280484,73692,2321,2321,9735,9735,0,true,2,0.9901
multiscale100,3,16,false,809,702,0,3,5,14432,297080,70610,1928,1928,10212,10212,0,true,2,0.8008
multiscale100,3,64,true,235,205,14,2,4,3977,1206360,12352,1718,1718,42443,42443,0,true,2,0.993
multiscale100,3,64,false,123,107,0,2,4,1795,1586822,3916,611,611,17167,17167,0,true,2,0.7627
multiscale100,12,16,true,858,733,18,3,5,69645,1290980,177560,22138,22138,79019,79019,0,true,2,0.8819
multiscale100,12,16,false,809,702,0,3,5,70742,1405512,173068,14705,14705,59652,59652,0,true,2,0.6985
multiscale100,12,64,true,235,205,14,2,4,16729,3847800,8346,6709,6709,140867,140867,0,true,2,0.9067
multiscale100,12,64,false,123,107,0,2,4,6137,4973196,842,1418,1418,41319,41319,0,true,2,0.4147
filament,3,16,true,1083,841,92,2,6,10467,146596,55322,4815,4815,13170,13170,0,true,2,0.9398
filament,3,16,false,829,679,0,2,6,9931,200518,36466,4156,4156,23007,23007,0,true,3,0.7818
filament,3,64,true,191,166,0,2,3,2614,1052080,5860,973,973,19731,19731,0,true,1,1.0
filament,3,64,false,191,166,0,2,3,2614,1052080,5860,973,973,19731,19731,0,true,1,1.0
filament,12,16,true,1083,841,92,2,6,47697,490728,157426,26245,26245,70542,70542,0,true,3,0.8552
filament,12,16,false,829,679,0,2,6,41769,676748,103876,16778,16778,80346,80346,0,true,3,0.7466
filament,12,64,true,191,166,0,2,3,8994,3505428,10266,2832,2832,59797,59797,0,true,1,1.0
filament,12,64,false,191,166,0,2,3,8994,3505428,10266,2832,2832,59797,59797,0,true,1,1.0
adversarial,3,16,true,736,623,0,2,8,10927,350962,42878,1194,1194,15988,15988,0,true,1,1.0
adversarial,3,16,false,736,623,0,2,8,10927,350962,42878,1194,1194,15988,15988,0,true,1,1.0
adversarial,3,64,true,150,123,0,2,7,1705,1377448,3540,161,161,4459,4459,0,true,1,1.0
adversarial,3,64,false,150,123,0,2,7,1705,1377448,3540,161,161,4459,4459,0,true,1,1.0
adversarial,12,16,true,736,623,0,2,8,46917,1440462,68906,3696,3696,48989,48989,0,true,2,0.9927
adversarial,12,16,false,736,623,0,2,8,46917,1440462,68906,3696,3696,48989,48989,0,true,2,0.9927
adversarial,12,64,true,150,123,0,2,7,4713,2803668,752,375,375,5621,5621,0,true,2,0.904
adversarial,12,64,false,150,123,0,2,7,4713,2803668,752,375,375,5621,5621,0,true,2,0.904
