n,ell,P,policy,strategy,chunk,routes,direct_pairs,list_time,build_time,exec_time,exec_max,host_time,t_b2m,t_m2m,t_m2l,t_l2l,t_l2b
128,3,2,parent,shared,0,10898,551,1.930404e-03,1.613626e-01,1.433354e+01,1.491885e+01,8.503456e-03,4.170100e-05,9.534214e-03,1.451332e+01,8.289496e-03,4.823100e-05
128,3,2,parent,concat,131072,10898,551,1.930404e-03,2.918612e-03,1.707340e-02,1.714292e-02,8.503456e-03,4.185300e-05,8.056807e-03,2.833560e-04,7.887907e-03,4.730300e-05
10000,4,4,constp,concat,131072,9712922,4319594,7.004361e-01,5.619542e-01,2.260007e-01,2.509857e-01,4.707986e+01,4.052230e-04,7.872257e-02,5.501679e-02,8.052278e-02,2.987315e-03
100000,4,4,constp,concat,131072,11600784,5176432,3.622664e-01,6.232811e-01,4.329987e-01,4.539992e-01,NaN,1.416536e-03,1.679116e-01,6.699518e-02,1.723921e-01,4.999791e-02
100000,4,4,constp,concat,262144,11600784,5176432,3.622664e-01,1.270770e+00,4.289998e-01,4.539991e-01,NaN,1.414793e-03,1.648101e-01,6.199867e-02,1.688271e-01,4.999364e-02
100000,4,4,constp,concat,524288,11600784,5176432,3.622664e-01,9.581187e-01,4.129986e-01,5.500001e-01,NaN,1.414013e-03,1.543233e-01,5.999848e-02,1.612390e-01,5.099785e-02
100000,4,8,constp,concat,131072,10970312,5806904,3.622227e-01,6.508114e-01,7.870002e-01,1.276000e+00,NaN,8.241812e-03,2.651316e-01,1.880003e-01,2.886850e-01,6.251281e-02
100000,4,8,constp,concat,262144,10970312,5806904,3.622227e-01,9.176061e-01,7.840009e-01,8.170000e-01,NaN,2.499812e-02,2.830152e-01,1.829950e-01,3.087756e-01,6.299414e-02
100000,4,8,constp,concat,524288,10970312,5806904,3.622227e-01,1.161140e+00,7.809989e-01,8.319996e-01,NaN,1.300410e-02,2.900016e-01,1.799999e-01,3.013174e-01,6.299514e-02
