n,ell,P,policy,strategy,chunk,routes,direct_pairs,list_time,build_time,exec_time,exec_max,host_time,t_b2m,t_m2m,t_m2l,t_l2l,t_l2b
128,3,2,parent,shared,0,10898,551,2.001877e-03,1.605530e-01,1.403900e+01,1.444181e+01,7.975490e-03,4.226200e-05,7.392230e-04,1.423061e+01,6.418590e-04,5.018800e-05
128,3,2,parent,concat,131072,10898,551,2.001877e-03,2.860026e-03,2.280463e-03,2.341060e-03,7.975490e-03,4.219800e-05,7.254620e-04,2.838800e-04,6.452660e-04,4.918900e-05
10000,4,4,constp,concat,131072,9712922,4319594,6.870651e-01,5.313475e-01,5.380561e-02,6.860042e-02,4.691502e+01,4.059470e-04,3.968461e-03,5.799306e-02,3.924243e-03,2.985995e-03
100000,4,4,constp,concat,131072,11600784,5176432,3.502410e-01,6.170943e-01,1.159986e-01,1.250010e-01,NaN,1.399240e-02,8.046996e-03,6.599735e-02,8.021024e-03,4.999976e-02
100000,4,4,constp,concat,262144,11600784,5176432,3.502410e-01,7.408775e-01,1.120005e-01,1.372167e-01,NaN,1.420484e-03,7.969324e-03,6.199874e-02,7.890560e-03,4.999837e-02
100000,4,4,constp,concat,524288,11600784,5176432,3.502410e-01,8.990714e-01,1.108808e-01,1.209980e-01,NaN,1.419706e-03,8.029164e-03,5.999882e-02,7.910468e-03,4.999771e-02
100000,4,8,constp,concat,131072,10970312,5806904,3.537867e-01,5.999703e-01,2.699989e-01,2.719996e-01,NaN,1.300709e-02,8.067605e-03,1.879976e-01,8.008334e-03,6.299095e-02
100000,4,8,constp,concat,262144,10970312,5806904,3.537867e-01,9.308776e-01,2.559998e-01,2.640003e-01,NaN,2.599680e-02,8.109072e-03,1.829962e-01,7.996524e-03,6.299905e-02
100000,4,8,constp,concat,524288,10970312,5806904,3.537867e-01,4.783803e-01,2.613437e-01,2.620048e-01,NaN,1.300796e-02,8.149124e-03,1.799986e-01,8.007133e-03,6.299906e-02
