case,class,set,index,x,y,z,sigma_h,offset_x,offset_y,offset_z,target_cell_count,source_cell_count
rotor,self,target,18,0.29778977418174524,-0.14875966371925298,0.23530955154560473,0.0011935556787142562,0,0,0,3035,3035
rotor,self,target,19,0.2967730252071652,-0.13308513364210039,0.22007907595171616,0.0011950015577871062,0,0,0,3035,3035
rotor,self,target,20,0.29570882828487743,-0.11738784310773376,0.20390530902717785,0.0011964463573203687,0,0,0,3035,3035
rotor,self,target,21,0.29436923961396566,-0.10159994998043231,0.18848368617468481,0.0011978900671561809,0,0,0,3035,3035
rotor,self,target,22,0.29198752339350253,-0.085857500426062217,0.17314052998451501,0.0011993326773474485,0,0,0,3035,3035
rotor,self,target,23,0.28993646055788425,-0.070618762179582184,0.15732586200549292,0.0012007741781544803,0,0,0,3035,3035
rotor,self,target,24,0.28705949740315084,-0.054544577269762584,0.14090117045103767,0.0012022445560322043,0,0,0,3035,3035
rotor,self,target,25,0.28377839626424972,-0.039108222768299505,0.12546135384638291,0.0012036837860616254,0,0,0,3035,3035
rotor,self,target,26,0.28010650606894671,-0.023839076984771168,0.10950550095569866,0.0012051218785109796,0,0,0,3035,3035
rotor,self,target,27,0.2763781298401895,-0.0090627946410730686,0.093799206123783563,0.0012065588244415772,0,0,0,3035,3035
rotor,self,target,28,0.27200898231970427,0.006044901308884576,0.078304496999336948,0.0012079946151060154,0,0,0,3035,3035
rotor,self,target,29,0.26758794564010469,0.021139725477656413,0.062669372594520212,0.0012094292419451245,0,0,0,3035,3035
rotor,self,target,30,0.26214915801090388,0.036499553731517587,0.046251685905382089,0.0012108925476995045,0,0,0,3035,3035
rotor,self,target,31,0.25677373990824304,0.051528602294153458,0.030555716696873958,0.0012123247972710941,0,0,0,3035,3035
rotor,self,target,32,0.25094992903423119,0.065831200532612044,0.014534895129671099,0.0012137558582743782,0,0,0,3035,3035
rotor,self,target,33,0.24426688160733701,0.080420542100960724,-0.00088916259679905352,0.001215185722877178,0,0,0,3035,3035
rotor,self,target,34,0.23808322612719923,0.094437557331100486,-0.016983861872098771,0.0012166143834209328,0,0,0,3035,3035
rotor,self,target,35,0.23154774695140468,0.10875218223020511,-0.032768224801188239,0.0012180418324179273,0,0,0,3035,3035
rotor,self,target,36,0.2237446722622991,0.12309979475889321,-0.048954946559042867,0.0012194977626637188,0,0,0,3035,3035
rotor,self,target,37,0.21588226201044503,0.13658360481320031,-0.065023088857472544,0.0012209227411568392,0,0,0,3035,3035
rotor,self,target,38,0.20806461222855077,0.15049039539711817,-0.080779177168302851,0.001222346486494131,0,0,0,3035,3035
rotor,self,target,39,0.19984162144780004,0.1635249801274492,-0.096643549934881889,0.001223768991847731,0,0,0,3035,3035
rotor,self,target,40,0.19106191911380233,0.17668119737686894,-0.11226122417267703,0.0012251902505473606,0,0,0,3035,3035
rotor,self,target,41,0.18231087663966417,0.18937135071455735,-0.12836125147804012,0.0012266102560778097,0,0,0,3035,3035
rotor,self,target,42,0.17264785618523248,0.20243458573455353,-0.14458927257252441,0.00122805854584655,0,0,0,3035,3035
rotor,self,target,43,0.16260281253705511,0.21480500621075826,-0.16050221263321873,0.0012294759996662784,0,0,0,3035,3035
rotor,self,target,44,0.15348014319941239,0.22716031272180359,-0.17641515061558266,0.0012308921815522603,0,0,0,3035,3035
rotor,self,target,45,0.14270797113307765,0.23887786116065257,-0.19218095376955802,0.0012323070855882012,0,0,0,3035,3035
rotor,self,target,46,0.13239413316699267,0.24999346970706693,-0.20874616408735847,0.0012337207060008381,0,0,0,3035,3035
rotor,self,target,47,0.12143709753029341,0.26199170290404439,-0.22480501975428524,0.0012351330371576533,0,0,0,3035,3035
rotor,self,target,48,0.11046683109807809,0.27327062803654911,-0.24043005346693747,0.0012365440735646294,0,0,0,3035,3035
rotor,self,target,49,0.09878683320168502,0.28417191582969625,-0.257122556123214,0.0012379831655076918,0,0,0,3035,3035
rotor,self,target,50,0.087104841096630636,0.29433986460576733,-0.27301336496488915,0.0012393915692268998,0,0,0,3035,3035
rotor,self,target,51,0.075077679427429267,0.30439025528603469,-0.28890438691291109,0.0012407986624185638,0,0,0,3035,3035
rotor,self,target,52,0.062620429922047194,0.31485496494707377,-0.30527688037779654,0.0012422044401235633,0,0,0,3035,3035
rotor,self,target,53,0.050674786755235957,0.32418578924264363,-0.32084033156483827,0.001243608897510516,0,0,0,3035,3035
rotor,self,target,54,0.037999892673489022,0.33325453225106738,-0.33725751390277026,0.0012450120298737361,0,0,0,3035,3035
rotor,self,target,55,0.025220131349262154,0.34283207838231178,-0.35353147984837108,0.0012464430226845728,0,0,0,3035,3035
rotor,self,target,56,0.011669521145549311,0.35138966673475913,-0.36963597630614231,0.0012478434635364187,0,0,0,3035,3035
rotor,self,target,57,-0.001710661005631664,0.35933321321508416,-0.38613965377574999,0.0012492425658925321,0,0,0,3035,3035
rotor,self,target,58,-0.01544003471221167,0.36733039903895737,-0.40186124200887008,0.0012506403255326552,0,0,0,3035,3035
rotor,self,target,59,-0.029056292455186039,0.37479769457918355,-0.41818191744864919,0.0012520367383524488,0,0,0,3035,3035
rotor,self,target,60,-0.043074401235901227,0.38252234249114281,-0.43436087874566454,0.001253431800361633,0,0,0,3035,3035
rotor,self,target,61,-0.057379301996263621,0.38896172992720501,-0.45084548923424705,0.0012548545288188369,0,0,0,3035,3035
rotor,self,target,62,-0.071504677109290427,0.39547640571835885,-0.46673105297756479,0.0012562468493426521,0,0,0,3035,3035
rotor,self,target,63,-0.085629039379522709,0.40189483362766865,-0.48306074863806714,0.0012576378076761781,0,0,0,3035,3035
rotor,self,target,64,-0.10081031533807572,0.40767628911395359,-0.49933625145409621,0.0012590274002696039,0,0,0,3035,3035
rotor,self,source,1,-0.10081031533807572,0.40767628911395359,-0.49933625145409621,0.0012590274002696039,0,0,0,3035,3035
rotor,self,source,2,-0.080728896366455416,0.39966552975627945,-0.47766033925983464,0.0012571453326133861,0,0,0,3035,3035
rotor,self,source,3,-0.061413742973948082,0.3906395196731296,-0.45599723463190855,0.0012552897750927466,0,0,0,3035,3035
rotor,self,source,4,-0.042358845120953781,0.38195741566194208,-0.43426070690090057,0.0012534027503738603,0,0,0,3035,3035
rotor,self,source,5,-0.024248582538747065,0.37228903819870673,-0.4122727911199533,0.0012515423297624186,0,0,0,3035,3035
rotor,self,source,6,-0.0054374476008565154,0.36210336836296797,-0.39036957817743456,0.0012496503846729943,0,0,0,3035,3035
rotor,self,source,7,0.012154233249219715,0.35122647443694088,-0.36894007511081384,0.0012477851385280271,0,0,0,3035,3035
rotor,self,source,8,0.029669633694151543,0.33936118282684902,-0.34711903159965374,0.0012458883126960944,0,0,0,3035,3035
rotor,self,source,9,0.047125719750149564,0.32678990571192923,-0.32586750074430881,0.0012440182815290199,0,0,0,3035,3035
rotor,self,source,10,0.063446857445491389,0.31411681064802899,-0.30400893335204415,0.0012421166176486988,0,0,0,3035,3035
rotor,self,source,11,0.080216153769820053,0.30076023034499855,-0.28235368536719818,0.0012402125331752044,0,0,0,3035,3035
rotor,self,source,12,0.09613959479594314,0.28678614480313858,-0.2608185724797849,0.0012383353890233883,0,0,0,3035,3035
rotor,self,source,13,0.11150495084065959,0.27186536973428055,-0.23895003918318025,0.0012364265367812639,0,0,0,3035,3035
rotor,self,source,14,0.12597272332284248,0.25701622373317612,-0.21780775043928458,0.0012345447228782128,0,0,0,3035,3035
rotor,self,source,15,0.14070030094758845,0.24164001699956117,-0.19618894023622602,0.001232631153847751,0,0,0,3035,3035
rotor,self,source,16,0.15419658941281078,0.22577060827375028,-0.17485699828386458,0.0012307447221272863,0,0,0,3035,3035
rotor,self,source,17,0.16748781977194049,0.2093052367925754,-0.15328945129577676,0.0012288264908574813,0,0,0,3035,3035
rotor,self,source,18,0.1800658171153815,0.19244166733914891,-0.13217353634505713,0.0012269354968440851,0,0,0,3035,3035
rotor,self,source,19,0.19212225333118038,0.17503102295441142,-0.11084185456765283,0.0012250126616104606,0,0,0,3035,3035
rotor,self,source,20,0.20390146585111424,0.15713282817210672,-0.088854593841709573,0.0012230875298536038,0,0,0,3035,3035
rotor,self,source,21,0.21445678427341175,0.13880251011648781,-0.0677033125169757,0.0012211897875474152,0,0,0,3035,3035
rotor,self,source,22,0.22453943689273981,0.12059585311175525,-0.046162658619543606,0.0012192601468463528,0,0,0,3035,3035
rotor,self,source,23,0.23430406483674648,0.10207437963543775,-0.02524877739281095,0.0012173579980875476,0,0,0,3035,3035
rotor,self,source,24,0.24367895625413638,0.082624073722822544,-0.0034517185626654623,0.0012154239167873296,0,0,0,3035,3035
rotor,self,source,25,0.25196738432788646,0.063441121540726897,0.017290813624136092,0.0012135174309811779,0,0,0,3035,3035
rotor,self,source,26,0.25947337877007115,0.043686773471511842,0.038832842581186355,0.0012115789817632118,0,0,0,3035,3035
rotor,self,source,27,0.26657677081808107,0.023823760350397016,0.059683974700881492,0.0012096682326779573,0,0,0,3035,3035
rotor,self,source,28,0.27289366625428801,0.0035250726296407464,0.081095221045011101,0.0012077254927516684,0,0,0,3035,3035
rotor,self,source,29,0.27863828035946359,-0.016418891007999648,0.10232273892518862,0.0012058105587113811,0,0,0,3035,3035
rotor,self,source,30,0.2836141388590141,-0.037326734993098576,0.12342289609664192,0.0012038636100143738,0,0,0,3035,3035
rotor,self,source,31,0.2876035456539725,-0.058194265050159011,0.14479808797569405,0.0012019145732165748,0,0,0,3035,3035
rotor,self,source,32,0.29119339219707108,-0.07871175561930599,0.16578885606828209,0.0011999935035074656,0,0,0,3035,3035
rotor,self,source,33,0.29389003395593605,-0.1001525099836531,0.18661175142837294,0.0011980403905272382,0,0,0,3035,3035
rotor,self,source,34,0.29596432163638742,-0.12102841728170333,0.20798293086742348,0.0011961153533102812,0,0,0,3035,3035
rotor,self,source,35,0.29755792801917558,-0.14214496238784768,0.22858404991308134,0.0011941582588616364,0,0,0,3035,3035
rotor,self,source,36,0.29823363842459738,-0.16307007099279058,0.24975363561082276,0.001192229350073211,0,0,0,3035,3035
rotor,self,source,37,0.29835029561976167,-0.18416686376812841,0.27052600991886067,0.0011902683743726457,0,0,0,3035,3035
rotor,self,source,38,0.29745036412865566,-0.20536920890381971,0.29167059010445229,0.0011883356954855897,0,0,0,3035,3035
rotor,self,source,39,0.29561820307130393,-0.22679686831097357,0.31270519195648205,0.0011863709444957238,0,0,0,3035,3035
rotor,self,source,40,0.29368839564372617,-0.24779224380511611,0.33361456383715904,0.0011844043332630719,0,0,0,3035,3035
rotor,self,source,41,0.29048383138402478,-0.26867138710553462,0.35406873811677997,0.0011824661884487114,0,0,0,3035,3035
rotor,self,source,42,0.2871085990300557,-0.28961149757902227,0.37540918817930446,0.0011804959726629501,0,0,0,3035,3035
rotor,self,source,43,0.28260891898941143,-0.31022963421330285,0.3960650865298021,0.0011785543377541103,0,0,0,3035,3035
rotor,self,source,44,0.27756947688931888,-0.3306020414762445,0.41711963336752689,0.0011765806389075521,0,0,0,3035,3035
rotor,self,source,45,0.27190693438060354,-0.35088685002241249,0.43761843446931437,0.0011746356367849219,0,0,0,3035,3035
rotor,self,source,46,0.26524900189536638,-0.37115503245866854,0.45815460023642629,0.0011726585830595007,0,0,0,3035,3035
rotor,self,source,47,0.25867750854343363,-0.39112677509117866,0.47873991571633212,0.0011707103433351547,0,0,0,3035,3035
rotor,self,source,48,0.25089711477520105,-0.41083507978268319,0.49946321349842293,0.0011687300698996141,0,0,0,3035,3035
rotor,face,target,1,0.23847245541481943,-0.49985563703893554,0.33537801885625385,0.00098321581876628953,0,0,1,2964,2734
rotor,face,target,2,0.24593710302316474,-0.48569311497230405,0.32278533504567974,0.00098444935696813721,0,0,1,2964,2734
rotor,face,target,3,0.25309939774645063,-0.47103749984835108,0.30991080760674805,0.0009856891556202156,0,0,1,2964,2734
rotor,face,target,4,0.26008981120339403,-0.45644556545787385,0.29759798607294385,0.0009869350808712667,0,0,1,2964,2734
rotor,face,target,5,0.26641676675080195,-0.44193400924871362,0.28484751247604834,0.00098818700111587016,0,0,1,2964,2734
rotor,face,target,6,0.27241030679557987,-0.42708053232858934,0.27243645882614231,0.00098944478695678719,0,0,1,2964,2734
rotor,face,target,7,0.27826454447795079,-0.41193838332002919,0.25981670628266329,0.00099070831116792463,0,0,1,2964,2734
rotor,face,target,8,0.28347689853330493,-0.39713387243955811,0.24709502409277206,0.00099197744865790814,0,0,1,2964,2734
rotor,face,target,9,0.28867056863204432,-0.38157448755020962,0.23442629081581146,0.00099325207643425326,0,0,1,2964,2734
rotor,face,target,10,0.29297453028217912,-0.36646956780729578,0.22160745491957812,0.00099453207356813467,0,0,1,2964,2734
rotor,face,target,11,0.29742251152242272,-0.35087422362997334,0.20917038783756681,0.00099581732115973614,0,0,1,2964,2734
rotor,face,target,12,0.30134727451051102,-0.33541610011872258,0.19593761952554445,0.00099710770230417869,0,0,1,2964,2734
rotor,face,target,13,0.30457199636295229,-0.3198134994896078,0.1832486808287257,0.0009984031020580143,0,0,1,2964,2734
rotor,face,target,14,0.30808123851390423,-0.30383010923178233,0.17020654883946662,0.00099970340740628168,0,0,1,2964,2734
rotor,face,target,15,0.31089104264521428,-0.28835636898090122,0.15761593979876665,0.0010010085072301113,0,0,1,2964,2734
rotor,face,target,16,0.31291519045525185,-0.2725055542906718,0.14451601849197004,0.0010023182922748771,0,0,1,2964,2734
rotor,face,target,17,0.31510937572556497,-0.25635205694320273,0.13137535096826269,0.0010036606692455867,0,0,1,2964,2734
rotor,face,target,18,0.31645973709989494,-0.24022521167316846,0.11841031093878485,0.0010049795982875218,0,0,1,2964,2734
rotor,face,target,19,0.31750135057122986,-0.2241262501596788,0.10542854778864097,0.0010063028934709408,0,0,1,2964,2734
rotor,face,target,20,0.31829591041453931,-0.20848145890642655,0.092649290906479109,0.0010076304527270057,0,0,1,2964,2734
rotor,face,target,21,0.31877204445585416,-0.19225579306759055,0.079658153958327205,0.0010089621756991162,0,0,1,2964,2734
rotor,face,target,22,0.31891086558099868,-0.17687403600366558,0.066448885049098294,0.0010102979637141639,0,0,1,2964,2734
rotor,face,target,23,0.31817362566514173,-0.16055549799258539,0.053708933856896124,0.0010116377197542661,0,0,1,2964,2734
rotor,face,target,24,0.31740418019528249,-0.14520805325980213,0.040325831903103904,0.001012981348428988,0,0,1,2964,2734
rotor,face,target,25,0.31636424047312239,-0.12901838437804614,0.027393400505175691,0.0010143287559480332,0,0,1,2964,2734
rotor,face,target,26,0.31457776625939537,-0.11289887594385473,0.014228436053080884,0.0010156798500943985,0,0,1,2964,2734
rotor,face,target,27,0.31281671534163014,-0.097678354931267641,0.0013011447006618937,0.001017034540197989,0,0,1,2964,2734
rotor,face,target,28,0.31050376877250052,-0.081738784171674794,-0.012210858961246629,0.0010183927371096803,0,0,1,2964,2734
rotor,face,target,29,0.30751945670701542,-0.066014631089245768,-0.025374267762977354,0.0010197543531758255,0,0,1,2964,2734
rotor,face,target,30,0.3048706757180959,-0.050675404110571698,-0.038764906089937767,0.0010211193022131978,0,0,1,2964,2734
rotor,face,target,31,0.30101769909018472,-0.035026363454795373,-0.051646009111529168,0.0010224874994843609,0,0,1,2964,2734
rotor,face,target,32,0.2973205554424041,-0.019616179287356594,-0.065078384642767162,0.0010238588616734606,0,0,1,2964,2734
rotor,face,target,33,0.29313630155219972,-0.0042090276324406872,-0.078195813249180901,0.0010252333068624341,0,0,1,2964,2734
rotor,face,target,34,0.28864361402037808,0.010809666073556379,-0.0915084618307489,0.0010266107545076218,0,0,1,2964,2734
rotor,face,target,35,0.28348952968064278,0.025323750158753988,-0.10474298298853313,0.001027991125416785,0,0,1,2964,2734
rotor,face,target,36,0.2784054531859752,0.040409518378515585,-0.11808631820482418,0.0010293743417265171,0,0,1,2964,2734
rotor,face,target,37,0.272351045087877,0.055282410136539006,-0.13147350705606442,0.001030760326880039,0,0,1,2964,2734
rotor,face,target,38,0.26632878383622138,0.069762758600639074,-0.14492614091157208,0.0010321490056053803,0,0,1,2964,2734
rotor,face,target,39,0.26018376157568301,0.084189002657286238,-0.15830521896729977,0.0010335403038939336,0,0,1,2964,2734
rotor,face,target,40,0.25334612349039265,0.098537120918164689,-0.17143496830173888,0.0010349341489793767,0,0,1,2964,2734
rotor,face,target,41,0.24636545759848349,0.11273458915679768,-0.18513463117645301,0.0010363304693169584,0,0,1,2964,2734
rotor,face,target,42,0.23871786829019026,0.12636372969507725,-0.19871042167991249,0.0010377291945631389,0,0,1,2964,2734
rotor,face,target,43,0.23093404718079036,0.14049801994934619,-0.21196059291465019,0.0010391302555555833,0,0,1,2964,2734
rotor,face,target,44,0.22282429054988739,0.15376133648774193,-0.22559773560438856,0.0010405335842934957,0,0,1,2964,2734
rotor,face,target,45,0.21418631995563331,0.16711275437067563,-0.23904369721127949,0.0010419391139182925,0,0,1,2964,2734
rotor,face,target,46,0.20565882969533078,0.18005231401902932,-0.25238561644228241,0.0010433467786946124,0,0,1,2964,2734
rotor,face,target,47,0.19630050021592105,0.19282953477334974,-0.26585297804660968,0.0010447565139916459,0,0,1,2964,2734
rotor,face,target,48,0.18748587825244023,0.20553877883819105,-0.27957253727007014,0.0010461682562647912,0,0,1,2964,2734
rotor,face,target,49,0.17746683672810448,0.21811968977056484,-0.29346560468334104,0.0010476120421543888,0,0,1,2964,2734
rotor,face,target,50,0.16774491027883798,0.23056250034508885,-0.30679939470337558,0.001049027651406566,0,0,1,2964,2734
rotor,face,target,51,0.1572139127007981,0.24188907058090425,-0.32072169207799561,0.0010504450820656864,0,0,1,2964,2734
rotor,face,target,52,0.14626915789240424,0.25394264524960075,-0.33429242910305845,0.0010518642747761862,0,0,1,2964,2734
rotor,face,target,53,0.13576490932311103,0.26534263571046601,-0.34808159656454052,0.0010532851711812551,0,0,1,2964,2734
rotor,face,target,54,0.12487301690189589,0.27623661054749071,-0.36168502966083338,0.0010547077139063067,0,0,1,2964,2734
rotor,face,target,55,0.11326552496538689,0.28719263246458393,-0.37544613423257545,0.0010561318465427403,0,0,1,2964,2734
rotor,face,target,56,0.10181667745718226,0.29731822269554353,-0.38911222442375504,0.0010575575136319755,0,0,1,2964,2734
rotor,face,target,57,0.089669178481948109,0.3074583636423478,-0.40306359793024882,0.001058984660649763,0,0,1,2964,2734
rotor,face,target,58,0.077811973430497616,0.31736179602117343,-0.41699822347275273,0.0010604132339907689,0,0,1,2964,2734
rotor,face,target,59,0.065323671118762583,0.32699254017221424,-0.43044393109599355,0.0010618431809534163,0,0,1,2964,2734
rotor,face,target,60,0.052702226841073063,0.33640266544254338,-0.44415829701816278,0.0010632744497249933,0,0,1,2964,2734
rotor,face,target,61,0.040045128571126298,0.34574535653645011,-0.45818924683791096,0.0010647069893670116,0,0,1,2964,2734
rotor,face,target,62,0.027043709943880501,0.35433467108366568,-0.47154639742085891,0.001066140749800821,0,0,1,2964,2734
rotor,face,target,63,0.013911206941453536,0.36256508293919421,-0.4858645157976369,0.0010675756817934651,0,0,1,2964,2734
rotor,face,target,64,0.00023670789640295453,0.37078180355721102,-0.4999055608685552,0.0010690117369437841,0,0,1,2964,2734
rotor,face,source,1,0.46903622552006663,-0.1701119819121244,1.4985958329907234,0.00093328853341206235,0,0,1,2964,2734
rotor,face,source,2,0.46542876933634414,-0.14595799138036547,1.4870781955060011,0.00093217034243297538,0,0,1,2964,2734
rotor,face,source,3,0.46088838147065037,-0.12207938726696899,1.4752752027019085,0.00093111947862863076,0,0,1,2964,2734
rotor,face,source,4,0.45603091607781909,-0.098330602970151837,1.4639627952636047,0.00093013458615542628,0,0,1,2964,2734
rotor,face,source,5,0.45016528094053498,-0.074830827908456854,1.4519269896271396,0.00092919902470079579,0,0,1,2964,2734
rotor,face,source,6,0.44385860996904736,-0.051362749140796637,1.4400400209535675,0.00092834317925040552,0,0,1,2964,2734
rotor,face,source,7,0.43690929006342394,-0.028382031067437197,1.4281671591933787,0.00092754935208104526,0,0,1,2964,2734
rotor,face,source,8,0.42919800375191208,-0.0059450558001516995,1.4162657747464635,0.00092681627793281761,0,0,1,2964,2734
rotor,face,source,9,0.42128656907162032,0.016051144218654834,1.4043027331236573,0.00092614271349244516,0,0,1,2964,2734
rotor,face,source,10,0.41192877353947921,0.038436444034435802,1.3920062588963091,0.0009255274371474737,0,0,1,2964,2734
rotor,face,source,11,0.40275397809533064,0.059763871495938758,1.380229459528401,0.00092496924873788401,0,0,1,2964,2734
rotor,face,source,12,0.39269073515443775,0.080949619702626485,1.3678310325489633,0.00092445879274045788,0,0,1,2964,2734
rotor,face,source,13,0.38163887976022437,0.10190308550741722,1.3558910929736783,0.0009240121982247671,0,0,1,2964,2734
rotor,face,source,14,0.37065855407015658,0.12258836919819238,1.343666420767569,0.00092361919793123562,0,0,1,2964,2734
rotor,face,source,15,0.35918854043258452,0.14229665767447042,1.3314660370603733,0.00092327867533048297,0,0,1,2964,2734
rotor,face,source,16,0.34725785901779371,0.16194389728426906,1.3191718616616939,0.00092298953406680145,0,0,1,2964,2734
rotor,face,source,17,0.33426649450016566,0.1812946365983672,1.3066221357943206,0.00092275069769812991,0,0,1,2964,2734
rotor,face,source,18,0.32089559445497606,0.20030712720887323,1.2938680540326359,0.00092255826639910587,0,0,1,2964,2734
rotor,face,source,19,0.30728589320796562,0.21836881228542371,1.2812239000094152,0.00092241771107630301,0,0,1,2964,2734
rotor,face,source,20,0.29309139557078545,0.23621217759304436,1.2688638945856354,0.00092232433079597262,0,0,1,2964,2734
rotor,face,source,21,0.27847634212339223,0.25367758624917247,1.2565860886862197,0.00092227712647101291,0,0,1,2964,2734
rotor,face,source,22,0.26351093701700545,0.27030467175928674,1.243708398885623,0.0009222751176082612,0,0,1,2964,2734
rotor,face,source,23,0.24780939389173273,0.28676795594930571,1.2309362254532843,0.00092231734204379268,0,0,1,2964,2734
rotor,face,source,24,0.23199783043355549,0.30263135335613445,1.2180900197719993,0.00092240285567811084,0,0,1,2964,2734
rotor,face,source,25,0.21528208127180459,0.31816018056411721,1.2052333260311343,0.00092253330308931321,0,0,1,2964,2734
rotor,face,source,26,0.19877943004300924,0.33280408190099564,1.1922749821537693,0.00092270334061632939,0,0,1,2964,2734
rotor,face,source,27,0.18162370827751317,0.34706078919325289,1.1793662543194117,0.00092291392556338757,0,0,1,2964,2734
rotor,face,source,28,0.16413614061274995,0.36099788183050219,1.1665571767159548,0.00092316418373537574,0,0,1,2964,2734
rotor,face,source,29,0.14622388736777481,0.37385324397036879,1.1532170285580321,0.00092345325767742873,0,0,1,2964,2734
rotor,face,source,30,0.12827288950850679,0.38649789815180924,1.1402068985916571,0.00092378030641306378,0,0,1,2964,2734
rotor,face,source,31,0.10986049937805031,0.39882070431719718,1.1270507975594128,0.00092414450518336737,0,0,1,2964,2734
rotor,face,source,32,0.090909560615920704,0.41079289935252739,1.1140263461801894,0.00092455226503837496,0,0,1,2964,2734
rotor,face,source,33,0.071949947420389293,0.42111503997328192,1.1008989781540279,0.00092498895921011191,0,0,1,2964,2734
rotor,face,source,34,0.052519389134124239,0.43165550252961893,1.0877015369842624,0.00092546041058185564,0,0,1,2964,2734
rotor,face,source,35,0.033122140058984506,0.44095496938176559,1.074177361502322,0.00092596585694246073,0,0,1,2964,2734
rotor,face,source,36,0.013402074285651544,0.45031663990535709,1.0608965380431812,0.00092650455101058609,0,0,1,2964,2734
rotor,face,source,37,-0.0062345710937172782,0.45873854521218238,1.0472652252097419,0.00092707576018307401,0,0,1,2964,2734
rotor,face,source,38,-0.026758932835619476,0.46659924214841197,1.0337445213815641,0.00092768943760822395,0,0,1,2964,2734
rotor,face,source,39,-0.047240984396869301,0.47423482412048923,1.020272886953002,0.00092832406664045011,0,0,1,2964,2734
rotor,face,source,40,-0.067613294122956802,0.48059514499955736,1.0068038702619475,0.00092898908677347314,0,0,1,2964,2734
rotor,face,source,41,-0.088552146548733113,0.48666619686269019,0.99319224284000995,0.00092968382187506231,0,0,1,2964,2734
rotor,face,source,42,-0.10884830743485008,0.49215005319488725,0.97966203109709227,0.00093040760926012007,0,0,1,2964,2734
rotor,face,source,43,-0.12959155258586375,0.49677488519428881,0.96588393110587845,0.00093115979945222402,0,0,1,2964,2734
rotor,face,source,44,-0.41943068532749184,0.49895690398689485,0.77150744482545974,0.00094422497219615758,0,0,1,2964,2734
rotor,face,source,45,-0.44021383452941532,0.49463475431256576,0.75658304118751118,0.00094535074522312623,0,0,1,2964,2734
rotor,face,source,46,-0.46013986461577261,0.48982474967160083,0.74253026292142721,0.00094647727282341136,0,0,1,2964,2734
rotor,face,source,47,-0.48038404321866235,0.4840966854462696,0.72804460530851856,0.00094762300405890792,0,0,1,2964,2734
rotor,face,source,48,-0.49981236747730229,0.47801509118596108,0.7134447567599409,0.00094878748871344383,0,0,1,2964,2734
rotor,edge,target,1,0.46903622552006663,-0.1701119819121244,0.49859583299072341,0.00093328853341206235,-1,0,-1,2734,2669
rotor,edge,target,2,0.466620053783946,-0.1521467619299024,0.49049132186496536,0.00093245302017630775,-1,0,-1,2734,2669
rotor,edge,target,3,0.46320515690320629,-0.13371323588868123,0.48136633952168495,0.00093163657991372838,-1,0,-1,2734,2669
rotor,edge,target,4,0.45973421005583415,-0.11635352743758265,0.47292896579078558,0.00093087575666077414,-1,0,-1,2734,2669
rotor,edge,target,5,0.45603091607781909,-0.098330602970151837,0.46396279526360473,0.00093013458615542628,-1,0,-1,2734,2669
rotor,edge,target,6,0.45183609178630668,-0.080799407459053896,0.45486429410073725,0.0009294462053730428,-1,0,-1,2734,2669
rotor,edge,target,7,0.44726024630897054,-0.063776012162069406,0.44644086382243842,0.00092879281707060877,-1,0,-1,2734,2669
