case,class,set,index,x,y,z,sigma_h,offset_x,offset_y,offset_z,target_cell_count,source_cell_count
rotor,self,target,1,0.25089711477520105,-0.41083507978268319,0.49946321349842293,0.0011687300698996141,0,0,0,3035,3035
rotor,self,target,2,0.2564663461155563,-0.39601713852384179,0.48413753095443468,0.0011701925792065391,0,0,0,3035,3035
rotor,self,target,3,0.26187325505240366,-0.38137647103172956,0.46907075686940658,0.0011716542183588087,0,0,0,3035,3035
rotor,self,target,4,0.2671318583682174,-0.3666007539803724,0.45350894614734472,0.0011731149730247672,0,0,0,3035,3035
rotor,self,target,5,0.27190215119137751,-0.35110183154255292,0.43771272076526913,0.0011746052331657198,0,0,0,3035,3035
rotor,self,target,6,0.27632464874428297,-0.33624598369415715,0.42237062823365079,0.0011760641578189507,0,0,0,3035,3035
rotor,self,target,7,0.28007696536820159,-0.32074947943673759,0.40675222813450773,0.0011775221563603984,0,0,0,3035,3035
rotor,self,target,8,0.28355332370115782,-0.30543508998640778,0.39154378715743121,0.001178979215548029,0,0,0,3035,3035
rotor,self,target,9,0.28678733827488756,-0.29044302380559905,0.37607118730261391,0.0011804353223999716,0,0,0,3035,3035
rotor,self,target,10,0.28934522929590045,-0.27470431166233045,0.36061634098831519,0.0011818904641903458,0,0,0,3035,3035
rotor,self,target,11,0.2920308323405445,-0.25886301141744728,0.34445555073313727,0.0011833749130509903,0,0,0,3035,3035
rotor,self,target,12,0.29430895264022539,-0.24306943538037729,0.32921600595899037,0.0011848280667957959,0,0,0,3035,3035
rotor,self,target,13,0.29561855919710034,-0.22759649826754558,0.31344640225474052,0.0011862802185495492,0,0,0,3035,3035
rotor,self,target,14,0.29699308583739992,-0.21186138028703905,0.29783514048591542,0.0011877313565749035,0,0,0,3035,3035
rotor,self,target,15,0.29797329727326627,-0.19624653748465448,0.28247309778140561,0.0011891814693705555,0,0,0,3035,3035
rotor,self,target,16,0.29825341182884113,-0.18050518169168051,0.26685408643517405,0.0011906305456674689,0,0,0,3035,3035
rotor,self,target,17,0.29797474007084013,-0.16437584184848042,0.25104177613496148,0.0011921087304738785,0,0,0,3035,3035
