case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,self,1.000,u,62,5.595674292e-03,4.641610906e+00
rotor,self,1.000,u,63,4.656206040e-03,1.079353508e+00
rotor,self,1.000,u,64,3.588447386e-03,1.031914325e+00
rotor,self,1.000,u,65,3.199798913e-03,5.649085754e-01
rotor,self,1.000,u,66,2.820625627e-03,5.254765186e-01
rotor,self,1.000,u,67,2.534675284e-03,4.303860034e-01
rotor,self,1.000,u,68,2.347630641e-03,3.323579111e-01
rotor,self,1.000,u,69,2.201863971e-03,2.832249985e-01
rotor,self,1.000,u,70,2.069951019e-03,2.610783300e-01
rotor,self,1.000,u,71,1.950810331e-03,2.407160726e-01
rotor,self,1.000,u,72,1.848590241e-03,2.167437394e-01
rotor,self,1.000,u,73,1.758623768e-03,1.981286087e-01
rotor,self,1.000,u,74,1.672091731e-03,1.894967235e-01
rotor,self,1.000,u,75,1.592178759e-03,1.776325700e-01
rotor,self,1.000,u,76,1.524396731e-03,1.598516027e-01
rotor,self,1.000,u,77,1.462431721e-03,1.496233212e-01
rotor,self,1.000,u,78,1.405980448e-03,1.399518161e-01
rotor,self,1.000,u,79,1.350812294e-03,1.356335632e-01
rotor,self,1.000,u,80,1.301016123e-03,1.263838490e-01
rotor,self,1.000,u,81,1.251618826e-03,1.234999652e-01
rotor,self,1.000,u,82,1.201107617e-03,1.224163220e-01
rotor,self,1.000,u,83,1.155060641e-03,1.145577827e-01
rotor,self,1.000,u,84,1.115189610e-03,1.046372904e-01
rotor,self,1.000,u,85,1.076487483e-03,1.012923372e-01
rotor,self,1.000,u,86,1.044096853e-03,9.115035385e-02
rotor,self,1.000,u,87,1.013208620e-03,8.767319087e-02
rotor,self,1.000,u,88,9.862818928e-04,8.069977967e-02
rotor,self,1.000,u,89,9.608800161e-04,7.734902135e-02
rotor,self,1.000,u,90,9.357230573e-04,7.596931033e-02
rotor,self,1.000,u,91,9.116444462e-04,7.335221874e-02
rotor,self,1.000,u,92,8.884655195e-04,7.104230900e-02
rotor,self,1.000,u,93,8.671615353e-04,6.726163771e-02
rotor,self,1.000,u,94,8.464394841e-04,6.553783882e-02
rotor,self,1.000,u,95,8.257868308e-04,6.463330190e-02
rotor,self,1.000,u,96,8.051459783e-04,6.381205626e-02
rotor,self,1.000,u,97,7.848063471e-04,6.254383063e-02
rotor,self,1.000,u,98,7.653525425e-04,6.039643036e-02
rotor,self,1.000,u,99,7.465066094e-04,5.870639034e-02
rotor,self,1.000,u,100,7.278652434e-04,5.765849100e-02
rotor,self,1.000,u,101,7.093565939e-04,5.672443225e-02
rotor,self,1.000,u,102,6.909250836e-04,5.587390865e-02
rotor,self,1.000,u,103,6.729509870e-04,5.445426239e-02
rotor,self,1.000,u,104,6.549297951e-04,5.380122795e-02
rotor,self,1.000,u,105,6.368341561e-04,5.317401223e-02
rotor,self,1.000,u,106,6.188758630e-04,5.222736275e-02
rotor,self,1.000,u,107,6.012059682e-04,5.106605992e-02
rotor,self,1.000,u,108,5.839908999e-04,4.967873319e-02
