case,class,sigma_bin,output,rank,svd_relative_rms,singular_value
rotor,face,1.000,u,35,6.125802753e-03,1.305792176e+00
rotor,face,1.000,u,36,5.377114525e-03,1.020646591e+00
rotor,face,1.000,u,37,4.649236794e-03,9.395536076e-01
rotor,face,1.000,u,38,3.873716670e-03,8.941543293e-01
rotor,face,1.000,u,39,3.308086206e-03,7.009774146e-01
rotor,face,1.000,u,40,2.717201984e-03,6.562374300e-01
rotor,face,1.000,u,41,2.123217113e-03,5.897257125e-01
rotor,face,1.000,u,42,1.787264840e-03,3.986344466e-01
rotor,face,1.000,u,43,1.549012345e-03,3.100778043e-01
rotor,face,1.000,u,44,1.316175788e-03,2.840684790e-01
rotor,face,1.000,u,45,1.133326428e-03,2.327590248e-01
rotor,face,1.000,u,46,9.683791884e-04,2.047761426e-01
rotor,face,1.000,u,47,7.870659194e-04,1.962136922e-01
rotor,face,1.000,u,48,6.309796350e-04,1.636245072e-01
rotor,face,1.000,u,49,5.297635865e-04,1.192102658e-01
rotor,face,1.000,u,50,4.310335923e-04,1.071177161e-01
rotor,face,1.000,u,51,3.675372924e-04,7.831624106e-02
rotor,face,1.000,u,52,3.150619792e-04,6.582355275e-02
rotor,face,1.000,u,53,2.603081117e-04,6.173080359e-02
rotor,face,1.000,u,54,2.087533754e-04,5.408415664e-02
rotor,face,1.000,u,55,1.562234728e-04,4.815671405e-02
rotor,face,1.000,u,56,1.273761007e-04,3.145768824e-02
rotor,face,1.000,u,57,9.774725761e-05,2.840458936e-02
rotor,face,1.000,u,58,6.569609490e-05,2.517250376e-02
rotor,face,1.000,u,59,4.598377756e-05,1.631838536e-02
rotor,face,1.000,u,60,2.999923335e-05,1.212074368e-02
rotor,face,1.000,u,61,2.078058804e-05,7.524887760e-03
rotor,face,1.000,u,62,1.532189397e-05,4.882404944e-03
rotor,face,1.000,u,63,8.619501497e-06,4.405655625e-03
rotor,face,1.000,u,64,4.650500107e-06,2.524044470e-03
rotor,face,1.000,u,65,2.817524971e-06,1.286773356e-03
rotor,face,1.000,u,66,1.733046252e-06,7.726171859e-04
rotor,face,1.000,u,67,1.186092127e-06,4.394643815e-04
rotor,face,1.000,u,68,7.759236050e-07,3.119990671e-04
rotor,face,1.000,u,69,4.574143212e-07,2.179831781e-04
rotor,face,1.000,u,70,3.579519524e-07,9.904365527e-05
rotor,face,1.000,u,71,2.859773725e-07,7.487374573e-05
rotor,face,1.000,u,72,2.222442449e-07,6.259362040e-05
rotor,face,1.000,u,73,1.795446709e-07,4.555453692e-05
rotor,face,1.000,u,74,1.433309295e-07,3.760756373e-05
rotor,face,1.000,u,75,1.066825647e-07,3.329123567e-05
rotor,face,1.000,u,76,8.203836070e-08,2.371855980e-05
rotor,face,1.000,u,77,6.728110944e-08,1.632607717e-05
rotor,face,1.000,u,78,5.391694090e-08,1.399715197e-05
rotor,face,1.000,u,79,4.314421075e-08,1.124621805e-05
rotor,face,1.000,u,80,3.528621402e-08,8.634140160e-06
rotor,face,1.000,u,81,2.707731621e-08,7.869165141e-06
rotor,face,1.000,u,82,2.299504801e-08,4.972453210e-06
rotor,face,1.000,u,83,1.874619291e-08,4.631690459e-06
rotor,face,1.000,u,84,1.539616531e-08,3.719562312e-06
rotor,face,1.000,u,85,1.251488697e-08,3.118901086e-06
rotor,face,1.000,u,86,1.024973432e-08,2.497467476e-06
rotor,face,1.000,u,87,7.824912449e-09,2.302479215e-06
rotor,face,1.000,u,88,6.258478157e-09,1.633543081e-06
rotor,face,1.000,u,89,5.081109368e-09,1.270795819e-06
rotor,face,1.000,u,90,4.155417657e-09,1.016970673e-06
rotor,face,1.000,u,91,3.074168127e-09,9.723901757e-07
rotor,face,1.000,u,92,2.566794058e-09,5.883850336e-07
rotor,face,1.000,u,93,2.085612295e-09,5.203724414e-07
rotor,face,1.000,u,94,1.706693525e-09,4.169131798e-07
rotor,face,1.000,u,95,1.360821701e-09,3.582381591e-07
rotor,face,1.000,u,96,1.085841156e-09,2.852718629e-07
rotor,face,1.000,u,97,8.867376907e-10,2.179603436e-07
rotor,face,1.000,u,98,6.854483479e-10,1.956515297e-07
rotor,face,1.000,u,99,5.264577920e-10,1.526655497e-07
rotor,face,1.000,u,100,4.180510277e-10,1.112889613e-07
rotor,face,1.000,u,101,3.250596473e-10,9.142584571e-08
rotor,face,1.000,u,102,2.184345157e-10,8.372364382e-08
rotor,face,1.000,u,103,1.831203300e-10,4.141597811e-08
rotor,face,1.000,u,104,1.450829342e-10,3.885954626e-08
rotor,face,1.000,u,105,1.084178459e-10,3.353025888e-08
rotor,face,1.000,u,106,8.876056857e-11,2.165270986e-08
rotor,face,1.000,u,107,6.791543992e-11,1.987579132e-08
rotor,face,1.000,u,108,5.617754455e-11,1.327362735e-08
rotor,face,1.000,u,109,4.505337534e-11,1.167108612e-08
rotor,face,1.000,u,110,3.495637683e-11,9.885269136e-09
rotor,face,1.000,u,111,2.652927286e-11,7.916750319e-09
rotor,face,1.000,u,112,1.961028253e-11,6.214110242e-09
rotor,face,1.000,u,113,1.516230778e-11,4.325343143e-09
rotor,face,1.000,u,114,1.055043093e-11,3.787336632e-09
rotor,face,1.000,u,115,8.805952460e-12,2.020997630e-09
rotor,face,1.000,u,116,7.085422763e-12,1.818581282e-09
rotor,face,1.000,u,117,5.639444882e-12,1.491860965e-09
rotor,face,1.000,u,118,4.206942011e-12,1.306192205e-09
rotor,face,1.000,u,119,3.457785781e-12,8.334037586e-10
rotor,face,1.000,u,120,2.668210193e-12,7.649025323e-10
rotor,face,1.000,u,121,2.174950632e-12,5.375552291e-10
rotor,face,1.000,u,122,1.637325969e-12,4.979121024e-10
rotor,face,1.000,u,123,1.338351448e-12,3.280430963e-10
rotor,face,1.000,u,124,1.058614496e-12,2.847913149e-10
rotor,face,1.000,u,125,8.727403935e-13,2.083825617e-10
rotor,face,1.000,u,126,6.981612983e-13,1.821342040e-10
rotor,face,1.000,u,127,5.788805621e-13,1.357402395e-10
rotor,face,1.000,u,128,4.773109169e-13,1.139132352e-10
rotor,face,1.000,u,129,3.689641577e-13,1.053136407e-10
rotor,face,1.000,u,130,3.062373490e-13,7.157546643e-11
rotor,face,1.000,u,131,2.492508601e-13,6.187913888e-11
rotor,face,1.000,u,132,1.919963989e-13,5.527981304e-11
rotor,face,1.000,u,133,1.533001042e-13,4.020237129e-11
rotor,face,1.000,u,134,1.099822060e-13,3.714201125e-11
rotor,face,1.000,u,135,7.248982728e-14,2.876673299e-11
rotor,face,1.000,u,136,4.531695964e-14,1.967767490e-11
rotor,face,1.000,u,137,3.447060386e-14,1.023129045e-11
rotor,face,1.000,u,138,2.584316393e-14,7.933596178e-12
rotor,face,1.000,u,139,1.626314860e-14,6.985179904e-12
rotor,face,1.000,u,140,1.229779665e-14,3.701246820e-12
rotor,face,1.000,u,141,7.392507988e-15,3.418057712e-12
rotor,face,1.000,u,142,4.182484687e-15,2.119997476e-12
rotor,face,1.000,u,143,2.331855406e-15,1.207579739e-12
rotor,face,1.000,u,144,0.000000000e+00,8.110030850e-13
rotor,face,1.000,uj,1,8.834423128e-01,3.259098654e+02
rotor,face,1.000,uj,2,7.617832705e-01,3.111972915e+02
rotor,face,1.000,uj,3,6.665400016e-01,2.565554751e+02
rotor,face,1.000,uj,4,5.743938318e-01,2.352143649e+02
rotor,face,1.000,uj,5,4.749251651e-01,2.247231433e+02
rotor,face,1.000,uj,6,3.893025540e-01,1.892165913e+02
rotor,face,1.000,uj,7,3.312023754e-01,1.423174312e+02
rotor,face,1.000,uj,8,2.793108564e-01,1.238074040e+02
rotor,face,1.000,uj,9,2.462579894e-01,9.167908271e+01
rotor,face,1.000,uj,10,2.135259245e-01,8.533250076e+01
rotor,face,1.000,uj,11,1.837862902e-01,7.561094310e+01
rotor,face,1.000,uj,12,1.603448038e-01,6.247487780e+01
rotor,face,1.000,uj,13,1.448910748e-01,4.777330877e+01
rotor,face,1.000,uj,14,1.288596194e-01,4.608026577e+01
rotor,face,1.000,uj,15,1.137942138e-01,4.205666935e+01
rotor,face,1.000,uj,16,1.027419135e-01,3.402846867e+01
rotor,face,1.000,uj,17,9.122855027e-02,3.287152031e+01
rotor,face,1.000,uj,18,8.159974912e-02,2.837555874e+01
rotor,face,1.000,uj,19,7.322015622e-02,2.505392330e+01
rotor,face,1.000,uj,20,6.485501919e-02,2.363987722e+01
rotor,face,1.000,uj,21,5.774504829e-02,2.053667597e+01
rotor,face,1.000,uj,22,5.031124945e-02,1.971429854e+01
rotor,face,1.000,uj,23,4.314103336e-02,1.800578102e+01
rotor,face,1.000,uj,24,3.586986419e-02,1.667233803e+01
rotor,face,1.000,uj,25,3.192915627e-02,1.136971865e+01
rotor,face,1.000,uj,26,2.793496506e-02,1.075594608e+01
rotor,face,1.000,uj,27,2.489480311e-02,8.815330450e+00
rotor,face,1.000,uj,28,2.211397422e-02,7.952936158e+00
rotor,face,1.000,uj,29,1.950076364e-02,7.253734741e+00
rotor,face,1.000,uj,30,1.693205579e-02,6.729063591e+00
rotor,face,1.000,uj,31,1.487932428e-02,5.620930476e+00
rotor,face,1.000,uj,32,1.256649119e-02,5.541930825e+00
rotor,face,1.000,uj,33,1.083021286e-02,4.433410013e+00
rotor,face,1.000,uj,34,9.146588885e-03,4.034004849e+00
rotor,face,1.000,uj,35,7.875936703e-03,3.235014457e+00
rotor,face,1.000,uj,36,6.693201551e-03,2.887430697e+00
rotor,face,1.000,uj,37,5.930525861e-03,2.158314064e+00
rotor,face,1.000,uj,38,5.207852519e-03,1.973480711e+00
rotor,face,1.000,uj,39,4.417419694e-03,1.918624026e+00
rotor,face,1.000,uj,40,3.632901414e-03,1.748070808e+00
rotor,face,1.000,uj,41,2.948558300e-03,1.476212740e+00
rotor,face,1.000,uj,42,2.498231782e-03,1.089393964e+00
rotor,face,1.000,uj,43,2.173355667e-03,8.569234306e-01
rotor,face,1.000,uj,44,1.859186495e-03,7.829285445e-01
rotor,face,1.000,uj,45,1.614846474e-03,6.408629376e-01
rotor,face,1.000,uj,46,1.420751137e-03,5.339253447e-01
rotor,face,1.000,uj,47,1.197065645e-03,5.322791037e-01
rotor,face,1.000,uj,48,1.031895362e-03,4.220540538e-01
rotor,face,1.000,uj,49,8.768769527e-04,3.783725194e-01
rotor,face,1.000,uj,50,7.344804975e-04,3.331934225e-01
rotor,face,1.000,uj,51,6.351187839e-04,2.566003125e-01
rotor,face,1.000,uj,52,5.392352022e-04,2.334116465e-01
rotor,face,1.000,uj,53,4.498433024e-04,2.068308658e-01
rotor,face,1.000,uj,54,3.491671853e-04,1.972833134e-01
rotor,face,1.000,uj,55,2.771751203e-04,1.477063185e-01
rotor,face,1.000,uj,56,2.212750970e-04,1.161095051e-01
rotor,face,1.000,uj,57,1.720116543e-04,9.682063401e-02
rotor,face,1.000,uj,58,1.213015242e-04,8.483284568e-02
rotor,face,1.000,uj,59,8.083835382e-05,6.290813904e-02
rotor,face,1.000,uj,60,5.577955246e-05,4.069910362e-02
rotor,face,1.000,uj,61,3.994370181e-05,2.708197362e-02
rotor,face,1.000,uj,62,3.023348599e-05,1.815780327e-02
rotor,face,1.000,uj,63,1.724247798e-05,1.727464796e-02
rotor,face,1.000,uj,64,1.015941725e-05,9.690622335e-03
rotor,face,1.000,uj,65,6.509904347e-06,5.425344232e-03
rotor,face,1.000,uj,66,3.517353737e-06,3.810331256e-03
rotor,face,1.000,uj,67,2.641891972e-06,1.615225794e-03
rotor,face,1.000,uj,68,1.726775286e-06,1.390796553e-03
rotor,face,1.000,uj,69,1.064852462e-06,9.455474249e-04
rotor,face,1.000,uj,70,8.761955157e-07,4.209256781e-04
rotor,face,1.000,uj,71,7.006315461e-07,3.659827475e-04
rotor,face,1.000,uj,72,5.203567306e-07,3.263428948e-04
rotor,face,1.000,uj,73,3.837773494e-07,2.444330208e-04
rotor,face,1.000,uj,74,3.057660557e-07,1.613282524e-04
rotor,face,1.000,uj,75,2.316599129e-07,1.388152927e-04
rotor,face,1.000,uj,76,1.878305205e-07,9.431801251e-05
rotor,face,1.000,uj,77,1.608452429e-07,6.747225262e-05
rotor,face,1.000,uj,78,1.358577263e-07,5.989262930e-05
rotor,face,1.000,uj,79,1.085507397e-07,5.682584417e-05
rotor,face,1.000,uj,80,9.005978154e-08,4.215331346e-05
rotor,face,1.000,uj,81,7.083528496e-08,3.868563559e-05
rotor,face,1.000,uj,82,5.810353815e-08,2.818296832e-05
rotor,face,1.000,uj,83,4.982708358e-08,2.078956451e-05
rotor,face,1.000,uj,84,4.264006516e-08,1.793159811e-05
rotor,face,1.000,uj,85,3.632829468e-08,1.552934157e-05
rotor,face,1.000,uj,86,2.901097596e-08,1.520946760e-05
rotor,face,1.000,uj,87,2.304667302e-08,1.225668450e-05
rotor,face,1.000,uj,88,1.923517477e-08,8.830305452e-06
rotor,face,1.000,uj,89,1.579885761e-08,7.632073930e-06
rotor,face,1.000,uj,90,1.237805942e-08,6.829066595e-06
rotor,face,1.000,uj,91,8.648768900e-09,6.159576846e-06
rotor,face,1.000,uj,92,7.291277962e-09,3.235669471e-06
rotor,face,1.000,uj,93,6.168271761e-09,2.704314692e-06
rotor,face,1.000,uj,94,5.070068510e-09,2.443674381e-06
rotor,face,1.000,uj,95,4.110737716e-09,2.064312717e-06
rotor,face,1.000,uj,96,3.248334062e-09,1.752337271e-06
rotor,face,1.000,uj,97,2.704844816e-09,1.251182981e-06
rotor,face,1.000,uj,98,2.234633603e-09,1.060078244e-06
rotor,face,1.000,uj,99,1.804611931e-09,9.167400044e-07
rotor,face,1.000,uj,100,1.455254522e-09,7.423107813e-07
rotor,face,1.000,uj,101,1.051963818e-09,6.994490242e-07
rotor,face,1.000,uj,102,7.517255369e-10,5.118760240e-07
rotor,face,1.000,uj,103,6.221592155e-10,2.934756687e-07
rotor,face,1.000,uj,104,5.148875784e-10,2.429307596e-07
rotor,face,1.000,uj,105,4.140598811e-10,2.128807467e-07
rotor,face,1.000,uj,106,3.371092652e-10,1.672344728e-07
rotor,face,1.000,uj,107,2.782053061e-10,1.324255323e-07
rotor,face,1.000,uj,108,2.182628874e-10,1.199951607e-07
rotor,face,1.000,uj,109,1.770094361e-10,8.882377606e-08
rotor,face,1.000,uj,110,1.416863834e-10,7.380200878e-08
rotor,face,1.000,uj,111,1.009738666e-10,6.913758103e-08
rotor,face,1.000,uj,112,7.972008428e-11,4.310630581e-08
rotor,face,1.000,uj,113,6.479806656e-11,3.230173564e-08
rotor,face,1.000,uj,114,4.892936926e-11,2.954977282e-08
rotor,face,1.000,uj,115,3.968505719e-11,1.990858525e-08
rotor,face,1.000,uj,116,3.211025052e-11,1.622126398e-08
rotor,face,1.000,uj,117,2.504794833e-11,1.397536954e-08
rotor,face,1.000,uj,118,1.941769162e-11,1.100594294e-08
rotor,face,1.000,uj,119,1.522449727e-11,8.383513021e-09
rotor,face,1.000,uj,120,1.217779278e-11,6.355642795e-09
rotor,face,1.000,uj,121,9.712230963e-12,5.110130003e-09
rotor,face,1.000,uj,122,7.737628135e-12,4.083069049e-09
rotor,face,1.000,uj,123,6.571490628e-12,2.841398918e-09
rotor,face,1.000,uj,124,5.478750866e-12,2.524103350e-09
rotor,face,1.000,uj,125,4.537808759e-12,2.135460914e-09
rotor,face,1.000,uj,126,3.666625955e-12,1.859644216e-09
rotor,face,1.000,uj,127,2.787442736e-12,1.656942248e-09
rotor,face,1.000,uj,128,2.335998542e-12,1.057873656e-09
rotor,face,1.000,uj,129,1.832690118e-12,1.007552570e-09
rotor,face,1.000,uj,130,1.530628364e-12,7.011044949e-10
rotor,face,1.000,uj,131,1.203207004e-12,6.580979948e-10
rotor,face,1.000,uj,132,9.361175562e-13,5.257963757e-10
rotor,face,1.000,uj,133,7.391667066e-13,3.995526988e-10
rotor,face,1.000,uj,134,5.612681627e-13,3.345656767e-10
rotor,face,1.000,uj,135,4.250237532e-13,2.549840218e-10
rotor,face,1.000,uj,136,3.072946639e-13,2.042409186e-10
rotor,face,1.000,uj,137,2.324135308e-13,1.398352280e-10
rotor,face,1.000,uj,138,1.782784639e-13,1.037166170e-10
rotor,face,1.000,uj,139,1.245702248e-13,8.871237167e-11
rotor,face,1.000,uj,140,9.134703967e-14,5.891355131e-11
rotor,face,1.000,uj,141,6.795744411e-14,4.245963345e-11
rotor,face,1.000,uj,142,4.925095681e-14,3.257064634e-11
rotor,face,1.000,uj,143,2.657420466e-14,2.884350165e-11
rotor,face,1.000,uj,144,0.000000000e+00,1.848464695e-11
rotor,face,6.000,u,1,8.515364475e-01,1.823462960e+02
rotor,face,6.000,u,2,7.170481014e-01,1.597412880e+02
rotor,face,6.000,u,3,6.138784402e-01,1.288765597e+02
rotor,face,6.000,u,4,5.253866528e-01,1.104294142e+02
rotor,face,6.000,u,5,4.521076219e-01,9.308246136e+01
rotor,face,6.000,u,6,3.856834103e-01,8.204496744e+01
rotor,face,6.000,u,7,3.199024255e-01,7.492832111e+01
rotor,face,6.000,u,8,2.766850573e-01,5.584536269e+01
rotor,face,6.000,u,9,2.404860158e-01,4.758680393e+01
rotor,face,6.000,u,10,2.107839482e-01,4.026543955e+01
rotor,face,6.000,u,11,1.792415773e-01,3.857576712e+01
rotor,face,6.000,u,12,1.501514029e-01,3.404483403e+01
rotor,face,6.000,u,13,1.313623185e-01,2.529434760e+01
rotor,face,6.000,u,14,1.156078030e-01,2.169429903e+01
rotor,face,6.000,u,15,1.010766497e-01,1.951573029e+01
rotor,face,6.000,u,16,8.812522005e-02,1.721640444e+01
rotor,face,6.000,u,17,7.968020873e-02,1.309254305e+01
rotor,face,6.000,u,18,7.138255836e-02,1.231337689e+01
rotor,face,6.000,u,19,6.291487000e-02,1.172835682e+01
rotor,face,6.000,u,20,5.478447889e-02,1.075879514e+01
rotor,face,6.000,u,21,4.681067187e-02,9.898975263e+00
rotor,face,6.000,u,22,4.068948677e-02,8.049021094e+00
rotor,face,6.000,u,23,3.469939806e-02,7.390795330e+00
rotor,face,6.000,u,24,3.023070080e-02,5.924263786e+00
rotor,face,6.000,u,25,2.693055126e-02,4.776816573e+00
rotor,face,6.000,u,26,2.343063573e-02,4.617401606e+00
rotor,face,6.000,u,27,2.068430559e-02,3.828160286e+00
rotor,face,6.000,u,28,1.808615998e-02,3.490624564e+00
rotor,face,6.000,u,29,1.563172290e-02,3.163930901e+00
rotor,face,6.000,u,30,1.328008786e-02,2.867764578e+00
rotor,face,6.000,u,31,1.133886882e-02,2.404323950e+00
rotor,face,6.000,u,32,9.634272751e-03,2.079521307e+00
rotor,face,6.000,u,33,8.423304165e-03,1.626361423e+00
rotor,face,6.000,u,34,7.184831154e-03,1.529113327e+00
rotor,face,6.000,u,35,6.125802753e-03,1.305792176e+00
rotor,face,6.000,u,36,5.377114525e-03,1.020646591e+00
rotor,face,6.000,u,37,4.649236794e-03,9.395536076e-01
rotor,face,6.000,u,38,3.873716670e-03,8.941543293e-01
rotor,face,6.000,u,39,3.308086206e-03,7.009774146e-01
rotor,face,6.000,u,40,2.717201984e-03,6.562374300e-01
rotor,face,6.000,u,41,2.123217113e-03,5.897257125e-01
rotor,face,6.000,u,42,1.787264840e-03,3.986344466e-01
rotor,face,6.000,u,43,1.549012345e-03,3.100778043e-01
rotor,face,6.000,u,44,1.316175788e-03,2.840684790e-01
rotor,face,6.000,u,45,1.133326428e-03,2.327590248e-01
rotor,face,6.000,u,46,9.683791884e-04,2.047761426e-01
rotor,face,6.000,u,47,7.870659194e-04,1.962136922e-01
rotor,face,6.000,u,48,6.309796350e-04,1.636245072e-01
rotor,face,6.000,u,49,5.297635865e-04,1.192102658e-01
rotor,face,6.000,u,50,4.310335923e-04,1.071177161e-01
rotor,face,6.000,u,51,3.675372924e-04,7.831624106e-02
rotor,face,6.000,u,52,3.150619792e-04,6.582355275e-02
rotor,face,6.000,u,53,2.603081117e-04,6.173080359e-02
rotor,face,6.000,u,54,2.087533754e-04,5.408415664e-02
rotor,face,6.000,u,55,1.562234728e-04,4.815671405e-02
rotor,face,6.000,u,56,1.273761007e-04,3.145768824e-02
rotor,face,6.000,u,57,9.774725761e-05,2.840458936e-02
rotor,face,6.000,u,58,6.569609490e-05,2.517250376e-02
rotor,face,6.000,u,59,4.598377756e-05,1.631838536e-02
rotor,face,6.000,u,60,2.999923335e-05,1.212074368e-02
rotor,face,6.000,u,61,2.078058804e-05,7.524887760e-03
rotor,face,6.000,u,62,1.532189397e-05,4.882404944e-03
rotor,face,6.000,u,63,8.619501497e-06,4.405655625e-03
rotor,face,6.000,u,64,4.650500107e-06,2.524044470e-03
rotor,face,6.000,u,65,2.817524971e-06,1.286773356e-03
rotor,face,6.000,u,66,1.733046252e-06,7.726171859e-04
rotor,face,6.000,u,67,1.186092127e-06,4.394643815e-04
rotor,face,6.000,u,68,7.759236050e-07,3.119990671e-04
rotor,face,6.000,u,69,4.574143212e-07,2.179831781e-04
rotor,face,6.000,u,70,3.579519524e-07,9.904365527e-05
rotor,face,6.000,u,71,2.859773725e-07,7.487374573e-05
rotor,face,6.000,u,72,2.222442449e-07,6.259362040e-05
rotor,face,6.000,u,73,1.795446709e-07,4.555453692e-05
rotor,face,6.000,u,74,1.433309295e-07,3.760756373e-05
rotor,face,6.000,u,75,1.066825647e-07,3.329123567e-05
rotor,face,6.000,u,76,8.203836070e-08,2.371855980e-05
rotor,face,6.000,u,77,6.728110944e-08,1.632607717e-05
rotor,face,6.000,u,78,5.391694090e-08,1.399715197e-05
rotor,face,6.000,u,79,4.314421075e-08,1.124621805e-05
rotor,face,6.000,u,80,3.528621402e-08,8.634140160e-06
rotor,face,6.000,u,81,2.707731621e-08,7.869165141e-06
rotor,face,6.000,u,82,2.299504801e-08,4.972453210e-06
rotor,face,6.000,u,83,1.874619291e-08,4.631690459e-06
rotor,face,6.000,u,84,1.539616531e-08,3.719562312e-06
rotor,face,6.000,u,85,1.251488697e-08,3.118901086e-06
rotor,face,6.000,u,86,1.024973432e-08,2.497467476e-06
rotor,face,6.000,u,87,7.824912449e-09,2.302479215e-06
rotor,face,6.000,u,88,6.258478157e-09,1.633543081e-06
rotor,face,6.000,u,89,5.081109368e-09,1.270795819e-06
rotor,face,6.000,u,90,4.155417657e-09,1.016970673e-06
rotor,face,6.000,u,91,3.074168127e-09,9.723901757e-07
rotor,face,6.000,u,92,2.566794058e-09,5.883850336e-07
rotor,face,6.000,u,93,2.085612295e-09,5.203724414e-07
rotor,face,6.000,u,94,1.706693525e-09,4.169131798e-07
rotor,face,6.000,u,95,1.360821701e-09,3.582381591e-07
rotor,face,6.000,u,96,1.085841156e-09,2.852718629e-07
rotor,face,6.000,u,97,8.867376907e-10,2.179603436e-07
rotor,face,6.000,u,98,6.854483479e-10,1.956515297e-07
rotor,face,6.000,u,99,5.264577920e-10,1.526655497e-07
rotor,face,6.000,u,100,4.180510277e-10,1.112889613e-07
rotor,face,6.000,u,101,3.250596473e-10,9.142584571e-08
rotor,face,6.000,u,102,2.184345157e-10,8.372364382e-08
rotor,face,6.000,u,103,1.831203300e-10,4.141597811e-08
rotor,face,6.000,u,104,1.450829342e-10,3.885954626e-08
rotor,face,6.000,u,105,1.084178459e-10,3.353025888e-08
rotor,face,6.000,u,106,8.876056857e-11,2.165270986e-08
rotor,face,6.000,u,107,6.791543992e-11,1.987579132e-08
rotor,face,6.000,u,108,5.617754455e-11,1.327362735e-08
rotor,face,6.000,u,109,4.505337534e-11,1.167108612e-08
rotor,face,6.000,u,110,3.495637683e-11,9.885269136e-09
rotor,face,6.000,u,111,2.652927286e-11,7.916750319e-09
rotor,face,6.000,u,112,1.961028253e-11,6.214110242e-09
rotor,face,6.000,u,113,1.516230778e-11,4.325343143e-09
rotor,face,6.000,u,114,1.055043093e-11,3.787336632e-09
rotor,face,6.000,u,115,8.805952460e-12,2.020997630e-09
rotor,face,6.000,u,116,7.085422763e-12,1.818581282e-09
rotor,face,6.000,u,117,5.639444882e-12,1.491860965e-09
rotor,face,6.000,u,118,4.206942011e-12,1.306192205e-09
rotor,face,6.000,u,119,3.457785781e-12,8.334037586e-10
rotor,face,6.000,u,120,2.668210193e-12,7.649025323e-10
rotor,face,6.000,u,121,2.174950632e-12,5.375552291e-10
rotor,face,6.000,u,122,1.637325969e-12,4.979121024e-10
rotor,face,6.000,u,123,1.338351448e-12,3.280430963e-10
rotor,face,6.000,u,124,1.058614496e-12,2.847913149e-10
rotor,face,6.000,u,125,8.727403935e-13,2.083825617e-10
rotor,face,6.000,u,126,6.981612983e-13,1.821342040e-10
rotor,face,6.000,u,127,5.788805621e-13,1.357402395e-10
rotor,face,6.000,u,128,4.773109169e-13,1.139132352e-10
rotor,face,6.000,u,129,3.689641577e-13,1.053136407e-10
rotor,face,6.000,u,130,3.062373490e-13,7.157546643e-11
rotor,face,6.000,u,131,2.492508601e-13,6.187913888e-11
rotor,face,6.000,u,132,1.919963989e-13,5.527981304e-11
rotor,face,6.000,u,133,1.533001042e-13,4.020237129e-11
rotor,face,6.000,u,134,1.099822060e-13,3.714201125e-11
rotor,face,6.000,u,135,7.248982728e-14,2.876673299e-11
rotor,face,6.000,u,136,4.531695964e-14,1.967767490e-11
rotor,face,6.000,u,137,3.447060386e-14,1.023129045e-11
rotor,face,6.000,u,138,2.584316393e-14,7.933596178e-12
rotor,face,6.000,u,139,1.626314860e-14,6.985179904e-12
rotor,face,6.000,u,140,1.229779665e-14,3.701246820e-12
rotor,face,6.000,u,141,7.392507988e-15,3.418057712e-12
rotor,face,6.000,u,142,4.182484687e-15,2.119997476e-12
rotor,face,6.000,u,143,2.331855406e-15,1.207579739e-12
rotor,face,6.000,u,144,0.000000000e+00,8.110030850e-13
rotor,face,6.000,uj,1,8.834423128e-01,3.259098654e+02
rotor,face,6.000,uj,2,7.617832705e-01,3.111972915e+02
rotor,face,6.000,uj,3,6.665400016e-01,2.565554751e+02
rotor,face,6.000,uj,4,5.743938318e-01,2.352143649e+02
rotor,face,6.000,uj,5,4.749251651e-01,2.247231433e+02
rotor,face,6.000,uj,6,3.893025540e-01,1.892165913e+02
rotor,face,6.000,uj,7,3.312023754e-01,1.423174312e+02
rotor,face,6.000,uj,8,2.793108564e-01,1.238074040e+02
rotor,face,6.000,uj,9,2.462579894e-01,9.167908271e+01
rotor,face,6.000,uj,10,2.135259245e-01,8.533250076e+01
rotor,face,6.000,uj,11,1.837862902e-01,7.561094310e+01
rotor,face,6.000,uj,12,1.603448038e-01,6.247487780e+01
rotor,face,6.000,uj,13,1.448910748e-01,4.777330877e+01
rotor,face,6.000,uj,14,1.288596194e-01,4.608026577e+01
rotor,face,6.000,uj,15,1.137942138e-01,4.205666935e+01
rotor,face,6.000,uj,16,1.027419135e-01,3.402846867e+01
rotor,face,6.000,uj,17,9.122855027e-02,3.287152031e+01
rotor,face,6.000,uj,18,8.159974912e-02,2.837555874e+01
rotor,face,6.000,uj,19,7.322015622e-02,2.505392330e+01
rotor,face,6.000,uj,20,6.485501919e-02,2.363987722e+01
rotor,face,6.000,uj,21,5.774504829e-02,2.053667597e+01
rotor,face,6.000,uj,22,5.031124945e-02,1.971429854e+01
rotor,face,6.000,uj,23,4.314103336e-02,1.800578102e+01
rotor,face,6.000,uj,24,3.586986419e-02,1.667233803e+01
rotor,face,6.000,uj,25,3.192915627e-02,1.136971865e+01
rotor,face,6.000,uj,26,2.793496506e-02,1.075594608e+01
rotor,face,6.000,uj,27,2.489480311e-02,8.815330450e+00
rotor,face,6.000,uj,28,2.211397422e-02,7.952936158e+00
rotor,face,6.000,uj,29,1.950076364e-02,7.253734741e+00
rotor,face,6.000,uj,30,1.693205579e-02,6.729063591e+00
rotor,face,6.000,uj,31,1.487932428e-02,5.620930476e+00
rotor,face,6.000,uj,32,1.256649119e-02,5.541930825e+00
rotor,face,6.000,uj,33,1.083021286e-02,4.433410013e+00
