case,class,sigma_bin,output,rank,point_lower_bound,selected_scalar_sample_points,velocity_holdout_error,j_holdout_error,passes,practical_points,practical_velocity_error,practical_j_error,practical_passes,practical_method,practical_to_qdeim_ratio,practical_gate,target_cell_count,source_cell_count
rotor,self,1.000,u,1,1,1,1.000995243e+00,NaN,false,0,NaN,NaN,false,not_run,Inf,false,3035,3035
rotor,self,1.000,uj,1,1,1,1.005067783e+00,1.006650697e+00,false,0,NaN,NaN,false,not_run,Inf,false,3035,3035
rotor,self,6.000,u,1,1,1,1.003956504e+00,NaN,false,0,NaN,NaN,false,not_run,Inf,false,3035,3035
rotor,self,6.000,uj,1,1,1,1.006542641e+00,1.001782527e+00,false,0,NaN,NaN,false,not_run,Inf,false,3035,3035
rotor,self,18.000,u,1,1,1,1.000013716e+00,NaN,false,0,NaN,NaN,false,not_run,Inf,false,3035,3035
rotor,self,18.000,uj,5,1,4,1.009205926e+00,1.004098536e+00,false,0,NaN,NaN,false,not_run,Inf,false,3035,3035
rotor,face,1.000,u,125,42,52,4.397900274e-02,NaN,false,0,NaN,NaN,false,not_run,Inf,false,2964,2734
rotor,face,1.000,uj,19,2,7,6.659783396e-01,7.961959182e-01,false,0,NaN,NaN,false,not_run,Inf,false,2964,2734
rotor,face,6.000,u,125,42,52,4.397900274e-02,NaN,false,0,NaN,NaN,false,not_run,Inf,false,2964,2734
rotor,face,6.000,uj,19,2,7,6.659783396e-01,7.961959182e-01,false,0,NaN,NaN,false,not_run,Inf,false,2964,2734
rotor,face,18.000,u,125,42,52,4.397900274e-02,NaN,false,0,NaN,NaN,false,not_run,Inf,false,2964,2734
rotor,face,18.000,uj,19,2,7,6.659783396e-01,7.961959182e-01,false,0,NaN,NaN,false,not_run,Inf,false,2964,2734
rotor,edge,1.000,u,138,46,59,1.291955203e-03,NaN,false,0,NaN,NaN,false,not_run,Inf,false,2734,2669
rotor,edge,1.000,uj,140,12,35,1.190280760e-03,9.444335145e-03,false,0,NaN,NaN,false,not_run,Inf,false,2734,2669
rotor,edge,6.000,u,138,46,59,1.291955203e-03,NaN,false,0,NaN,NaN,false,not_run,Inf,false,2734,2669
rotor,edge,6.000,uj,140,12,35,1.190280760e-03,9.444335145e-03,false,0,NaN,NaN,false,not_run,Inf,false,2734,2669
rotor,edge,18.000,u,138,46,59,1.291955203e-03,NaN,false,0,NaN,NaN,false,not_run,Inf,false,2734,2669
rotor,edge,18.000,uj,140,12,35,1.190280760e-03,9.444335145e-03,false,0,NaN,NaN,false,not_run,Inf,false,2734,2669
rotor,corner,1.000,u,77,26,38,1.583403790e-04,NaN,true,216,9.905066805e-04,NaN,false,tensor_chebyshev,Inf,false,2669,2459
rotor,corner,1.000,uj,117,10,27,2.205728466e-04,2.256914513e-04,true,216,9.905066805e-04,6.049882245e-03,false,tensor_chebyshev,Inf,false,2669,2459
rotor,corner,6.000,u,77,26,38,1.583403790e-04,NaN,true,216,9.905066805e-04,NaN,false,tensor_chebyshev,Inf,false,2669,2459
rotor,corner,6.000,uj,117,10,27,2.205728466e-04,2.256914513e-04,true,216,9.905066805e-04,6.049882245e-03,false,tensor_chebyshev,Inf,false,2669,2459
rotor,corner,18.000,u,77,26,38,1.583403790e-04,NaN,true,216,9.905066805e-04,NaN,false,tensor_chebyshev,Inf,false,2669,2459
rotor,corner,18.000,uj,117,10,27,2.205728466e-04,2.256914513e-04,true,216,9.905066805e-04,6.049882245e-03,false,tensor_chebyshev,Inf,false,2669,2459
rotor,shell,1.000,u,45,15,20,2.402720294e-04,NaN,true,120,2.456172992e-04,NaN,true,gaussian_rbf,2.666666667e+00,false,3035,2669
rotor,shell,1.000,uj,69,6,25,1.893354498e-04,5.480549963e-04,true,165,9.510731155e-05,3.629137285e-04,true,gaussian_rbf,2.391304348e+00,false,3035,2669
rotor,shell,6.000,u,45,15,20,2.402720294e-04,NaN,true,120,2.456172992e-04,NaN,true,gaussian_rbf,2.666666667e+00,false,3035,2669
rotor,shell,6.000,uj,69,6,25,1.893354498e-04,5.480549963e-04,true,165,9.510731155e-05,3.629137285e-04,true,gaussian_rbf,2.391304348e+00,false,3035,2669
rotor,shell,18.000,u,45,15,20,2.402720294e-04,NaN,true,120,2.456172992e-04,NaN,true,gaussian_rbf,2.666666667e+00,false,3035,2669
rotor,shell,18.000,uj,69,6,25,1.893354498e-04,5.480549963e-04,true,165,9.510731155e-05,3.629137285e-04,true,gaussian_rbf,2.391304348e+00,false,3035,2669
