stage,P,lamb_helmholtz,seconds
rotate_z,4,false,4.720940e-08
rotate_multipole_y,4,false,7.016150e-07
translate_multipole_z,4,false,7.261010e-08
translate_multipole_to_local_z,4,false,1.586170e-07
translate_local_z,4,false,1.058180e-07
rotate_z,4,true,5.894450e-08
rotate_multipole_y,4,true,7.975350e-07
translate_multipole_z,4,true,9.969390e-08
translate_multipole_to_local_z,4,true,1.839640e-07
translate_local_z,4,true,1.279900e-07
transform_lamb_helmholtz_multipole,4,true,5.710100e-08
transform_lamb_helmholtz_local,4,true,8.055700e-08
rotate_z,8,false,9.394420e-08
rotate_multipole_y,8,false,4.387420e-06
translate_multipole_z,8,false,2.862160e-07
translate_multipole_to_local_z,8,false,7.304200e-07
translate_local_z,8,false,4.373500e-07
rotate_z,8,true,1.465840e-07
rotate_multipole_y,8,true,4.682480e-06
translate_multipole_z,8,true,3.644230e-07
translate_multipole_to_local_z,8,true,7.727680e-07
translate_local_z,8,true,4.833660e-07
transform_lamb_helmholtz_multipole,8,true,1.516340e-07
transform_lamb_helmholtz_local,8,true,2.144920e-07
rotate_z,12,false,1.665120e-07
rotate_multipole_y,12,false,1.502810e-05
translate_multipole_z,12,false,7.330140e-07
translate_multipole_to_local_z,12,false,1.986320e-06
translate_local_z,12,false,1.150860e-06
rotate_z,12,true,2.845540e-07
rotate_multipole_y,12,true,1.562530e-05
translate_multipole_z,12,true,8.935150e-07
translate_multipole_to_local_z,12,true,2.081800e-06
translate_local_z,12,true,1.240730e-06
transform_lamb_helmholtz_multipole,12,true,2.933210e-07
transform_lamb_helmholtz_local,12,true,4.129540e-07
rotate_z,20,false,3.346070e-07
rotate_multipole_y,20,false,8.165110e-05
translate_multipole_z,20,false,2.704770e-06
translate_multipole_to_local_z,20,false,7.902220e-06
translate_local_z,20,false,4.355060e-06
rotate_z,20,true,6.363730e-07
rotate_multipole_y,20,true,8.376100e-05
translate_multipole_z,20,true,3.142890e-06
translate_multipole_to_local_z,20,true,8.096880e-06
translate_local_z,20,true,4.603430e-06
transform_lamb_helmholtz_multipole,20,true,7.189380e-07
transform_lamb_helmholtz_local,20,true,1.001280e-06
